controlCategory,controlType,controlPeriodocity,control,controlID
NA,Manual,30.0,Identify the positions without a value adjustment resolution,4951
NA,Manual,0.1,Verify the proposed resolution out of autonomy,916
NA,Manual,92.0,Verify the complete communication of the ROs on FT 416,4952
NA,Manual,0.1,Verify the approach used (going/gone concern),1368
NA,Manual,0.1, Check if the subject is authorized to carry out the resolution,5368
Professional,Manual,0.1,Check the correspondence of the resolution data,257
NA,Manual,0.1,Check the completeness/update of the collected documentation,4510
NA,Manual,0.1,Verify the correct identification of the Deliberating Body,3021
NA,Manual,0.1,Verify that the covered bonds have been extinguished,5023
NA,Manual,0.1,Verify the correct discharge of the guarantee from the systems,5024
NA,Manual,0.1,Verify the completeness of the documentation of the Credit Proposal,2198
NA,Manual,0.1,Verify the correctness of the acquired documentation and the correct entry of the relative data in the procedure,2092
NA,Manual,0.1,Verify the correct execution of the solely payments of principal end interest Test - SPPI Test and communicate the result to the Proponent,4539
NA,Manual,0.1,"Verify exact identification, census and update of the corporate structure.",3140
NA,Manual,0.1,Verify the exact reclassification of the financial statements,347
NA,Manual,0.1,Verify receipt of all necessary admissibility opinions.,2175
NA,Manual,0.1,Check the calculation of the Competency,2064
Professional,Manual,0.1,Verify that you have correctly fulfilled the necessary Regulatory Obligations and requested the required opinions.,350
NA,Manual,0.1,Check the activities performed by the Assistant,351
NA,Manual,0.1,Verify the correctness and completeness of the documentation prepared,5178
NA,Manual,0.1,Check interventions carried out on the system,5179
NA,Manual,0.1,Verify the correctness and completeness of the documentation prepared,5593
NA,Manual,0.1,Verify the correctness and completeness of the submitted documentation,5198
NA,Manual,0.1,Verify the correctness and completeness of the documentation on the representatives of the Subsidiary Banks,1358
NA,Manual,182.0,Verify the correctness and completeness of the documentation prepared,5592
NA,Manual,0.1,Verify the correctness and completeness of the documentation prepared,5199
NA,Manual,0.1,Verify the correctness and completeness of the documentation prepared,5537
NA,Manual,0.1,Check interventions carried out on the system,397
NA,Manual,0.1,Verify the consistency of the information uploaded with the documentation prepared,1539
NA,Manual,30.0,Check the mailing of the list,1563
NA,Manual,0.1,Verify the correct update of the archives,1562
NA,NA,,Evaluate the non-ordinary access request,1106
NA,NA,,Review documentation and produce new employee badge,4894
NA,Manual,0.1,Verify the correctness of the data entered in the system,1346
NA,NA,,Verify the customers requirement regarding US and Cuban citizenship,1345
NA,NA,,Monitor the operations carried out by the supervisee in financial instruments or investment services,984
NA,NA,,Verify the correctness of the registry census,4434
NA,NA,,Verify the correctness of the registry census,4435
Operational,NA,,Validate analysis on new agreement,2521
Operational,NA,,Validate analysis on new agreement,2522
Operational,NA,,Verify that you have correctly classified all cyber relevant Third Parties,1429
NA,Semi-automatic,0.1,Check,388
Operational,Manual,1.0,Verify correct attribution of the position,703
Operational,Manual,1.0,Check consistency of results in the tools,2944
NA,Manual,0.1,Verify the correct accounting of the security deposit,1680
NA,Manual,0.1,Check the correctness and completeness of the documentation,3098
NA,Manual,0.1,Verify the consistency of the economic offer with respect to the terms of the resolution,4167
NA,Manual,0.1,Verify that the causes of the problem have been identified,1972
NA,Automatic,0.1,Check the recovery note documentation for the Major Incident,2067
NA,Manual,0.1,Verify the correctness of the data entered in the system,5127
NA,Manual,0.1,Verify correct memorization of the resolution,2091
NA,Manual,0.1,Check that the necessary clauses have been inserted correctly in the contractual draft,4869
NA,Manual,0.1,Verify the consistency of the contract and of the documentation prepared with the resolution,1897
NA,Manual,0.1,Check that the necessary clauses have been inserted correctly in the contractual draft,869
NA,Manual,0.1,Carry out pre-delivery checks,4370
NA,Manual,0.1,Check the correct compilation of any missing parts,5325
NA,Manual,0.1,Verify the presence of all the data and signatures required in the Warranty Certification Form,1410
NA,Manual,0.1,Wrong preparation of the text,5324
NA,NA,,Verify the completeness of the identified perimeter,147
NA,NA,,Check the correctness and completeness of the entries,5273
NA,Manual,365.0,Evaluate the adequacy of the reports received and analyze the gaps and differences,4172
NA,Manual,365.0,Verify the completeness and correctness of the information entered in the Italian national documentation and Masterfile,908
NA,Manual,0.1,Check the correctness/completeness of the data entered,4409
NA,Manual,0.1,Verify the correct update of the economic conditions,1017
NA,Manual,0.1,Check the correspondence of the property subject to guarantee and the guarantee data entered in the system,5200
NA,Manual,0.1,Verify the accounted data,1018
NA,Manual,0.1,Check draft contracts,4411
NA,Manual,0.1,Check the data entered for the purpose of calculating the TEG,4410
NA,Manual,0.1,Check the correctness / completeness of the data entered,1350
NA,Manual,0.1,Check reports relating to pledges,4012
NA,Manual,0.1,Check the reports of transactions other than the pledge,4011
NA,Manual,0.1,Check the correctness and completeness of the data entered,1349
NA,Manual,0.1,Check the reports,486
NA,Semi-automatic,30.0,Check for receivables with non-validated fair value prices/levels,2954
Professional,Semi-automatic,30.0,Verify acquisition of prices from infoproviders,2786
NA,Semi-automatic,30.0,Verify the correct and complete loading of prices and fair value levels,2952
NA,Semi-automatic,30.0,Verify the correctness of the prices and fair value levels of receivables valued at fair value,2953
NA,Semi-automatic,30.0,Verify the complete sending of the data,3026
Professional,Semi-automatic,30.0,Verify complete data reception,3027
NA,Manual,0.1,Verify that the required interventions have all been completed,4739
NA,Manual,0.1,Verify correct certification,2823
NA,Manual,0.1,Check correct execution of the drains.,4669
NA,Manual,0.1,Verify the accuracy of the data in the reports and NDGs being transferred,1861
NA,Manual,0.1,Verify receipts reversal to Kerma,4948
Professional,Manual,0.1,Check the settled sums,1810
NA,Manual,0.1,Verify the correctness of the personal data notes,5365
NA,Manual,0.1,Verify the non-interest bearing yield of the relationships,2018
NA,Manual,0.1,Check receipt accounting,3033
NA,Manual,30.0,Carry out the migration account reset control activities,907
NA,Manual,0.1,Verify accounting for losses/gains on disposal,3034
NA,NA,,Check the timing,5652
NA,Manual,0.1,Check for errors in the perimeter of the NDGs in the quarterly assignment,1496
Operational,Manual,0.1,Check closure of funds,5420
Operational,NA,,Verify that you have implemented the update by all suppliers subject to monitoring,1274
Operational,Manual,0.1,Check what the customer signed,1815
Operational,Manual,0.1,Carry out checks on AML/CTF or Countering Terrorism Financing,2460
Operational,Manual,0.1,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,2461
Operational,Manual,0.1,Check the correctness and consistency of the data entered,50
Operational,NA,,Check and update the exception list,1551
Operational,Manual,0.1,Check the correctness of the operation,3875
NA,NA,,Verify the consistency of data between different environments,955
NA,NA,,Analyze monthly reporting ORM files,3516
NA,NA,,Analyze scraps and make adjustments,3784
NA,Manual,30.0,Check Leveraged Transaction labeling,1719
NA,Manual,1.0,Proceed with data verification and reconciliation,3862
NA,Manual,30.0,Verify system change completion by the last day of the month,4273
NA,Semi-automatic,365.0,Carry out the formal check,3296
NA,Manual,182.0,Check the completeness of the contributions received,3951
NA,Manual,92.0,Conduct consistency analysis,1842
NA,Manual,182.0,Verify the correct determination of the value of the funds,1584
NA,Manual,92.0,Verify the correctness of the prepared files,1676
NA,Manual,30.0,Verify the correct and complete accounting recognition of the settlement entries relating to the funds area,1675
NA,Manual,365.0,Perform correctness checks,1412
NA,Manual,92.0,Verify the correctness of the calculations made,4598
NA,Manual,365.0,Check the MAV relating to FIRR payments,4600
NA,Manual,92.0,Check the MAV relating to Enasarco payments,4599
NA,Manual,0.1,Verify the correctness of the amounts,4601
NA,Manual,0.1,Verify the correctness of the invoice and the Enasarco ceiling threshold,2683
NA,Manual,182.0,Check the calculation of the six-month transaction,2427
NA,NA,,Check the remaining certificates in load,4463
Professional,Manual,30.0,Verify robustness of model outputs,5487
Professional,Semi-automatic,30.0,Verify the correct acquisition of information,3872
Professional,Manual,30.0,Perform consistency checks,2998
Professional,Semi-automatic,30.0,Verify the correct incorporation of the data into the anticipation model,1527
Professional,Semi-automatic,30.0,Verify the presence of any methodological discontinuities in the reporting criteria of the phenomena and related impacts,1144
Professional,Manual,92.0,Verify the presence of discontinuities in the scope of consolidation and related impacts,1143
Professional,Manual,30.0,Carry out performance checks,2997
Professional,Manual,30.0,Check consistency and correctness of the representation,5488
Professional,Manual,0.1,Check consistency and correctness of the representation,4567
Professional,Manual,30.0,Verify robustness of model outputs,4566
Professional,Manual,92.0,Verify the presence of discontinuities in the scope of consolidation and related impacts,2664
Professional,Manual,30.0,Carry out performance checks,1145
Professional,Semi-automatic,30.0,Verify the presence of any methodological discontinuities in the reporting criteria of the phenomena and related impacts,2663
Professional,Manual,30.0,Perform consistency checks,2272
Professional,Semi-automatic,30.0,Verify the correct incorporation of the data into the anticipation model,2996
NA,NA,,Check the coupon and redemption schedule,2759
NA,NA,,Check the coupon and redemption schedule,2760
NA,NA,,Check customer credit letters,2757
NA,NA,,Check customer credit letters,2758
NA,NA,,Verify the tax amount,3337
NA,NA,,Verify the tax amount,3338
NA,NA,,Check the correctness of the payments,5374
NA,NA,,Verify correct accounting,3339
NA,NA,,Check the correctness of the payments,5375
NA,NA,,Verify correct accounting,3340
NA,NA,,Verify the balancing of roles,4608
NA,NA,,Check balances of various open items,4610
NA,NA,,Check the switchboards mod. 770 of relevance,4616
NA,NA,,Verify the flow of recipients,4612
NA,NA,,Check the sending of the certificates,4614
NA,NA,,Verify the balancing of roles,4609
NA,NA,,Check balances of various open items,4611
NA,NA,,Check the switchboards mod. 770 of relevance,4617
NA,NA,,Verify the flow of recipients,4613
NA,NA,,Check the sending of the certificates,4615
NA,NA,,Verify the correctness of the roles worked and relative accounting,2233
NA,NA,,Check event rejects or recoveries,2235
NA,NA,,Verify the correctness of the roles worked and relative accounting,2234
NA,NA,,Check event rejects or recoveries,2236
NA,NA,,Verify the correctness of the protocols received,1790
NA,NA,,Verify the correctness of the protocols received,1791
NA,NA,,Check the depositarys credits,4329
NA,NA,,Check the depositarys credits,4330
NA,Manual,0.1,Verify extracted data,403
NA,Manual,1.0,Analyze the variations and check the performance trend,856
NA,Manual,0.1,Analyze the variations and check the performance trend,2876
NA,Manual,1.0,Verify extracted data,3092
NA,Manual,1.0,Check the open PVs on the One Shots,3177
NA,Manual,0.1,Verify the consistency of the NAV value of the Fund and register it in the system,2288
Operational,Manual,0.1,Validate the operation in the system,4106
Operational,Manual,0.1,Verify the consistency of the NAV value of the Fund and register it in the system,5116
NA,Manual,0.1,Check the transaction data entered in the system,1256
Operational,Manual,0.1,Check the commitment data entered in the system,3518
Operational,Manual,0.1,Check the commitment data entered in the system,2193
NA,NA,,Verify compliance with occupational safety measures,4487
NA,NA,,Check for updates,5234
NA,Manual,0.1,Check the exact assignment,4722
NA,Manual,0.1,Verify the exclusivity of the manager,4721
Operational,Manual,30.0,Verify the performance of the checks on the document sheet,879
NA,Semi-automatic,30.0,Verify correct sending of letters to debtors,4147
NA,Manual,0.1,Verify loss report,1328
NA,Manual,0.1,Verify correctness and completeness of documents,1329
NA,Manual,0.1,Verify the exclusivity of the manager,1451
NA,Manual,0.1,Check the exact assignment,2871
Professional,Manual,30.0,Check evaluation timing,1035
Professional,Manual,30.0,Verify the timeliness of taking charge of the practices by the debt collection structures,4765
Professional,Manual,30.0,Check completeness of documentation,1034
NA,Manual,0.1,Verify loss report,2921
NA,Manual,0.1,Verify correctness and completeness of documents,2922
NA,NA,,Approve registry changes,4420
NA,Semi-automatic,0.1,Reconcile managerial data with accounting data,4979
NA,Semi-automatic,30.0,Check the presence and status of subsidized loans,410
NA,Manual,7.0,Monitor the timing of the practices being finalized,2688
NA,Manual,7.0,Monitor the timing of the practices in the process of being approved,2430
NA,Manual,0.1,Check the correct entry of the fund request,553
NA,Manual,0.1,Verify the correct determination of the contribution,1534
NA,Manual,0.1,Ensure correct forwarding of the resolution to the Body,5141
NA,Manual,0.1,Check the correct entry of the fund request,5292
NA,Manual,0.1,Verify the consistency of the contribution disbursed,3048
NA,Manual,0.1,Ascertain the correctness of the payment of the installments to the Entity,634
NA,Automatic,0.1,Verify the closure of the Incident,4928
NA,Automatic,0.1,Check the recovery note documentation for an incident,4926
NA,Automatic,0.1,Verify the correct archiving of incidents,4927
NA,Automatic,0.1,Check the enhancement of the priority level of an incident,255
Professional,Automatic,0.1,Check the valorisation of the fields necessary for the classification of a report in the non-finance area,2837
NA,Automatic,0.1,Verify that the mandatory information is entered when opening and closing the incident,2838
NA,Manual,0.1,Check whether the conditions are met for the reporting of a crime prosecutable ex officio by a public service officer,993
NA,Manual,0.1,Check signing powers,4642
NA,Manual,0.1,Check the documentation functional to the legal investigation,4067
NA,Manual,0.1,Check the contractual draft,4643
NA,Manual,1.0,Check the status of the different activities,3014
NA,Semi-automatic,1.0,Verify overrun of the treasury limit set for each bank,2766
NA,Semi-automatic,1.0,Check coverage limit breaches per customer,2767
NA,Semi-automatic,1.0,Verify non-compete accounting,31
NA,Semi-automatic,1.0,Verify operator error for entering data with contradictory verification,2636
NA,Semi-automatic,1.0,Verify operator error for incorrect allocation to the income statement,30
Operational,NA,,Verify the correctness of the inserted plan,1452
Operational,NA,,Verify the correctness of the inserted plan,1453
Operational,NA,,Check the correspondence of the resolution data on the system,1456
Operational,NA,,Check the correspondence of the resolution data on the system,1457
NA,NA,," Verify the activities carried out for the non-payment, for the correct payment under guarantee and for the correct accounting of payments and the passage to loss",518
NA,NA,," Verify the activities carried out for the non-payment, for the correct payment under guarantee and for the correct accounting of payments and the passage to loss",519
NA,NA,, Verify the correct accounting of the distribution of the collection and of the passages to loss,4560
NA,NA,, Verify the correct accounting of the distribution of the collection and of the passages to loss,4561
Operational,NA,,Verify correctness of the proposal,1454
Operational,NA,,Verify correctness of the proposal,1455
NA,NA,,Check the interest invoice issued,3863
NA,NA,,Check the interest invoice issued,3864
NA,Manual,92.0,Investigate uncompleted rehearsals,4421
NA,Semi-automatic,0.1,Check the completeness and correctness of the list of assets to be redeployed,2117
NA,Manual,92.0,Verify the completeness in the activation of all re-examination requests.,5494
NA,Manual,92.0,Verify the closure of all detected re-examination requests,152
NA,Manual,365.0,Verify the correct determination of any goodwill impairment recognized,5219
NA,Manual,365.0,Check the correctness of the calculation,5218
NA,Manual,92.0,Verify the correct determination of the discount rate and the growth rate,807
NA,Manual,92.0,Verify the correct compilation of the Note for the Board of Directors,4813
NA,Manual,365.0,Verify the correct compilation of the Explanatory Notes for the parts concerning the impairment test of goodwill,3298
NA,Manual,365.0,Check the calculation,5220
NA,Manual,92.0,Verify the correct update of the discount rate and the growth rate,265
NA,Manual,0.1,Check that the position is correctly updated in the application,5186
NA,Manual,0.1,Verify that the certificate of guarantee is consistent with the loan and the intended guarantee,1062
NA,Manual,0.1,Check the capacity limits,4164
NA,Manual,0.1,Verify consistency and completeness of data,4260
NA,Manual,0.1,Check the correctness of the entered data,2722
NA,Semi-automatic,0.1,Verify proper alignment of systems,4966
NA,Manual,0.1,Validate the operations entered manually,1188
NA,Manual,0.1,Validate the operation entered manually,3309
NA,Manual,0.1,Validate the operations entered manually,4304
NA,NA,,Check for any information mismatches,2619
NA,NA,,Check for any information mismatches,3843
NA,NA,,Verify the correctness and completeness of the data,5452
NA,NA,,Verify the correctness and completeness of the data,5453
NA,NA,,Check the correctness of the data and authorize the request,1146
NA,NA,,Check the correctness of the data and authorize the request,1147
NA,Manual,0.1,Verify the correct updating of the relevant application with reference to the registration of the execution of the bank transfer on the basis of the communication received from Mutui Privati.,1293
NA,Manual,0.1,Verify the correct classification of the customers risk status,5480
NA,Manual,0.1,Check the correctness of the calculation of the amount to be returned,2512
NA,Manual,0.1,Verify the correct accounting of the exposure in the system.,404
NA,Manual,0.1,Verify the correct accounting of the exposure decount in the system.,3999
NA,Manual,0.1,Verify the correctness of the amount reported in the credit certificate.,2511
NA,Manual,0.1,Verify the correct registration of the resolution in the system and of the amounts to be received/returned from/to the FdG following any cross-examination in order to correctly direct subsequent activities,5093
NA,Manual,0.1,Verify the correctness of the activation as a deposit of the guarantee,3642
NA,Manual,0.1,Verify the correctness of the application for definitive loss settlement,3643
NA,Manual,0.1,Verify the correctness of the amount reported in the credit certificate,2510
NA,Manual,0.1,Verify the correct valorisation of the data of the Funds resolution relating to the outcome of the enforcement in the pertinent application.,3041
NA,Manual,0.1,Verify the correct loading of the information relating to the amount of the exposure reported in the documentation received from the Manager.,4690
Professional,Manual,0.1,Verify the correct determination of the Deliberating Body,1463
NA,Manual,0.1,Check the completeness of the archived documentation,2756
NA,Manual,0.1,Verify draft contracts used in the stipulation phase,4042
NA,Manual,0.1,Verify the authorization to supply S.A.L.,2755
NA,NA,,Check the regular confirmation of the transactions entered,3194
Operational,Manual,0.1,Verify the proposal to switch at loss,3707
Operational,Manual,0.1,Verify the proposed resolution out of autonomy,4113
Operational,Manual,0.1,Verify entry into system,4322
NA,NA,,Promptly verify reports of anomalies,4587
NA,NA,,Verify the correct reception of the reply e-mails,2478
NA,NA,,Ensure timely referral of suspected cases to branch offices,591
NA,NA,,Make sure of the authenticity of the documents,4586
NA,Manual,92.0,Verify reports received and accuracy / completeness inventory commitments,3904
NA,Manual,92.0,Verify the correctness of the companies in the system,2549
NA,Manual,92.0,Check the correspondence of the data between the quarterly termplate and the data present in the investment application,302
NA,Manual,92.0,Check the correspondence of the data between the Budget application and the investment file,3903
NA,Semi-automatic,92.0,Verify the correctness of the full consolidation method defined in the procedure,3905
NA,Manual,92.0,Verify the correct sending of the streams,3124
NA,Semi-automatic,92.0,Check the correctness of the data,776
NA,Manual,92.0,Check for any rejects and any inconsistent data,3118
NA,Manual,92.0,Check exposure data,3122
NA,Manual,92.0,Verify the data and certify the database,3119
NA,Semi-automatic,92.0,Verify the correct and complete data processing,3114
NA,Manual,92.0,Verify the correct and complete preparation of the flow of excerpts,4188
NA,Manual,30.0,Verify the consistency of the extraction performed,5332
NA,Manual,92.0,Analyze the output of the calculation,3123
NA,Manual,92.0,Check for any errors,3120
NA,Manual,92.0,Check the correct and complete update of the parameters,3117
NA,Manual,92.0,Check the correctness of the data,4564
NA,Manual,92.0,Carry out exposure controls,3116
NA,Manual,92.0,Verify the correct sending of the streams,3121
NA,Manual,92.0,Verify the completeness and correctness of the extraction performed,567
NA,Semi-automatic,92.0,Verify the correct and complete acquisition of the flows,2564
NA,Semi-automatic,92.0,Verify the correct and complete acquisition of the reconciled data,1200
NA,Manual,92.0,Check the warranty data,3115
NA,Semi-automatic,92.0,Verify the correct sending of flows relating to master data / segmentation / rating,3112
NA,NA,,Verify the integrity of the branch perimeter,1779
NA,NA,,Carry out a preventive inspection of the Branch premises,1778
NA,Manual,0.1,Check information document,1325
NA,Manual,0.1,Verify the contents of the communication,4686
NA,Manual,0.1,Check the contents of the information document,1387
NA,Manual,0.1,Check the information document with the content of the resolution,1388
NA,Manual,0.1,Verify that the transaction has been correctly identified and traced back to the reference case,2405
NA,Manual,0.1,Verify that the transaction has been correctly identified and traced back to the reference case,2911
NA,Manual,0.1,Verify the correctness of the financial information contained in the document only if certification by the Financial Reporting Officer is required,5077
NA,Manual,0.1,Verify that the transaction has been correctly identified and traced back to the reference case,5105
NA,Manual,0.1,Check information document,4685
NA,Manual,0.1,Verify accumulation of transactions of lesser significance,2960
NA,Manual,7.0,Analyze logs of nightly processing,768
NA,Manual,0.1,Authorize currency trading,5565
NA,Manual,0.1,Locate squaring and insert adjustment writing,5564
NA,Manual,1.0,Verify account balances,5559
NA,Semi-automatic,1.0,Check calculation of deferred income,5563
NA,Manual,0.1,Identify squaring,5561
NA,Semi-automatic,0.1,Check and report the new unconnected keys,5560
NA,Semi-automatic,1.0,Check the net exposure in foreign currency,5562
NA,Manual,30.0,Check that the upload data has been processed correctly,2451
NA,Manual,0.1,Verify consistency of impacts,4665
NA,Manual,0.1,Verify correctness and completeness of the request,2408
NA,Manual,0.1,Verify correctness and completeness of the request,2407
NA,NA,,Verify the validity of the lists of data processors and data controllers,5469
NA,NA,,Verify the completeness of the information entered in the information form for the identification of the subjective role,203
NA,Manual,365.0,Verify correctness of calculation,5697
NA,Semi-automatic,1.0,Perform cross-system reconciliations,412
NA,NA,,Check the correctness of the input data,5660
NA,NA,1.0,Monitor the correct reception of incoming data,906
NA,Manual,0.1,Check documentation,2433
NA,Manual,0.1,Verify that the certificate received complies with the requirements,2413
NA,Manual,0.1,Check documentation,2432
NA,Manual,0.1,Check the letter of pledge for completeness,3846
NA,Manual,0.1,Verify that the deed of pledge contains all the required data,1677
NA,NA,,Verify the correctness of the data subject to the contribution,5471
NA,NA,,Check the correctness of the received data,5416
NA,NA,,Verify the correctness of the data subject to the contribution,1740
NA,NA,,Check the consistency of the results with the inputs and objectives,5684
NA,NA,,Verify the correctness of the data subject to the contribution,2955
NA,NA,,Verify the correctness of the data subject to the contribution,336
NA,NA,,Verify the correctness of the data subject to the contribution,912
NA,NA,,Verify the correctness of the data subject to the contribution,1001
NA,NA,,Verify the consistency of the model with the objectives and standards,4649
NA,NA,,Verify the correctness of the data subject to the contribution,3133
NA,NA,,Check for processing errors,2529
NA,Manual,0.1, Check the warning emails and logs generated by the system for calculating the SA-CCR risk measures,1402
NA,Manual,0.1,Carry out any corrective actions or relaunch the failed EPE and/or SA-CRR calculation process,1558
NA,Manual,1.0,Check the alert mails and logs generated by the system,725
NA,Manual,0.1,Analyze SA-CCR measurement reports,3163
NA,Manual,92.0,Analyze reports of the signage chain and report any anomalies detected,1709
NA,Manual,0.1,Analyze EPE and SA-CCR measurement reports,796
NA,Manual,0.1,Verify the correct production of the SA-CCR data output files for Subsidiaries and Branches and launch the production of analysis reports,1838
NA,Manual,1.0,Check System Log SFT Verifier,2563
NA,Manual,92.0, Analyze reporting chain reports and report any anomalies detected on the SA-CCR data of the investee companies and branches,1486
NA,Manual,0.1,Monitor compliance with deadlines,926
NA,Manual,0.1,Check documentation,5385
NA,Manual,0.1,Check documentation and data consistency,2905
Operational,Manual,0.1,Check Cash Flow analysis,3111
NA,Manual,7.0,Verify positions without cash flow analysis,2695
Operational,Manual,1.0,Verify exact assignment,5286
NA,NA,,Check the uploaded data,932
NA,NA,,Monitor and manage mismatches,668
NA,Semi-automatic,1.0,Check for any pending charges,1212
Operational,Manual,0.1,Check the correctness of the operation,270
Operational,Manual,0.1,Check the deadline,1508
Operational,Manual,0.1,Check the correctness of the accounting,168
Operational,Manual,0.1,Check the correctness of the extinction,2349
Operational,Manual,0.1,Verify the correctness of the extension,3317
Professional,Manual,30.0,Monitor unmanaged overdue files,474
Operational,Manual,0.1,Check that the entered data is correct,1379
NA,Semi-automatic,0.1,Check system certification data,84
NA,Manual,0.1,Verify conformity of Supply vs PO,4535
NA,Semi-automatic,1.0,Carry out any investigation,4364
NA,Semi-automatic,1.0,Monitor fees ex Loan IQ,264
NA,Semi-automatic,1.0,Verify correct feeding of the accounting procedure,263
NA,Semi-automatic,92.0,Check margin calculation,4398
NA,Manual,0.1,Monitor commission related accounts,5363
NA,Manual,0.1,Verify authorization based on the Management Autonomy Faculties,317
NA,NA,,Verify correct management system alignment,4452
NA,Manual,0.1,Verify authorization based on the Management Autonomy Faculties,318
NA,NA,,Verify correct management system alignment,2277
NA,NA,,Verify correct management system alignment,4453
NA,NA,,Carry out checks on the consistency of the loan and on the applicant,5305
NA,Manual,0.1,Check acceptance of instructions by the custodian,2676
NA,Manual,0.1,Verify correct regulation,1517
NA,Manual,0.1,Verify the correctness of the extracted data,1616
NA,Manual,0.1,Check that the instructions are correct,5716
NA,Manual,0.1,Square the regulation,2696
NA,Manual,1.0,Verify correct loading positions and make necessary adjustments,5417
NA,Manual,0.1,Check the correct regulation of the positions,4812
NA,Manual,0.1,Verify the correct settlement of the optional dividend operation,739
NA,Manual,0.1,Fix any incorrect transfer instructions,4426
NA,NA,,Check the settlement status of trade transactions,3328
NA,NA,,Check the settlement status of trade transactions,3329
NA,NA,,Check the status of the regulation,3184
NA,NA,,Check the accumulations and forward the orders according to regulation,3182
NA,NA,,Check the status of the regulation,3185
NA,NA,,Check the accumulations and forward the orders according to regulation,3183
NA,NA,,Check the documentation prepared,4469
NA,NA,,Verify the correct entry of the economic conditions,4471
NA,NA,,Check the information sheets,4470
NA,Manual,0.1,Verify the correctness of the data entered in the system,46
NA,Manual,0.1,Check that the suspension request has been entered correctly,5224
NA,NA,,Check the accounting done,5422
Professional,Manual,0.1,Verify the correct assignment of the risk status to the system,5517
Professional,Manual,0.1,Verify the correct assignment of the risk status to the system,2498
NA,Manual,0.1,Check the correct extinguishing regulation,452
NA,Manual,0.1,Verify the correct crediting of the sums to the institution,781
NA,Manual,0.1,Check the correct regulation of the extinction,451
NA,NA,,Carry out checks in the FATCA-CRS area,4849
NA,Manual,0.1,Request preparation of letter of petition,931
NA,Manual,0.1,Verify correct commission application,4211
Operational,Manual,0.1,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,582
Operational,Manual,0.1,Carry out checks on AML/CTF or Countering Terrorism Financing,674
NA,Manual,0.1,Verify the operation in the case of petroleum products and petrochemicals,1476
Operational,Manual,0.1,Carry out checks on AML/CTF or Countering Terrorism Financing,442
Operational,Manual,0.1,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,443
Operational,Manual,0.1,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,4871
Operational,Manual,0.1,Carry out checks on AML/CTF or Countering Terrorism Financing,4870
NA,Manual,0.1,Verify the operation in the case of petroleum products and petrochemicals,1475
Operational,Manual,0.1,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,2782
Operational,Manual,0.1,"In the case of domestic guarantees by swift/domestic guarantees in foreign currency, check that the economic conditions of the individual commitment have been aligned with those envisaged in the contract for domestic guarantees",3652
Operational,Manual,0.1,Carry out checks on AML/CTF or Countering Terrorism Financing,675
Operational,Manual,0.1,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,581
NA,NA,,Verify correctness and completeness of the communication,5102
NA,NA,,Check for any anomalies every six months,629
NA,NA,,Verify undetected RFIs quarterly,628
NA,NA,,Verify correct master data update,5103
NA,NA,,Check the contents of the Schuldschein Confidentiality Agreement,3237
NA,NA,,Check the contents of the mandate,5035
NA,Manual,0.1,Check the contents of the mandate,2045
NA,Manual,,Check Contents of the Confidentiality Agreement,3749
NA,Manual,0.1,Check the contents of the Confidentiality commitment in the Advisory area on ESG bonds,1662
NA,Manual,0.1,Check that the consent has been acquired by the IB&SF manager for the application of the commission not in line with the DCM Commission Tables in the Advisory area on ESG bonds,3485
NA,Automatic,0.1,Check for any signals of operating blocks,661
NA,Manual,0.1,"Identify the presenter, verify the regularity of the title and the signatures",2992
NA,Manual,0.1,Check that the entered data is correct,4695
NA,Semi-automatic,0.1,Check credit line capacity,3454
NA,Manual,0.1,Verify correct feeding of the regulation systems,5099
NA,Manual,0.1,Check for correct power supply,5098
NA,Manual,0.1,Check that the entered data is correct,4696
NA,Manual,0.1,Check correct power supply of the regulation systems,4697
NA,Manual,0.1,Verify the correct adjustments to the position keeping system,2661
NA,Manual,0.1,Check new parameters,1494
Operational,Manual,0.1,Check the data,1123
NA,Manual,0.1,Verify the correctness of the re-credit issue,4803
NA,Manual,0.1,Verify the correct extinction of previous debts,35
NA,NA,,Verify correct management system alignment,448
NA,Manual,92.0,Analyze the output of the calculation,320
NA,Semi-automatic,0.1,Analyze the results of the calculation of the massive rating,2903
NA,Semi-automatic,0.1,Analyze the results of the calculation of the massive rating,2178
NA,Manual,0.1,Verify TIT acquisition in system,1502
Operational,Manual,182.0,Check documentation,1615
Operational,Manual,182.0,Check documentation,1614
Operational,Manual,0.1,Verify the correct accounting of the security deposit,471
Operational,Manual,0.1,Verify the correct accounting of the security deposit,558
NA,Manual,0.1,Verify the correct attribution of Country Risk,2171
Professional,Manual,0.1,Check data entry congruence in WL,2172
Professional,Manual,0.1,Check the contents of the confidentiality agreement,5602
Operational,Semi-automatic,0.1,Verify correct update,664
NA,Semi-automatic,0.1,Verify correct census,663
NA,NA,,Verify effective compliance with the agreements,4168
