activityType,activityCategory,activity,activityID
process activity,Operational, Analyze the anomalies highlighted,35041
control activity,Other,Check for individual anomalies,15889
process activity,Operational,Consolidate the accounting date,20933
process activity,Professional,Take charge of the report or Incident,34892
process activity,Professional,Verify existence of conditions for opening Major Incident,4072
process activity,Professional,Create and assign the Problem,11452
control activity,Other,Verify the correct prioritization of a Problem,1949
process activity,Operational,Reject the proposal if the opening of the Major Incident is not necessary,7693
process activity,Professional,Create and assign a Task,34065
process activity,Professional,Take charge of the Problem,5200
control activity,Other,Check for Known Error or Duplicate Problem,29543
process activity,Professional,Open Major Incidents,16792
control activity,Other,Verify the opening of a Major Incident and the associated priority level,3583
control activity,Other,Verify that the mandatory information is entered following acceptance of the Major Incident proposal,2016
process activity,Professional,Produce subrogation deed against the Foundation/Association,20776
process activity,Operational,"Detect the customer's default and, if within its competence, send to the customer and for information to the Foundation/Association the communication of termination of the contract and/or forfeiture of the benefit of the term.",775
process activity,Professional,Communicate the payment of outstanding amounts to the Fund/Association,24049
process activity,Professional,Communicate the non-compliance to the Foundation/Association,776
control activity,Other,Check compliance with the limits set by the agreement.,19087
process activity,Professional,Proceed with the enforcement of the Guarantee,777
control activity,Other,Verify the correct execution of the guarantee,24047
process activity,Operational,Archive documentation,24048
process activity,Professional,Proceed with the recovery activities for the part not covered by the guarantee of the Anti-usury Foundation/Association,20777
process activity,Operational,Update the Fund management application,19088
process activity,Professional,Provide detailed estimate of the request,28831
process activity,Professional,Survey the ICT initiative,31423
process activity,Professional,Validate the estimate of the ceiling activity,21945
process activity,Professional,Review the estimate and consolidate the lead,2142
process activity,Professional,Evaluate initiative approval,33575
process activity,Professional,Validate the rough estimate of the initiative,33574
process activity,Professional,Oversee the request to activate funds,1400
process activity,Professional,Census Activities Plafond,21946
process activity,Professional,Analyze the initiative,6885
process activity,Operational,Prepare the rough estimate of the initiative,21026
process activity,Professional,Take charge of the request,20471
process activity,Professional,Trace committee evaluation outcome and create WBE Opening Form,2439
process activity,Professional,Involve the Data Owner and the Data Technology Owner of the final data (use),25251
process activity,Professional,Supervise the relevant contribution and report the need to activate any maintenance interventions,18483
process activity,Professional,Involve Contributors and coordinate the production of contributions related to each Data Domain,30683
process activity,Professional,Engage Contributors and coordinate collection of contributions,20360
process activity,Professional,Archive the document,25252
process activity,Professional,Request the production of the Data Life Cycle (DLC) document or the expansion of the documentation perimeter for a given final data (use),20376
process activity,Professional,Assemble the contents received and produce the document,25250
control activity,Other,Verify the delivery of the contents,27874
process activity,Professional,Define the information perimeter to be documented,20377
process activity,Professional,Update and archive the document,2146
control activity,Other,Verify the delivery of the contents,33952
process activity,Professional,Produce and supply contributions of competence,20378
process activity,Professional,Update the relevant contributions,25249
process activity,Operational,Run Application Test,29891
process activity,Professional,Check System Test result,29895
process activity,Operational,Evaluate Application Test outcome,29892
process activity,Professional,Request UDC promotion in System,29893
process activity,Professional,Check environment of System,5792
process activity,Professional,Verify consistency of test cases,30741
process activity,Operational,Run System Test,29894
process activity,Operational,Perform the check test,8589
process activity,Professional,Check Application environment,29890
process activity,Operational,Send notifications of interest,31577
process activity,Operational,Submit information to the Bodies,28185
process activity,Operational,Notify the Key Managers of personal interest management obligations,12537
process activity,Operational,Evaluate the interest and request possible abstention,12539
process activity,Operational,Communicate personal interest,12538
process activity,Operational,Transmit the situations of interest,18459
process activity,Professional,Send the data necessary for the preparation of Tables I of the financial statements,27167
control activity,Professional,Check the correctness of the data,2194
process activity,Professional,Develop the Plan performance monitoring application,27164
process activity,Operational,Fulfill tax obligations and process payslips,17984
process activity,Operational,Develop the procedure for joining and assigning the Plan,17976
process activity,Professional,Determine the tax burden borne by the individual beneficiary deriving from joining the Plan,11871
process activity,Operational,Carry out the distribution of the credit and the final accounting,16860
process activity,Operational,"Feed the ""calculator"" with the survey price",27166
control activity,Professional,Verify the correctness of the recognition price and the discounted value of the Certificates,19211
process activity,Professional,Check the descriptive part of the Plan in Tables I of the financial statements,30935
process activity,Professional,Organize a task force dedicated to the collection and verification of paper documentation,3122
process activity,Professional,Determine and submit the unit fair value,27165
process activity,Operational,Send the serial number flow containing the settlement choice,27172
process activity,Operational,Crediting “Sell to Cover” shares,17983
process activity,Professional,Deposit the Certificates in individual fiduciary positions,17981
process activity,Professional,Start the employee communication plan,17978
process activity,Professional,Pay the LECOIP 2.0 Plan to the beneficiaries,16858
process activity,Professional,Prepare the contractual material for the beneficiaries of the Plan,17975
process activity,Professional,Prepare the documentation for the Corporate Bodies,17974
process activity,Professional,Verify the consistency of the Plan with the Group RAF by formalizing an opinion on the analysis performed,17973
process activity,Professional,Send the data necessary for accounting,5947
control activity,Professional,Verify the correctness of the data to be accounted for,23361
process activity,Professional,Design the LECOIP 2.0 Plan and identify the financial partner,748
process activity,Professional,Prepare and send data necessary for accounting,16859
control activity,Professional,Verify the correctness of the data to be accounted for,7595
process activity,Professional,Create the application for the choice of liquidation of the LECOIP 2.0 Plan in cash or in shares,27171
process activity,Professional,Verify the compliance of the Plan with the applicable internal and external regulatory provisions by formalizing an opinion on the analysis performed,17972
process activity,Professional,Adjust the Strike Price upon the occurrence of a Potential Adjustment Event,27169
control activity,Professional,Verify the correctness of the strike price,5948
process activity,Professional,Consolidate the percentage distribution between the beneficiaries and Intesa Sanpaolo,27170
process activity,Professional,Update matriculation data,23360
control activity,Professional,Verify correct updating of matriculation data and consistency of the expected exit rate,29683
process activity,Professional,Complete Table I of the balance sheet,27168
control activity,Professional,Verify the correctness of the data for completing Tables I of the financial statements,2195
process activity,Operational,Send matriculation flows to Siref for the opening of individual fiduciary positions,17980
process activity,Professional,Check the event trigger conditions of the plan,11872
control activity,Professional,Verify the correct recalculation of the quotas and the cost of the plan,23221
process activity,Operational,Carry out the accounting and balance the accounting data,9866
control activity,Professional,Check the correctness of the recorded values,2193
process activity,Professional,Define the audience of members at the end of the membership period,17979
process activity,Operational,Extract and send the audience of beneficiaries,17977
control activity,Professional,Check the list of potential members,29682
process activity,Operational,Send the matriculation flows for the assignment of additional shares (so-called Sell to Cover),17982
process activity,Professional,Verify timely recording/communication of employment related events,23359
process activity,Professional,Identify and report non-compliance with management limits,24413
control activity,Other,Verify corrective actions,17815
process activity,Professional,Capture and update operating limit levels,16180
control activity,Other,Verify correct updating of management limits,24414
process activity,Professional,Analyze and manage any anomalies,31446
control activity,Other,Verify the consistency and correctness of the calculated management risk measures,31448
process activity,Professional,Update personal information,31447
process activity,Operational,Inform the competent structure of the outcome,5854
process activity,Professional,Manage billing,5855
process activity,Professional,Monitor the outcome of the visits made,5853
process activity,Operational,Enter the data relating to the visits to be requested,2159
process activity,Operational,Update the request information,5852
process activity,Professional,Insert the requests in the INPS portal,2160
control activity,Other,Check the entered data,12777
process activity,Operational,Check for the presence of the customer / supplier,5667
process activity,Operational,Check for the presence of the customer / supplier,5668
control activity,Other,Verify the data and approve the request,21311
control activity,Other,Verify and integrate the uploaded data,21313
control activity,Other,Verify the data and approve the request,21312
control activity,Other,Verify and integrate the uploaded data,21314
process activity,Operational,Modify the data,5546
control activity,Other,Verify the correctness and completeness of the data,10365
process activity,Operational,Modify the data,5547
control activity,Other,Verify the correctness and completeness of the data,10366
process activity,Operational,Update obsolete data,5230
process activity,Operational,Update obsolete data,5231
process activity,Operational,Fill in all required fields,5232
control activity,Other,Verify the correctness and completeness of the data,10361
control activity,Other,Carry out formal checks,10359
process activity,Operational,Fill in all required fields,5233
control activity,Other,Verify the correctness and completeness of the data,10362
control activity,Other,Carry out formal checks,10360
process activity,Operational,Supplement the data entered for NDG,5228
control activity,Other,Verify the correctness and completeness of the data,10363
process activity,Operational,Supplement the data entered for NDG,5229
control activity,Other,Verify the correctness and completeness of the data,10364
process activity,Operational,Request integration / modification of master data for actual NDGs,5416
process activity,Operational,Request integration / modification of master data for actual NDGs,5417
process activity,Operational,Request modification of obsolete data,5544
process activity,Operational,Request modification of obsolete data,5545
process activity,Operational,Manage archived reports with anomalies,25611
process activity,Operational,Carry out the certification of the data present in the aggregation procedure with respect to those present in the feeding systems,25610
control activity,Other,Verify the correct feeding of the data between the feeding systems and the data aggregation system,15164
process activity,Operational,Manage commission adjustments on ETD derivative trades,1719
control activity,Other,Verify the correct entry of the corrections entered in the procedure,26773
process activity,Operational,Carry out the preparatory activities relating to the management of the forwarding of the report via e-mail,11385
process activity,Operational,Correct any incorrect billing fees,11386
control activity,Other,Verify the correct entry of the amount subject to adjustment,26772
process activity,Operational,Manage the movements relating to transactions in ETD derivatives carried out under the Execution Only regime,1720
process activity,Operational,Load the incentives paid or received by the Bank both for transactions in securities and for transactions in ETD derivatives,11387
control activity,Other,Check that the amounts have been entered correctly,1718
process activity,Operational,Identify the sample of reports on which to carry out the certification,1721
process activity,Operational,Deactivate connection,9104
process activity,Operational,Enable public DNS,11819
control activity,Other,Verify the correspondence between authorized and activated DNS,14225
process activity,Operational,Check the safety contractual aspects in order to approve the request,11983
process activity,Operational,Evaluate security aspects and authorize application flows,19138
process activity,Operational,Advance deactivation,9102
process activity,Operational,Make your request,11820
process activity,Operational,Contact the other party for the definition of the technical characteristics,9100
process activity,Operational,Enter the VPN/Extranet activation request,27162
process activity,Professional,Evaluate the closure or any new request or derogation,9103
process activity,Professional,Activate the link and update the TLC archive,9101
process activity,Operational,Evaluate the need and methods of connection,1386
process activity,Operational,Perfect the active guarantee issued by the Parent Company,14460
control activity,Other,Check the loading of the guarantee issued by the Parent Company,14461
process activity,Operational,Communicate the release of the Risk Participation Agreement in the procedure.,31827
process activity,Professional,Stipulate the Risk Participation Agreement,30456
process activity,Operational,Archive documentation,14462
process activity,Operational,Upload the terms to apply to the Risk Sharing Agreement,30457
control activity,Other,Check the accuracy of the conditions loaded in the procedure,34465
process activity,Professional,Issue signature credit,31825
control activity,Other,Check that the entered data is correct,31826
process activity,Operational,Find support information,31218
process activity,Operational,Enter holidays on the calendar in ANAGE (Monthly and Yearly Activity),13956
process activity,Operational,Find the necessary information for annual/monthly entry into the age group,13959
process activity,Operational,Detect the need to update calendars/markets or commission tables,25287
process activity,Operational, Find the information you need for yearly entry/monthly entry in CAD,13958
process activity,Operational,Load data into procedure,31219
process activity,Operational,Archive documentation,13957
process activity,Operational,Entering holidays Entering holidays on the calendar in CAD (monthly and yearly activity),4593
process activity,Operational,Apply to join the BYOD proposal,18456
process activity,Operational,Disable the BYOD user,31551
process activity,Operational,Make the BYOD device replacement request,7953
process activity,Operational,Uninstall the BYOD service software from the replaced personal device,7955
process activity,Operational,Send the telephone SIM to the appropriate corporate structure,7954
process activity,Professional,View and validate the request,18455
process activity,Operational,Install the BYOD service software on your personal device and accept the service,18454
process activity,Operational,Make the request to opt out of the BYOD offer,31553
process activity,Operational,Uninstall the BYOD service software from your personal device,31552
process activity,Operational,Send the telephone SIM to the appropriate corporate structure,31550
process activity,Operational,Activate the telephone SIM and send it to the employee,7957
process activity,Professional,Evaluate the type of request to be made,24019
process activity,Operational,Activate the telephone SIM and send it to the employee,18457
control activity,Other,Check any BYOD registered devices and send the service activation instructions,19108
process activity,Operational,Send instructions,7956
process activity,Operational,Install the BYOD service software on the new personal device,7958
process activity,Operational,Inform the interested structures of the system availability of the new reason,1087
process activity,Operational,Forward the form to the Structure in charge of census of the reason,13637
control activity,Other,Carry out the checks for which they are responsible,16525
process activity,Professional,Prepare the form for requesting a new reason,11709
process activity,Professional,Check the request received and complete the form,33571
process activity,Operational,Forward the form to the competent structures,13636
process activity,Professional,Identify the reason for the FIU and request application updates,1086
process activity,Professional,Register the new reason,13638
process activity,Professional, Implement table,18007
process activity,Professional,Open any incident to enter the new reason,25514
process activity,Professional,Evaluate the possibility of entering the causal in the Perfora 803 table,25513
process activity,Operational,Communicate any requests for rectification,16526
process activity,Operational,Update and publish the Information Sheet,9881
control activity,Other,Check the imported data,19047
process activity,Professional,Prepare control tools,22253
control activity,Other,Perform consistency check,20306
control activity,Other,Verify posted totals,23633
process activity,Professional,Carry out adjustment entries,29416
process activity,Professional,Prepare reports with comments on trends,29418
control activity,Other,Verify reports produced,574
process activity,Professional,Provide extracts from the Sire archive to various external structures,32351
process activity,Professional,Account for the received values,19046
control activity,Other,Check end of month processing,18759
process activity,Professional,Record the values present in the ledger,32350
control activity,Other,Verify consistency of complex accounting,32352
process activity,Professional,Close the ledger,29417
control activity,Other,Verify consistency of accounting entries with ledger balances,20307
process activity,Professional,Request any missing information,3782
process activity,Professional,Enter the recovered data into the system,19045
control activity,Professional,Check imported or manually entered data,22252
process activity,Operational,Deliver a copy of the report to the exhibitor,17641
process activity,Operational,Ask the exhibitor to sign the banknote,7807
process activity,Operational,Print and sign the report,17640
process activity,Operational,Receive communication from the competent Authority regarding the outcome of the assessment,17643
process activity,Operational,Filing documents at the branch,16320
process activity,Operational,Prepare the minutes in four copies,12292
process activity,Operational,Withdraw suspicious banknotes or coins from circulation,25838
process activity,Operational,Filing documents at the branch,17644
process activity,Operational,Notify your manager of the receipt of suspected counterfeit notes or coins,27484
process activity,Operational,Send an original of the report and the suspect banknotes or coins without delay,17642
control activity,Other,Monitor the shipment,3560
process activity,Operational,Keep an original of the report and a photocopy of the banknotes at the branch,7806
process activity,Operational,Indicate the unique SIMEC code on the banknote,2286
process activity,Operational,Draw up the letter to the Police Headquarters and send the documents and banknote to the competent Police Headquarters without delay,7808
control activity,Other,Monitor the shipment,3561
process activity,Operational,Fill in and send the withdrawal report for suspected counterfeit euro banknotes or coins,17639
process activity,Professional,Activate the enforcement process,19382
process activity,Professional,Update the evidence in the procedure and archive the documentation,30940
process activity,Professional,Check the variations that have occurred on the guarantee,29421
process activity,Professional,Update Fund records and file collateral.,30939
process activity,Professional,Evaluate the possibility of taking over by any entitled heirs.,32813
process activity,Professional,Notify the Foundation/Association and the Anti-usury Agreement Manager of the termination/early repayment,30938
process activity,Professional,Contact any heirs,19381
process activity,Operational,Verify the regularity of what has been entered,34118
process activity,Operational,Receive communication about the presence of rules to be validated,2549
process activity,Operational,Confirm the approval rules,2550
process activity,Operational,Submit the data summary file for rate adjustments,23261
process activity,Operational,Archive documentation,27154
process activity,Operational,Prepare and forward the prospectus to the appropriate structure,22068
process activity,Professional,Accounting for the tax for each company,22069
control activity,Operational,Verify tax accounting,22070
process activity,Operational,Retrieve and process the data of the tax assessed in the reference period,13755
control activity,Operational,Reconcile the consistency of the postings in the income statement,9096
control activity,Operational,Balancing the balance of the tax account,20071
control activity,Operational,Balance the substitute tax to be paid annually,10160
control activity,Operational,Reconcile the substitute tax assessed in the reference month in the accounts,10159
process activity,Operational,"Check the documentation made available by the customer, have the declaration of fulfillment of the conditions precedent signed and generate the certificate",12707
process activity,Commercial,Explain the offer to the customer,3064
process activity,Professional,Deliberate the PEF for the transfer of the tax credit,3058
control activity,Other,Prepare the transfer contracts not produced automatically by the system,24107
process activity,Operational,Account for the operation,17568
control activity,Other,Verify the correct accounting of the operation,15447
process activity,Operational,Manage the customer's advance request,3335
process activity,Professional,Have the contract signed,3059
process activity,Operational,File the assignment agreement,3060
control activity,Other,Check contracts/documentation acquired,29128
process activity,Professional,Identify and accept the tax credit,17569
process activity,Operational,"Fill in, where required, the questionnaire for adequate verification and risk profiling",3062
process activity,Operational,Performs preliminary activities and checks,14744
process activity,Professional,Fulfill the fulfilments envisaged by the provisions on Transparency,3063
process activity,Professional,Start the application and process the assignment proposal,3065
process activity,Operational,Identify and consequently register or update the Customer's personal data,3061
process activity,Operational,Archive documentation,3336
process activity,Operational,Provide the customer with the advance or advances if there are several construction sites,30664
process activity,Operational,Reconcile the sums credited and extinguish the advance,17567
process activity,Professional,Identify and consequently register or update the Customer's personal data,3337
process activity,Professional,Report the results of the checks,33676
process activity,Operational,Archive documentation,5914
process activity,Professional,Take any corrective actions,33677
process activity,Professional,Monitor the implementation of corrective actions (Follow up),33678
process activity,Professional,Define and formalize the attributes of controls,33673
process activity,Professional,Run the checks,33675
process activity,Professional,"Analyze the inherent risk, the control system and prepare the control plan",33674
process activity,Professional,Perform financial reporting risk assessment,33539
process activity,Professional,Define the control methodological framework,21963
process activity,Professional,Perform SPPI tests,22601
process activity,Professional,Confirm test result,26513
process activity,Professional,Activate negotiation,22600
process activity,Professional,Verify the consistency of the tool with the Business Model of the desk,18237
process activity,Professional,Complete test result,26515
process activity,Professional,Evaluate activation of support functions,26514
process activity,Professional,Proceed with trading activities,27344
control activity,Other,Check the result of the SPPI test,19754
process activity,Operational,"Carry out the preliminary tasks relating to the ""Single Certification""",32278
process activity,Operational,Survey the tax data of the recipients,30636
process activity,Operational,Communicate the execution of the debit transaction,8307
process activity,Operational,Check the data,3045
process activity,Operational,Set up the operation,28774
process activity,Operational,Carry out the traveling game,4075
process activity,Operational,Collect data for ordinary 770 model power supply,32281
process activity,Operational,"Send the ""Single Certification"" information flows",32279
process activity,Operational,Perfect the regulation,4076
process activity,Operational,Feed the database for model 770 power supply,32282
process activity,Operational,Communicate the dispatch of the traveling consignment,28775
process activity,Operational,Forward Certifications to recipients,32280
process activity,Operational,Pay the withholding tax,28776
process activity,Operational,Archive assignment letters,32283
process activity,Operational,Carry out accounting settlement,4074
process activity,Operational,Acquire information on the nature of the credit,28773
process activity,Professional,Acquire a written proposal of the settlement agreement and acquire a positive evaluation by the Authorized body,4045
process activity,Professional,Proceed with the proposed resolution for the extension,3988
process activity,Professional,Check for any counter-guarantee,4043
process activity,Professional,Receive from the Confidi the communication concerning the outcome of the request for enforcement of the Counter-guarantee and manage the outcome.,29275
process activity,Operational,Register the payment by the Confidi in the relevant application,24734
process activity,Professional,Evaluate possible actions to take,4246
process activity,Professional,"Fulfill the request for clarifications/corrections/integrations in the enforcement phase, conveyed by the Confidi",32163
process activity,Operational,Monitor payment by Confidi,18867
process activity,Professional,Verify the possible need to proceed with the enforcement of the Confidi guarantee,29458
process activity,Professional,Start the recovery procedure and send the documentation certifying the start of the recovery procedures to the Confidi and to the Specialist Unit,27586
control activity,Other,Verify that the documentation complies with the provisions of the Fund,27590
process activity,Professional,Fulfill the provisions of the Agreement with Confidi,4243
process activity,Operational,Register the proposal to suspend the terms of the Guarantee in the relevant application,4180
process activity,Operational,Receive the resolution of the Guarantee Fund from the Confidi and inform the Specialist Unit.,3946
process activity,Professional,Verify the correctness of the documentation and register the proposed settlement agreement,4248
process activity,Operational,Receive the outcome of the request for suspension of the terms of the counter-guarantee from the Confidi,4179
process activity,Professional,Agree with the customer and the Confidi on the methods of intervention for the extension of the counter-guarantee,3992
process activity,Professional,Agree with the customer the methods of intervention for the suspension of the terms of the counter-guarantee and send the documentation to the Confidi and Specialist Unit.,4310
process activity,Professional,Notify the Confidi of the completion or non-completion of the extension proposal.,4182
process activity,Professional,Present the settlement agreement proposal to the Confidi in advance and acquire the conditional resolution from the authorized body,4184
process activity,Professional,Continue with the activities envisaged by the Conventions for the enforcement of the guarantee,7243
process activity,Professional,Receive payment from the Confidi,18868
process activity,Operational,Record the non-acceptance of the settlement agreement proposal in the relevant application,4309
process activity,Professional,Proceed with the formal enforcement of the Confidi guarantee,29459
control activity,Other,Check the completeness and correctness of the documentation,15072
process activity,Operational,Receive the documentation of rejection of the Guarantee Fund from the Confidi,4245
process activity,Professional,Finalize the proposal for the extension of the counter-guarantee.,3990
process activity,Professional,Provide for reporting the negative enforcement,24735
process activity,Operational,Record the non-fulfilment regularization event in the pertinent application,24105
process activity,Professional,Receive the documentation/communication from the Confidi and detect the outcome of the settlement agreement proposal,4181
process activity,Operational,Receive confirmation of extension from the Confidi and the Fund,3945
process activity,Operational,Send an electronic copy of the communication,3967
process activity,Professional,Inform the Specialist Nucleus and the Confidi of the regularization of the default,24736
control activity,Other,Verify that the documentation is correct and complete,24104
process activity,Professional,"Manage, if necessary, requests for clarifications/corrections/integrations in the enforcement phase, conveyed by the Confidi",32161
process activity,Operational,Record the outcome of the Warranty extension request in the relevant application,3989
process activity,Operational,Record the outcome of the request for suspension of the terms of the counter-guarantee in the relevant application,4312
process activity,Operational,Provide for reporting the positive execution,16261
process activity,Professional,Check the documentation received and make the appropriate entries in the pertinent application,16260
process activity,Operational,Register the fulfillment of the request in the relevant application,29274
process activity,Operational,Record the outcome of the activation of the Counter-guarantee in the pertinent application,29276
process activity,Professional,Retrieve the Agreement and verify the methods of enforcement,3991
process activity,Professional,Request the competent Manager/Management Structure to verify the possible need to proceed with the request for enforcement of the Confidi,29457
process activity,Professional,Manage the outcome of the request for enforcement of the Confidi guarantee,16259
process activity,Operational,Record the resolution of the FdG in the relevant application,4247
process activity,Operational,Register the communication of the extension request to the Confidi on the pertinent application.,4183
process activity,Professional,Identify the type of intervention to be undertaken.,4244
process activity,Operational,Register the request in the relevant application,32162
process activity,Operational,Send an electronic copy of the resolution and communication to the Confidi to the dedicated structure via the indicated application,4046
process activity,Professional,Finalize the settlement agreement and inform the Confidi and the Specialist Unit.,4042
process activity,Operational,Record the start of the enforcement of the Confidi guarantee and the counter-guarantee in the pertinent application,15073
process activity,Professional,Send a copy of the rejection documentation to the dedicated structure and inform it of the activity,4044
process activity,Operational,Record the outcome of the completion of the settlement agreement and the communication to the Confidi on the pertinent application.,4311
process activity,Commercial,Proceed with the sale on the post-primary market,33954
process activity,Commercial,Make contractual documentation available to committed participants,33984
process activity,Professional,Start organizing the union,33982
process activity,Commercial,Invite potential attendees,33955
process activity,Professional,Communicate final allocation,33963
process activity,Professional,Verify the preparatory conditions for the launch of the syndication,33993
process activity,Professional,Verify the existence of any negative situations,33992
control activity,Other,Verify the correct and complete compilation of the form,1552
process activity,Commercial,Notify the customer of the start of the syndication process,33969
process activity,Commercial,Define the settlement of the transfer,33970
process activity,Commercial,Receive confidentiality letters,33981
process activity,Commercial,Prepare the documentation relating to the transfer,33962
process activity,Professional,Consolidate presentation for any Bank Meeting,33971
process activity,Commercial,Prepare Information Packages,33990
process activity,Commercial,Receive Invitation letter and/or Authorization letter signed by the customer,33953
process activity,Operational,Perform system updates,33980
control activity,Professional,Verify the correct entry of data into the system,11817
process activity,Professional,Prepare final allocation,33977
process activity,Commercial,Consolidate attendee list,33991
process activity,Professional,Authorize the sale in the event of a negative impact on the income statement,33965
process activity,Commercial,Sign the transfer documentation,33983
process activity,Operational,Receive communication about decisions regarding credit resolution and sign-off approval,33985
process activity,Professional,Authorize the sale in the event of a negative impact on the income statement,33976
process activity,Professional,Request authorization for the sale only in the event of a negative impact on the income statement,33964
process activity,Commercial,Make the Information Package available,33989
process activity,Commercial,Gain commitment from participants,33978
process activity,Commercial,Start the formalization of the sale,33815
process activity,Professional,Request authorization for the sale only in the event of a negative impact on the income statement,33972
process activity,Commercial,Participate in any Bank Meeting,33979
common process activity,Professional,Check if the anti-money laundering obligations are correctly fulfilled,5536
common process activity,Professional,Check if the anti-money laundering obligations are correctly fulfilled,5537
common process activity,Professional,Check if the anti-money laundering obligations are correctly fulfilled,5538
process activity,Operational,Submit complete documentation,4904
process activity,Operational,Submit complete documentation,4905
process activity,Operational,Submit complete documentation,4906
process activity,Commercial,Gather the necessary documentation,4901
process activity,Commercial,Gather the necessary documentation,4902
process activity,Commercial,Gather the necessary documentation,4903
process activity,Commercial,Provide the customer with the complaint form,16181
process activity,Commercial,Provide the customer with the complaint form,16182
process activity,Commercial,Provide the customer with the complaint form,16183
process activity,Commercial,Identify the type of request and identify the requesting party,9540
process activity,Commercial,Identify the type of request and identify the requesting party,9541
process activity,Commercial,Identify the type of request and identify the requesting party,9542
process activity,Professional,Produce information for financial statements and update financial statements applications,35014
control activity,Other,Verify correct accounting of data and completeness of positions with respect to the supervisory application,3281
process activity,Professional,Produce reports for management purposes,35015
process activity,Professional,Accounting for the FVOCI reserve and accounting for taxation,23675
control activity,Other,Verify correct accounting of data and completeness of positions,23682
process activity,Professional,Transmit the fair value measurements to the supervisory application,29594
control activity,Other,Verify correct accounting and completeness of the positions with respect to the supervisory application,21483
process activity,Professional,Account for credit risk assessment for FVOCI receivables,35013
control activity,Other,Verify correct accounting of the data register and completeness of the positions,23681
process activity,Professional,Accounting for fair value values,9984
control activity,Professional,Verify the correctness of the values accounted for,21482
process activity,Professional,Produce information for the purpose of monthly reporting,35016
process activity,Professional,Check for any changes in the scope of equity investments,27769
process activity,Professional,Contact the new company in the perimeter,27772
process activity,Operational,Update the Group Map,27771
process activity,Operational,Update own internal findings ex Volcker Rule,27775
process activity,Professional,Communicate relevant changes,27770
process activity,Professional,Communicate the assigned classification to the Company,27774
process activity,Professional,Check if there are already any regulatory adjustments and classify the Company under the Volcker Rule,27773
process activity,Operational,Select the desired variation in the procedure,21668
process activity,Operational,Complete the information to request a variation,9886
process activity,Operational,Recall policy due to policy change,9887
process activity,Professional,Deliver contractual documentation,9888
process activity,Operational,Recall the changed policy,18678
process activity,Operational,Recall the branch change policy,9884
process activity,Operational,Confirm the withdrawal operation,21670
process activity,Operational,Deliver and have the contractual documentation signed,21671
process activity,Operational,Deliver contractual documentation,18679
process activity,Operational,Identify the Client,21669
process activity,Operational,Complete information for policy change request,18680
process activity,Commercial,Contact the Support Structures,2725
process activity,Professional,Deliver contractual documentation,9885
process activity,Operational,Manage documentation and archive it,8421
process activity,Operational,Send all documentation to the new Branch,29611
process activity,Operational,"Recall policy for ""Withdrawal"" request",21672
process activity,Operational,Evaluate the actual need for cross-functional coordination,9749
process activity,Operational,Analyze the Impact Assessment Details,24480
process activity,Operational,Gather more context information,34820
process activity,Operational,Evaluate the possible involvement of further corporate functions,24481
process activity,Operational,Evaluate characteristics of the event,34821
process activity,Professional,"Send the signed ISDA, CSA and Collateral Transfer Agreement and Collateral Security Agreement to the Counterparty",26953
process activity,Professional,Request definition of Credit Provisions (activation of internal ISDA/CSA) or evaluation of the credit clauses proposed by the Counterparty (activation of external ISDA/CSA),2832
process activity,Professional,"Prepare the draft of the proposed ISDA Contracts, CSA and Collateral Transfer Agreement and Collateral Security Agreement",1267
control activity,Professional,Verify the Specimen and Signatory Powers of the Counterparty [* without risk],4967
control activity,Professional,Verify the Specimen and Signatory Powers of the Counterparty [* without risk],16179
process activity,Professional,"Evaluate and define the credit, commercial and operational parameters relating to the proposed ISDA/CSA Contracts and Collateral Transfer Agreement and Collateral Security Agreement",2833
process activity,Professional,Survey collateral deposit and logics for the settlement of securities with the Counterparty,3214
process activity,Professional,Record the standard settlement instructions (SSI) for cash settlement with the Counterparty,18422
process activity,Professional,"Communicate the completion of ISDA, CSA and Collateral Transfer Agreements and Collateral Security Agreements with the Counterparty",9205
process activity,Professional,Send the swift message and record the collateral deposit of the securities with the Counterparty,34307
process activity,Professional,"Communicate the completion of ISDA, CSA and Collateral Transfer Agreements and Collateral Security Agreements with the Counterparty",28025
process activity,Professional,"Request the formalization of the proposed ISDA, CSA, Collateral Transfer Agreement and Collateral Security Agreement with the Counterparty with the Counterparty",27104
process activity,Professional,"Negotiate ISDA Contracts, CSA and Collateral Transfer Agreement and Collateral Security Agreement with the Counterparty",1266
process activity,Professional,Register Counterparty and collateral account/s in Sire,624
process activity,Professional,"Sign the ISDA Contracts, CSA and Collateral Transfer Agreement and Collateral Security Agreement",12355
process activity,Professional,"Evaluate the possibility and opportunity to start negotiating ISDA Contracts, CSA and Collateral Transfer Agreements and Collateral Security Agreements with a Counterparty",28567
process activity,Operational,"Send the signed ISDA, CSA and Collateral Transfer Agreement and Collateral Security Agreement to the Counterparty",20101
process activity,Professional,Record the standard settlement instructions (SSI) for cash settlement with the Counterparty,623
process activity,Professional,Register Counterparty and collateral account/s in Sire,1651
process activity,Professional,"Sign the ISDA Contracts, CSA and Collateral Transfer Agreement and Collateral Security Agreement",26952
process activity,Operational,"Receive the ISDA Contracts, CSA and Collateral Transfer Agreement and Collateral Security Agreement countersigned by the Counterparty",20102
process activity,Professional,Survey collateral deposit and logics for the settlement of securities with the Counterparty,16340
