application,applicationID
New Web Complaints,1293
EBSO Foreword,611
ICE extension,901
GM00 Anti-money laundering monitor management Attachments,828
XS01 - Variation of average values,1869
OCF Dashboard,1298
Intex,994
IJBL Management of Bank Checks in FOREIGN CURRENCY,931
Credoc Web Documented remittances import,468
MAG MTF Aggregator,1094
Risk integration,1524
AdG MdG Management of economic groups,166
MV Transferability active,1160
ASSOR Cash absorption value drawer management,150
OPEN Management of opening work session,1307
DAT0 - Management of Issuer Commissions,491
RagAgEnt Management of revenue agency inquiries,1480
IMF Tax Monitoring Survey,932
TIKIN Ticket collection,1723
LC0S Schedule Introduction,1049
SCBON Wire transfers according to provisions,1593
"ZAFI Prepaid card, card delivery in convention",1906
Report Servicer,1504
TigerZ Net Treasury Warning Management,1761
I LOVE New deal,895
EVT Prints Remote,660
Reference Counterparties,1486
N600 Reservation and banknote advance self-sealing cash register,1210
Branch document archive management,275
GIANOS 3D Survey questionnaires due diligence,803
BJD1 Blacklist,213
Ecopens,667
PPOME Edit occupation organization,1375
PP01 Current floor data update,1371
TACO FTT Italia Register of Instrumental Obligations,1706
SPRE Provisional reversal of revenue,1641
ABON I cancel wire transfers,121
Cash and Treasury TESIN Operation TESIN Reverse collection,389
TESDO Treasury document scan,1720
Cash and Treasury Introduction,386
STRE Reverse reversals,1650
REPM Adjustment of multiple provisionals,1455
CARS Reversal loading with single sub,297
REGO Batch regularization,1453
REPN Adjustment of multiple provisionals,1456
GDST BOM management,766
MIFT Management of telematic flows,1115
VAVE Slope variation,1802
CARE Loading reversals with multiple divers,295
QUARRIES Slope loading,1434
VARE Reverse variation,1800
APPLICATION FOR GROUP FIDUCIARIES,138
PRICE Insertion of a derogation proposal on the agreement,1379
DSO - CT Management,524
SAP Employee Self Service,1543
RRM Credit Risk Management System portal,1475
MDEL Delegations menu,1107
DIDL Delegation disengagement due to deadline,506
GIDL Deadline disengagement commitment management,810
Cash and Treasury TESPA Operation TESPA Payment of wages,390
GDLG Delegation management,765
STMA Reversal of mandates,1647
SPRU Provisional exit reversals,1642
GPAR Limit on the amount of payments in circulation,832
CAMA Loading mandates with multiple subs,290
IEMU Query of banks and mortgage lenders,914
CADL Loading Delegations,288
GEMU Management of banks issuing mortgages,780
VAMA Variation of mandates,1799
VADS Variation of delegation deadlines by date,1795
PAMA Payment sent by cash,1335
VADM Variation of delegation deadlines by mortgage code,1794
CBILL Collection CBILL Utilities,301
CMAT Loading of beneficiary registration numbers,336
Cash and Treasury TESPA Transaction TESPA Payment prov. exit,391
INDL Delegations question,941
VADL Variation of delegations,1793
IIDL Query commitment decommitment deadlines,918
INDS Query delegation deadlines,942
STDI Reversal of provisions,1646
CIFT Confirm telematic flows,328
IIFT Inquiries bil of the regulation,919
REPS Adjustment of temporary beneficiary salaries,1458
GPO Premise,838
ROFI0,1469
NK00 Quick contract management,1247
NK00 Operating limits,1244
MOPLE Non-performing Proposed movement on positions,1132
CORE Subscription and management of Solution PA service,356
150863 - EB0N-NPE extinction,34
AAEN NDG Information Expansion,105
Accounting for Foreign Dividends,159
MailDocPRO Quick Guide,1162
AAQR Inquiry reports,109
ESTEROWEB Customer profiling,635
ESTEROWEB Tick incoming wire transfers,647
NQ00 Protest management service execution mode,1269
NQ00 Methods of execution of the public official service,1268
NQ00 Method of execution of the paper bills cash management service,1266
Tivoli TADDM,1763
DWH Market Hub,535
Click Station IDEM,411
GL,826
ESTEROWEB Negotiation of SBF CHECKS,643
EVA Simulator Structured finance,659
Coding table Deliberating Bodies (LIFA),416
Document Filing - ADM00 - Expertise Management,569
Doctor,568
Tango04,1748
BJD1 Disclaimers out of respect for privacy,215
Renewals - Automated management of mortgage renewals,1501
Tagetik leasing,1747
GPA Company car fleet management,831
SAP R3 RE Validation Sending IFRS16 flows,1573
NZ00 Foreign Specialist,1281
MOPLE Likely Defaults,1126
ESTEROWEB Customer map foreign transfer,634
A000 Activation of special case deposits,67
TP-DUB0 Meter Certification System,1729
DPNS (F23),512
A000 IRTF Inquiry Branch Transfer Requests,92
A000 GMC1 Compensation against free institutional clients,74
A000 GRGD Total transfer of securities (for sub-deposit),84
A000 GNGD Single title lap,76
A000 GRTF Branch Transfer Request Management,85
Financing - Credito Fondiario,748
Data Governance Portal Dictionary Management Component,548
Data Governance Portal Flow Monitoring,549
SAP R3 Purchasing Registry and basic functions,1571
"ROKY0 Reporting of Costs, Charges and Incentives",1471
ROKY0 Automatic Dial,1470
DYNG Introduction,542
Customer reporting,484
CRB Contract Inbiz Ordinary Roles Management,364
Archias,184
Reporting Loans in agreement with CDP,1506
GY4A Management of services on bank checks,848
Sisba monitor,1673
Tableau de Bord QD Data Quality,1742
DQM corrective form,514
BITSIGHT Supplier monitoring,210
ZAFI Prepaid card top up card,1905
Tool Market Data,1765
Formicary Tool,753
Ice Clear Europe,972
UCWEB REBB contract management,1773
A000 GRTS Securities request management at the counter,86
SAP Workflow Supplier Master Data Centralized Companies (Purchasing Centralization),1584
M0PF Management of contractual installment suspension for the Family Plan and Solidarity Fund,1086
ZAFI Money Transfer Western Union,1898
Withdrawal only ATM equipment,1863
10 Foreign Network Information System,2
WEBCARDS Services,1833
Factoring - Credit Presentation,735
SCC Swift Cover Check,1594
MOPLE Unlikely to pay Resolutions on substandard positions,1145
UTEIN Utilities collections and domiciliation,1777
BAUIN Car tax collection,200
Sextant,1663
TEX Tool Exchange,1722
T2S GUI - T2S token activation,1703
ITSM - New Ordinary Web Request,970
BOSCA Transfers according to provisions,233
Document archiving Appl. accompanying letter,574
Document archiving Management of waste pulp,579
155116 e-Catalog Archives Mass searches,59
E-Catalog Mass collections archives,592
Presence of third parties in the branch,1415
Red Hat Satellite,1485
Microsoft SCCM System Center Configuration Manager,1184
ISBD dashboard,959
Conflicts of Interest Register,424
ISP FactSet Partners,963
ECAF0 ECAF static pool production procedure,613
Front Web Fatca Crs - Administrative Functions,754
CCWEB Department Stores Management of Euro payments,308
"N650 Management of single positions, confirmation of receipt of values",1223
Checks PRIAS reservations checks inquiry,405
Amadeo,178
Damage policies,544
Life policies,1077
155096 B GAUDI Automated Mortgage Data Management - Central offices,55
DDRIB Management of Mandates at Bank Risk,498
DDSCO Management of Prescoring Authorization Requests,499
SAP R3 Assets Prudential area for software,1561
PUSP Unified Groups and Portfolios Procedures,1390
EBA-SHUTTLE,603
FINV Management functions,707
Tableau de Bord of Audit,1743
MBC Sending Mint to Isidoro procedure,1097
Audit surveillance models,196
Audit assignments,194
Audit Risk Assessment,193
Audit interventions,195
ZAFI Prepaid Commercial Card Card issuance request,1903
ZAFI Card Set Request Position and Card,1879
ZAFI Prepaid card delivery card,1904
ZAFI Top up paper,1912
Out of Office Easy,1324
Report KPI SIT Mgn Power BI,1502
NAGA Negotiated Checks,1230
MEMENT reports,1111
CJ FROM WHICH ABC Channel,330
BanSic Work Environment Safety Management,262
CMS Magnolia,349
MCT Accounting Model Target Accounting manual,1102
Integrated Governance Management Dashboard,986
RFI Sharepoint Tool,1460
FOL,722
Cisco IP Phone 7911G,408
AS400 Telex - Fax,145
Corporate ceiling,435
SONAR,1635
