controlCategory,controlType,controLPeriodocityEnglish,control,controlID
Other,Manual,Monthly,Verify notionals with SIRE ASTATC reports,2645
Other,Manual,Per event,Certify the pricing of the issue,271
Other,Semi-automatic,Monthly,Check and possibly correct the information on a monthly basis,328
Other,Semi-automatic,Annualy,Verify the correctness of the sign base,3789
Other,Semi-automatic,Annualy,Carry out checks,139
Other,Manual,Per event,Review and make any adjustments to the report,2085
Other,Manual,Per event,Verify correct census,2425
Other,Missing,Missing,Verify correctness of the pre agreement,2544
Other,Manual,Per event,Check the completeness of the necessary information,1049
Other,Manual,Per event,Verify correct entry into the system,2447
Other,Manual,Per event,Check the correct regulation,1209
Operational,Manual,Per event,Check compilation of orders,371
Operational,Manual,Per event,Verify order entry is correct,2651
Operational,Manual,Daily,Verify the correctness of the execution,3705
Other,Other,N.A.,"Check the balance of the operation, the correctness of the data and archive the documentation",948
Operational,Manual,Per event,Verify correctness of data,2531
Other,Manual,Per event,Verify the correctness of the prepared communication,3761
Other,Missing,Missing,Keep track of reports,1860
Other,Manual,Per event,Verify the correctness of the documentation to be sent to Sace,3697
Other,Manual,Per event,Check the capacity of the budget,961
Other,Manual,Per event,Check for the presence of further initiatives attributable to the same subject,621
Other,Semi-automatic,Per event,Verify the correctness of the expenditure commitment,3708
Other,Manual,Quarterly,Verify the correct and complete compilation of the data,3207
Operational,Manual,Quarterly,Check the correspondence of the tax results with the accounting balances,1329
Other,Manual,Per event,Verify the correct capital absorption,3262
Other,Manual,Per event,Verify the missing/incorrect link between the guarantee and the covered loan,3928
Other,Manual,Per event,Verify the correct loading of the Financial Guarantee,3416
Other,Manual,Per event,Check for event signalling,570
Other,Manual,Per event,Verify that the changes made are correct,2799
Other,Manual,Per event,Check the correctness of the MX3 registration,1242
Other,Manual,Per event,Verify the correct ceiling,3263
Other,Manual,Per event,Verify the correct accounting of the Confidi guarantee and the Fund's counter-guarantee,3155
Other,Manual,Per event,Verify the correctness of the declaration regarding the advantage recognized to the company,3685
Other,Manual,Per event,Verify the correct execution of the initiative.,3371
Other,Manual,Per event,Verify the correct accounting of the Fund's counter-guarantee.,3156
Other,Manual,Per event,Check the correct execution of the initiative and the archiving of the email forwarded to the bank transfer office for the respective payment of the commission.,1186
Other,Manual,Per event,Verify that the warranty documentation is correct,2881
Other,Manual,Quarterly,Perform accounting reconciliation,1997
Other,Semi-automatic,Quarterly,Randomly verify correct reconciliation,2046
Other,Semi-automatic,Decadal,Check and validate event,333
Other,Manual,Per event,Check the quality of the entered data,1559
Other,Manual,Quarterly,Randomly verify the correct entry of internal offenses,2047
Other,Manual,Daily,Verify reconciliation of recalled and outstanding accounts,2709
Other,Manual,Per event,Verify the correctness of the expected debit/credit balances,3707
Other,Manual,Per event,Check the correspondence of the tax results with the accounting balances,1329
Other,Manual,Per event,Check the accounting of the position,895
Other,Semi-automatic,Per event,Verify the formal correctness of the communication,3900
Other,Manual,Per event,Verify the substantial correctness of the communication with respect to the perimeter,4016
Other,Semi-automatic,Daily,Verify the correct transposition of the operations,3495
Other,Semi-automatic,Per event,Monitor the state of settlement of network bank transactions on own account,1967
Other,Manual,Daily,Check for any unloaded reversals from the system,540
Other,Manual,Per event,Check Report English version,290
Other,Manual,Per event,Check the correspondence of the definitive pdf of the file,1324
Other,Manual,Annualy,Check draft information for completeness Report,469
Other,Missing,Missing,Check the delivered supply,1383
Professional,Automatic,Per event,Evaluate the inconsistencies,1817
Other,Missing,Missing,Carry out a review of the information collected,125
Other,Manual,Per event,Verify the accounting carried out,2925
Other,Missing,Missing,Verify the correct placement of the message,3434
Other,Manual,Per event,Check for anomalies and request accommodation,498
Other,Semi-automatic,Daily,Balancing matches,104
Other,Semi-automatic,Per event,Verify accounting data received with procedure processing,2220
Other,Semi-automatic,Daily,Verify negotiation and clearing fees payable,2639
Other,Manual,Annualy,Verify the consistency of the extracted data,3115
Other,Manual,Annualy,Check that the reporting form is filled in correctly,842
Other,Manual,Annualy,Check the consistency of the data uploaded to the site,1102
Operational,Manual,Per event,Check list of amounts,674
Operational,Manual,Monthly,Check the situation of suspended collections,1643
Operational,Manual,Per event,Check the correctness and consistency of the credit transfer,1235
Operational,Manual,Per event,Verify formal regularity of credit titles,2613
Operational,Manual,Monthly,Check on a monthly basis the correspondence between the list of AP subjects present in the list provided by HR and the list of APs registered for the NFA Proficiency exam on the NFA platform,697
Operational,Manual,Quarterly,Check the correspondence between the complete list of APs provided by Human Resources and the list of APs subject to monitoring,1313
Other,Semi-automatic,Per event,Check the system default rates point in time at 1-2-3-years,1672
Other,Manual,Half yearly,Check add-ons and detect anomalous data,311
Other,Manual,Annualy,Verify the correctness of the algorithm,3604
Other,Semi-automatic,Annualy,Verify correct calculation of migration matrices for Sovereign model,2423
Other,Manual,Half yearly,Check conditional LGD grids and detect outliers,378
Other,Semi-automatic,Half yearly,Check the correct calculation of the LGD conditioning coefficients,1167
Other,Semi-automatic,Annualy,Verify correct calculation of TTC migration matrices,2422
Other,Manual,Half yearly,Check point-in-time migration matrices and detect anomalous data,714
Other,Manual,Half yearly,Check cumulative PD and detect abnormal data,420
Other,Automatic,Annualy,Verify proper transposition of Haircut grids,2683
Other,Automatic,Half yearly,Verify correct transposition of Add-on grids,2501
Other,Manual,Annualy,Verify proper transposition of LGD samples,2684
Other,Automatic,Annualy,Verify correct transposition of CCF grids,2502
Other,Semi-automatic,Annualy,Verify correct calculation of migration matrices for models other than Sovereign,2424
Other,Automatic,Annualy,Verify the correct transposition of the grids for the analytical-statistical evaluation,3494
Other,Semi-automatic,Daily,Verify consistency between Management P&L and calculated Backtesting PL,2365
Other,Semi-automatic,Daily,Verify deviations between Backtesting P&L and VaR,2578
Other,Semi-automatic,Per event,Verify power flows to risk systems,2666
Other,Semi-automatic,Per event,Verify power flows to management systems,2665
Other,Manual,Daily,Analyze the contribution of generic prices,70
Other,Semi-automatic,Daily,Verify correctness of the Backtesting calculation,2541
Other,Semi-automatic,Daily,Analyze Backtesting data,38
Other,Semi-automatic,Quarterly,Check the periodic reports relating to the analysis performed,1536
Other,Missing,Missing,Verify the data and documentation to be archived,3837
Other,Manual,Per event,Verify the exact census/update of the corporate structure,3874
Other,Manual,Per event,Verify exact identification of the counterparty,2603
Other,Missing,Missing,Evaluate and approve the planning,1805
Other,Missing,Missing,Evaluate and approve the justification request,1804
Operational,Manual,Per event,Verify the correctness of the changes made,3639
Other,Missing,Missing,Check effects of modification,474
Other,Manual,Per event,Verify that the variations introduced in the parameters are consistent with the deviations detected.,2880
Other,Manual,Per event,Check that the guarantee has been unloaded in the procedure,822
Operational,Manual,Quarterly,Check the correct insertion of the impact,1194
Operational,Manual,Monthly,Check the Excel census of Abitacs reports,874
Other,Manual,Monthly,Check the census in Yubik and in the Legal Inventory of Abitacs reports,967
Professional,Manual,Per event,Check the changes made to the penalty table,971
Other,Missing,Missing,Verify the consistency of the received impact scenarios,3128
Professional,Manual,Per event,Check the completeness of the documentation,1032
Other,Semi-automatic,Monthly,Verify the absence of Accounts to be connected,2909
Other,Manual,Monthly,Verify the correctness and completeness of importing the file into the Financial Statement application and the outcome of the processing produced.,3528
Other,Manual,Monthly,Attest to uploading information,96
Other,Manual,Monthly, Perform trend analysis on monthly flows by aggregate Income Statement item,21
Other,Manual,Per event,Check the origin of the fail and the amount of the interest claim,1514
Other,Manual,Per event,Check for correct accounting,550
Other,Manual,Per event,Verify the correct accounting of the interest claims,3167
Other,Manual,Per event,Check interest claim to request,669
Other,Semi-automatic,Per event,Monitor our account,1916
Other,Semi-automatic,Per event,Verify accounting evidence of cancellation,2222
Other,Missing,Missing,Verify canceled quantity,2287
Other,Manual,Quarterly,Verify reverse inquiries from customers,2724
Other,Manual,Daily,Verify the correct transfer of the positions in the perimeter,3489
Other,Manual,Per event,Verify impact in terms of P&L,2622
Other,Manual,Per event,Check the tax models reclassified by the operating structure,1674
Other,Missing,Missing,Check the consistency of the assessment,1095
Operational,Manual,Per event,Check that the TEG of the operation does not exceed the wear threshold,776
Operational,Manual,Per event,Check the TEG of the operation,887
Operational,Manual,Per event,Check the data entered in the contract,1349
Other,Manual,Per event,Verify the correct and complete registration of the document in the system,3234
Other,Manual,Per event,Check the validity of the document,1705
Other,Semi-automatic,Per event,Verify the correct transmission of the document,3490
Other,Manual,Per event,Check for authorization,541
Other,Manual,Per event,Verify the correctness of the entered conditions,3702
Operational,Manual,Per event,Verify correctness Rates,2516
Other,Missing,Missing,"Manage reports of risks, accidents and near misses made by the Person in Charge and/or the Emergency Coordinator",1879
Other,Missing,Missing,"Manage prescriptions, provisions and communications with the Supervisory Bodies (OV)",1878
Other,Manual,Per event,Verify the correctness and completeness of the data entered in the procedure,3539
Other,Manual,Daily,Check the correct adjustment of the TEG,1150
Other,Semi-automatic,Quarterly,Perform checks on reject evidence,2001
Other,Manual,Daily,Monitor the movement of the various codes,1950
Operational,Missing,Missing,Monitor the shipment of standardized information flows,1966
Other,Manual,Per event,Verify the correctness of the wire transfers arranged,3807
Other,Manual,Per event,Verify the correctness of the documentation prepared for the stipulation,3693
Other,Manual,Per event,Check the correctness and completeness of the documentation,1225
Other,Manual,Per event,Verify the correctness of the transfers made,3796
Professional,Manual,Per event,Verify the correct definition of the sectoral outlooks,3323
Other,Manual,Per event,Check the completeness of the documentation prepared,1034
Other,Manual,Per event,"Verify the correct elaboration of the ""prevailing"" sector indicator",3340
Other,Manual,Per event,Verify the correct definition of the quantitative component,3322
Other,Manual,Monthly,Verify correct extraction,2457
Other,Manual,Per event,Verify the correct entry of the data into the system for the activities carried out by the employee during the processing of the file,3352
Other,Manual,Per event,Verify the effective extinction of the guarantee,3861
Other,Manual,Monthly,Verify successful update,2744
Other,Manual,Monthly,Check the monitoring performed,1496
Other,Manual,Per event,Check the allotment plans surveyed,927
Other,Missing,Missing,Monitor the return of the signed Agreement,1964
Other,Missing,Missing,Verify the existence of the criteria for accepting the employee's application,3884
Operational,Other,N.A.,Check the regularity of archiving,1585
Other,Missing,Missing,Check and analyze the purchase need,321
Other,Missing,Missing,Check the purchase requirement,1557
Other,Manual,Monthly,Carry out checks on the assumptions of any provision resolutions,148
Other,Manual,Monthly,Check disbursement data,455
Other,Missing,Missing,Manage reports relating to monitoring activities on the adequacy status of Asset Management,1880
Other,Manual,Per event,Check for sensitive information,599
Other,Semi-automatic,Monthly,Carry out performance checks,191
Other,Semi-automatic,Per event,Verify the correctness of the adjustments,3603
Professional,Manual,Per event,Check amount disbursed,319
Professional,Manual,Per event,Verify disbursement arrangement and charge,2579
Professional,Semi-automatic,Monthly,Analyze behavioral deviations,48
Other,Manual,Per event,Verify the congruence of the economic data and signatory powers of the counterparty,3069
Other,Manual,Per event,Verify the consistency of the relevant data with the system data,3129
Other,Manual,Per event,Verify the Bank's signature powers,2904
Other,Manual,Per event,Check the other party's signatory powers,1515
Other,Manual,Per event,Verify the counterparty's signatory powers,3832
Other,Manual,Per event,Check the presence of the deal in the validators of the position keeping system,1543
Other,Manual,Per event,Verify and validate the deal,2269
Other,Manual,Per event,Verify the correctness of the confirmation,3647
Other,Manual,Per event,Validate the deal on the position keeping system,2161
Other,Missing,Missing,Check for any blockage signals,511
Operational,Missing,Missing,Enter the data of the new agreement in the procedure and confirm the completion of the activity,1802
Other,Manual,Quarterly,Verify the classification in Group Banks/Companies,2984
Other,Manual,Per event,Check that the data entered manually is correctly entered,800
Other,Manual,Per event,"Verify the correct sending of the ""Notice of non-performing report""",3476
Other,Manual,Quarterly,Verify the consistency of the management phase with respect to the resolution action entered,3123
Other,Manual,Per event,Check the validity of the addresses,1703
Other,Manual,Monthly,Verify the correctness of the Management Risk Status,3583
Other,Manual,Monthly,Check the provisional proposals,1555
Other,Manual,Per event,Verify proper classification and management faculties,2677
Other,Missing,Missing,Collect and verify any information received from the corporate bodies,1748
Other,Manual,Per event,Verify effective compliance with the Group's internal deadlines for the delivery of the final products and carry out assessments of the consistency and homogeneity of the individual responses/commitments with the broader set of exchanges with the Authority,2585
Other,Missing,Missing,Verify the correctness and completeness of the periodic documentation produced,3555
Other,Missing,Missing,Check the actual progress of the remedial actions and possible closure of the same,906
Other,Missing,Missing,"Identify any relevant critical issues and, where necessary, initiate appropriate escalation towards Top Management, Company Committees and the Board of Directors",1844
Other,Missing,Missing,Verify completeness of P&L data for hypothetical portfolio positions and submit time series,2307
Operational,Missing,Missing,Check receipt of list,731
Other,Manual,Daily,Check the notification of the enforcement request,1506
Other,Manual,Daily,Check the communication notification,982
Other,Manual,Daily,Check the issuance confirmation notification,1473
Other,Manual,Daily,Check the notification of extracted messages,1505
Other,Manual,Daily,Check for unextracted messages,630
Other,Missing,Missing,"Verify, within 15 days, the receipt of the Acceptance Receipt",4053
Other,Missing,Missing,Verify receipt of delivery confirmations,2698
Other,Missing,Missing,Check the data in the Communication Model,1357
Other,Manual,Half yearly,Verify perimeter completeness,2658
Other,Manual,Quarterly,Check for the presence of a change in Fair Value to be sent as a supplement to the SAL,614
Professional,Manual,Annualy,Check the correctness of the card,1251
Other,Manual,Half yearly,Check the consistency of the data entered in the application,1100
Other,Manual,Quarterly,Check the report received from Group companies,1596
Other,Semi-automatic,Quarterly,Check the correct transposition of the data,1212
Other,Manual,Half yearly,Verify consistency and completeness of the assessment in order to validate it,2361
Other,Semi-automatic,Half yearly,Verify correct loading,2474
Other,Manual,Half yearly,Check that the data matches,809
Other,Manual,Half yearly,Verify data correspondence,2562
Other,Manual,Half yearly,Verify correct loading,2474
Other,Manual,Annualy,Verify perimeter completeness,2658
Other,Manual,Per event,Verify the correctness of the information,3727
Other,Manual,Half yearly,Verify receipt of all forms,2694
Other,Semi-automatic,Quarterly,Verify correct loading,2474
Other,Manual,Quarterly,Verify correct loading,2474
Other,Manual,Quarterly,Verify the completeness of the perimeter,3053
Other,Semi-automatic,Quarterly,Verify completeness of extraction,2309
Other,Manual,Quarterly,"Sharing the correct assessment of the ""non-performing/unlikely to pay"" conditions with the relevant Manager",2100
Other,Manual,Quarterly,Verify perimeter completeness,2658
Other,Manual,Quarterly,Check the consistency of the data entered in the application,1100
Other,Manual,Half yearly,Verify the correspondence of the book value of the investments,3826
Other,Manual,Annualy,Verify consistency/completeness of assessment sets,2383
Other,Manual,Quarterly,Check that the data matches,809
Other,Manual,Quarterly,Verify consistency and reasonableness of the evaluation and issue the validation,2362
Other,Manual,Quarterly,Verify receipt of all evaluations,2693
Other,Manual,Half yearly,Check for the presence of trigger events,628
Other,Manual,Per event,Verify the correct accounting adjustment,3147
Other,Manual,Per event,Verify the possible lack of accounting correction,3964
Other,Manual,Per event,Check the positions subject to correction,1537
Other,Manual,Per event,Verify correct insertion of the resolution,2472
Other,Manual,Per event,Verify the completeness and correctness of the data and information,3018
Other,Manual,Per event,Verify the correct integration of data into the system,3412
Other,Manual,Per event,Verify the post-application data of the pro-formas,3965
Other,Manual,Per event,Check that the data is fed correctly,808
Other,Missing,Missing,Verify the information,3912
Other,Missing,Missing,Verify the correctness of the identified operations,3725
Other,Manual,Per event,Verify that the documentation actually represents the regularization of the risk event,2821
Other,Manual,Per event,Check the completeness of the documentation,1032
Other,Manual,Per event,Verify the correct accounting of the Confidi Guarantee and the Counter-guarantee,3154
Other,Manual,Per event,Check the completeness of the warranty documentation,1058
Operational,Missing,Missing,Verify the consistency between position and company requirement,3083
Operational,Manual,Monthly,Verify the perimeter of the assets to be valued,3962
Operational,Manual,Per event,Verify the perimeter of the assets to be valued,3962
Professional,Manual,Monthly,Check feedback on the evaluation of the positions indicated in the report,487
Operational,Manual,Per event,Check the valuation update of the goods,1712
Other,Missing,Missing,Verify the correctness of the request,3780
Other,Manual,Daily,Identify and analyze capacity anomalies and related problem tracking,1842
Other,Manual,Per event,Analyze the management of Problem-Tasks in a timely and appropriate manner,72
Other,Manual,Daily,Perform balancing of proxies,1998
Other,Missing,Missing,Check the amount of outgoing wire transfers,931
Other,Manual,Daily,Verify accommodation suspended,2212
Other,Manual,Daily,Squaring sent messages,2105
Other,Manual,Daily,Balancing unpaid messages,106
Other,Manual,Per event,Verify that the covered bonds have been extinguished,2804
Other,Manual,Per event,Verify correct downloading of documents,2444
Operational,Manual,Per event,Check the signature powers/specimens of the FO structure and the Counterparty,1638
Other,Manual,Monthly,Tick interest reports and fee reports,2132
Other,Semi-automatic,Half yearly,Check enabled users,477
Other,Semi-automatic,Daily,Communicate the suspended,1754
Other,Missing,Missing,Check data consistency,434
Other,Semi-automatic,Quarterly,Check for correct processing,555
Other,Semi-automatic,Quarterly,Check the BankIt diagnostic preview,867
Other,Manual,Per event,Verify the correct certification of the pricing,3271
Other,Manual,Per event,Verify that correct amounts have been posted,2764
Operational,Manual,Per event,Verify accounted data,2214
Other,Manual,Per event,Verify the correct valuation of the amounts,3517
Other,Manual,Per event,Verify the completion of the guarantees,3060
Other,Semi-automatic,Per event,Verify the exact split of the original loan amount,3877
Other,Manual,Per event,Verify the correct registration of the document,3464
Other,Automatic,Per event,Check for the existence of FATCA documentation,610
Other,Manual,Per event,Check document deadlines,459
Other,Manual,Monthly,Verify emails,2589
Other,Semi-automatic,Daily,Check SISBA key processing results,292
Other,Semi-automatic,Monthly,Verify correct and complete system power supply,2414
Other,Manual,Monthly,Check the results of the tests,1620
Other,Semi-automatic,Quarterly,Verify correct sending of the supplementary flow of the consolidated TdE outcome,2493
Other,Semi-automatic,Quarterly,Verify correct sending of master data flow for consolidated financial statements,2492
Other,Semi-automatic,Daily,Check the correctness of the daily processing,1258
Other,Manual,Monthly,Check the calculation result,959
Other,Semi-automatic,Monthly,Verify that individual TdE flow has been successfully sent,2769
Other,Manual,Monthly,Check the result of the calculation at a consolidated level,1614
Other,Manual,Monthly,Verify correct accounting of the results of the efficacy test,2399
Other,Manual,Per event,Verify the correct completion of the repayment plan,3298
Other,Manual,Per event,Verify the correct completion of the transaction,3300
Other,Semi-automatic,Per event,Verify the correct implementation of the Modify Security,3397
Other,Manual,Per event,Check update done,1725
Other,Manual,Per event,Check for anomalies,496
Other,Manual,Per event,Check the data entered in the accounting system,1347
Other,Manual,Per event,Verify the correctness of the payment prepared,3755
Other,Manual,Per event,Carry out compliance checks,166
Other,Other,N.A.,Check the completeness and regularity of the documents representing the guarantee,1018
Other,Manual,Per event,Check the operation,1509
Operational,Manual,Per event,Verify instant credit transfers,2626
Other,Missing,Missing,Verify the correct census of practices,3266
Other,Manual,Monthly,Identify the positions without a value adjustment resolution,1847
Other,Manual,Per event,Verify the proposed resolution out of autonomy,3984
Other,Manual,Per event,Verify the approach used (going/gone concern),2952
Other,Manual,Per event, Check if the subject is authorized to carry out the resolution,11
Other,Manual,Per event,Check the completeness/update of the collected documentation,1062
Other,Manual,Per event,Verify the correct discharge of the guarantee from the systems,3336
Other,Manual,Per event,Verify the completeness of the documentation of the Credit Proposal,3048
Other,Manual,Per event,Verify the correct execution of the solely payments of principal end interest Test - SPPI Test and communicate the result to the Proponent,3376
Other,Manual,Per event,Verify the exact reclassification of the financial statements,3876
Other,Manual,Per event,Verify receipt of all necessary admissibility opinions.,2697
Other,Manual,Per event,Check the calculation of the Competency,952
Professional,Manual,Per event,Verify that you have correctly fulfilled the necessary Regulatory Obligations and requested the required opinions.,2889
Other,Manual,Per event,Check the activities performed by the Assistant,903
Other,Manual,Per event,Check interventions carried out on the system,671
Other,Manual,Per event,Verify the correctness and completeness of the submitted documentation,3559
Other,Manual,Per event,Verify the correctness and completeness of the documentation on the representatives of the Subsidiary Banks,3545
Other,Manual,Half yearly,Verify the correctness and completeness of the documentation prepared,3546
Other,Manual,Per event,Verify the consistency of the information uploaded with the documentation prepared,3119
Other,Manual,Monthly,Check the mailing of the list,1491
Other,Manual,Per event,Verify the correct update of the archives,3499
Other,Missing,Missing,Evaluate the non-ordinary access request,1818
Other,Missing,Missing,Review documentation and produce new employee badge,2087
Other,Missing,Missing,Verify the customer's requirement regarding US and Cuban citizenship,3834
Other,Missing,Missing,Verify the correctness of the registry census,3777
Operational,Other,N.A.,Validate analysis on new agreement,2147
Operational,Missing,Missing,Verify that you have correctly classified all cyber relevant Third Parties,2887
Other,Semi-automatic,Per event,Check,273
Operational,Manual,Daily,Verify correct attribution of the position,2419
Operational,Manual,Daily,Check consistency of results in the tools,388
Other,Manual,Per event,Verify the correct accounting of the security deposit,3173
Other,Manual,Per event,Verify the consistency of the economic offer with respect to the terms of the resolution,3114
Other,Manual,Per event,Verify that the causes of the problem have been identified,2790
Other,Automatic,Per event,Check the recovery note documentation for the Major Incident,1577
Other,Manual,Per event,Verify correct memorization of the resolution,2482
Other,Manual,Per event,Check that the necessary clauses have been inserted correctly in the contractual draft,831
Other,Manual,Per event,Verify the consistency of the contract and of the documentation prepared with the resolution,3108
Other,Manual,Per event,Carry out pre-delivery checks,200
Other,Manual,Per event,Verify the presence of all the data and signatures required in the Warranty Certification Form,3970
Other,Missing,Missing,Verify the completeness of the identified perimeter,3049
Other,Missing,Missing,Check the correctness and completeness of the entries,1226
Other,Manual,Annualy,Evaluate the adequacy of the reports received and analyze the gaps and differences,1813
Other,Manual,Annualy,Verify the completeness and correctness of the information entered in the Italian national documentation and Masterfile,3023
Other,Manual,Per event,Check the correctness/completeness of the data entered,1306
Other,Manual,Per event,Check the correctness / completeness of the data entered,1218
Other,Manual,Per event,Check reports relating to pledges,737
Other,Manual,Per event,Check the reports of transactions other than the pledge,1601
Other,Manual,Per event,Check the correctness and completeness of the data entered,1223
Other,Manual,Per event,Check the reports,1600
Other,Semi-automatic,Monthly,Check for receivables with non-validated fair value prices/levels,593
Professional,Semi-automatic,Monthly,Verify acquisition of prices from infoproviders,2229
Other,Semi-automatic,Monthly,Verify the correct and complete loading of prices and fair value levels,3222
Other,Semi-automatic,Monthly,Verify the correctness of the prices and fair value levels of receivables valued at fair value,3767
Other,Semi-automatic,Monthly,Verify the complete sending of the data,3008
Professional,Semi-automatic,Monthly,Verify complete data reception,2299
Other,Manual,Per event,Verify that the required interventions have all been completed,2861
Other,Manual,Per event,Verify correct certification,2427
Other,Manual,Per event,Check correct execution of the drains.,400
Other,Manual,Per event,Verify the accuracy of the data in the reports and NDGs being transferred,2931
Other,Manual,Per event,Verify receipts reversal to Kerma,2705
Professional,Manual,Per event,Check the settled sums,1634
Other,Manual,Per event,Verify the correctness of the personal data notes,3758
Other,Manual,Monthly,Carry out the migration account reset control activities,239
Other,Manual,Per event,Verify accounting for losses/gains on disposal,2223
Other,Manual,Per event,Check for errors in the perimeter of the NDGs in the quarterly assignment,567
Operational,Manual,Per event,Check closure of funds,367
Operational,Missing,Missing,Verify that you have implemented the update by all suppliers subject to monitoring,2892
Operational,Manual,Per event,Check what the customer signed,1733
Operational,Missing,Missing,Check and update the exception list,331
Other,Missing,Missing,Verify the consistency of data between different environments,3088
Other,Missing,Missing,Analyze monthly reporting ORM files,56
Other,Missing,Missing,Analyze scraps and make adjustments,62
Other,Manual,Monthly,Check 'Leveraged Transaction' labeling,274
Other,Manual,Daily,Proceed with data verification and reconciliation,2031
Other,Manual,Monthly,Verify system change completion by the last day of the month,2745
Other,Semi-automatic,Annualy,Carry out the formal check,229
Other,Manual,Half yearly,Check the completeness of the contributions received,1028
Other,Manual,Quarterly,Conduct consistency analysis,1771
Other,Manual,Half yearly,Verify the correct determination of the value of the funds,3333
Other,Manual,Quarterly,Verify the correctness of the prepared files,3763
Other,Manual,Monthly,Verify the correct and complete accounting recognition of the settlement entries relating to the funds area,3200
Other,Manual,Annualy,Perform correctness checks,2007
Other,Manual,Quarterly,Verify the correctness of the calculations made,3636
Other,Manual,Annualy,Check the MAV relating to FIRR payments,880
Other,Manual,Quarterly,Check the MAV relating to Enasarco payments,879
Other,Manual,Per event,Verify the correctness of the invoice and the Enasarco ceiling threshold,3740
Other,Manual,Half yearly,Check the calculation of the six-month transaction,956
Other,Missing,Missing,Check the remaining certificates in load,1591
Professional,Manual,Monthly,Verify robustness of model outputs,2725
Professional,Semi-automatic,Monthly,Verify the correct acquisition of information,3176
Professional,Manual,Monthly,Perform consistency checks,2005
Professional,Semi-automatic,Monthly,Verify the correct incorporation of the data into the anticipation model,3405
Professional,Semi-automatic,Monthly,Verify the presence of any methodological discontinuities in the reporting criteria of the phenomena and related impacts,3971
Professional,Manual,Quarterly,Verify the presence of discontinuities in the scope of consolidation and related impacts,3972
Professional,Manual,Monthly,Check consistency and correctness of the representation,380
Professional,Manual,Per event,Check consistency and correctness of the representation,380
Other,Other,N.A.,Check the coupon and redemption schedule,1331
Other,Other,N.A.,Check customer credit letters,423
Other,Other,N.A.,Verify the tax amount,4029
Other,Other,N.A.,Check the correctness of the payments,1290
Other,Other,N.A.,Verify correct accounting,2390
Other,Other,N.A.,Verify the balancing of roles,2966
Other,Other,N.A.,Check balances of various open items,348
Other,Other,N.A.,Check the switchboards mod. 770 of relevance,1670
Other,Other,N.A.,Verify the flow of recipients,3893
Other,Other,N.A.,Check the sending of the certificates,1629
Other,Other,N.A.,Verify the correctness of the roles worked and relative accounting,3786
Other,Other,N.A.,Check event rejects or recoveries,483
Other,Other,N.A.,Verify the correctness of the protocols received,3769
Other,Other,N.A.,Check the depositary's credits,1385
Other,Manual,Per event,Verify extracted data,2610
Other,Manual,Daily,Analyze the variations and check the performance trend,80
Other,Manual,Per event,Analyze the variations and check the performance trend,80
Other,Manual,Daily,Verify extracted data,2610
Other,Manual,Daily,Check the open PVs on the One Shots,1508
Other,Manual,Per event,Verify the consistency of the NAV value of the Fund and register it in the system,3097
Operational,Manual,Per event,Validate the operation in the system,2166
Other,Manual,Per event,Check the transaction data entered in the system,1682
Operational,Manual,Per event,Check the commitment data entered in the system,980
Other,Missing,Missing,Verify compliance with occupational safety measures,2323
Other,Missing,Missing,Check for updates,636
Other,Manual,Per event,Check the exact assignment,1427
Other,Manual,Per event,Verify the exclusivity of the manager,3878
Operational,Manual,Monthly,Verify the performance of the checks on the document sheet,3960
Other,Semi-automatic,Monthly,Verify correct sending of letters to debtors,2491
Other,Manual,Per event,Verify loss report,2632
Other,Manual,Per event,Verify correctness and completeness of documents,2517
Professional,Manual,Monthly,Check evaluation timing,482
Professional,Manual,Monthly,Verify the timeliness of taking charge of the practices by the debt collection structures,4031
Professional,Manual,Monthly,Check completeness of documentation,373
Other,Missing,Missing,Approve registry changes,86
Other,Semi-automatic,Monthly,Check the presence and status of subsidized loans,1540
Other,Manual,Weekly,Monitor the timing of the practices in the process of being approved,1973
Other,Manual,Per event,Check the correct entry of the fund request,1183
Other,Manual,Per event,Verify the correct determination of the contribution,3327
Other,Manual,Per event,Ensure correct forwarding of the resolution to the Body,1796
Other,Manual,Per event,Verify the consistency of the contribution disbursed,3109
Professional,Automatic,Per event,Check the valorisation of the fields necessary for the classification of a report in the non-finance area,1709
Other,Automatic,Per event,Verify that the mandatory information is entered when opening and closing the incident,2838
Other,Manual,Per event,Check the documentation functional to the legal investigation,1399
Other,Manual,Per event,Check the contractual draft,1144
Other,Manual,Daily,Check the status of the different activities,1655
Other,Semi-automatic,Daily,Verify overrun of the treasury limit set for each bank,2652
Other,Semi-automatic,Daily,Check coverage limit breaches per customer,415
Other,Semi-automatic,Daily,Verify non-compete accounting,2642
Other,Semi-automatic,Daily,Verify operator error for entering data with contradictory verification,2649
Other,Semi-automatic,Daily,Verify operator error for incorrect allocation to the income statement,2650
Operational,Other,N.A.,Verify the correctness of the inserted plan,3735
Operational,Other,N.A.,Check the correspondence of the resolution data on the system,1328
Other,Other,N.A.," Verify the activities carried out for the non-payment, for the correct payment under guarantee and for the correct accounting of payments and the passage to loss",27
Other,Other,N.A., Verify the correct accounting of the distribution of the collection and of the passages to loss,29
Operational,Other,N.A.,Verify correctness of the proposal,2545
Other,Other,N.A.,Check the interest invoice issued,1468
Other,Manual,Quarterly,Investigate uncompleted rehearsals,1856
