actorType,actor,actorID
Organizational unit,Financial Administrative Governance,963
Organizational unit,Banca dei Territori Central Audit Department,150
Organizational unit,"Foreign Banks Audit, Wealth Management and Protection Head Office Department",996
Organizational unit,"Central Audit Department for Governance Processes, ICT and Support",312
Organizational unit,"Organization BdT, ISBD and other Business Sectors",1684
Organizational unit,"Risk Assessment, TdB, Reporting and MIS",2047
Empty group,Chief Risk Officer,366
Organizational unit,Credit Risk Mitigation & Support,621
Person,Consap S.p.A.,482
Organizational unit,NPE North West management,1597
Organizational unit,Central Southern and Tyrrhenian Dorsal NPE management,338
Organizational unit,Management of NPE BdT,1528
Organizational unit,Management of NPE North East and Dorsale Adriatica,1529
Person,Italfondiario S.p.A. (Servicer outside the Group),1411
Organizational unit,Costs Service Unit and Industrial Accounting,584
Organizational unit,Commercial development,395
Empty group,Appointed structure,99
External Organizational unit,Private branch - ISPB,1840
Empty group,Country Manager USA & Americas,590
Organizational unit,Innovation and Retailization Spaces,1309
Organizational unit,Processes and Quality Assurance Know Your Customer,1853
Organizational unit,Physical Security Services and Support,1790
Organizational unit,Digital Retail Marketing Coordination,768
Organizational unit,Supplier Qualification,2205
Organizational unit,Safety at Work and the Environment,2070
Organizational unit,Design and Standards,747
Organizational unit,Digital Marketing and Advertising,764
Organizational unit,BdT communication,193
Organizational unit,BdT Expenditure Management,183
Organizational unit,"Analysis, Market Research and Data Management",73
Organizational unit,CRM and Commercial Planning,285
Organizational unit,Corporate identity development,571
Organizational unit,Quality and Research BdT,1912
Organizational unit,Complaints and Quality,444
Empty group,Applicant structure,86
Organizational unit,Business coordination,246
Organizational unit,HTC Credit & ESG Investments,1135
Empty group,Provider structure,1891
Empty group,Central or Territorial Structure,343
Organizational unit,"Supplier Qualification, Coordination and Monitoring",2206
Organizational unit,Credit Engines,602
Person,Bookrunners,208
Empty group,Calculation Agent,289
Empty group,Asset Monitor,113
Empty group,Bookrunners,208
Empty group,Paying Agent,1743
Empty group,Representative of Covered Bondholders,2008
Empty group,Head of Money Market & Settlements,1167
Empty group,Head of Group Treasury and Finance Department,1158
Person,EBASS,797
Empty group,Treasury Manager,2297
Empty group,Intesa Sanpaolo Bank Ireland,1358
Organizational unit,Desk Short Term Debt Origination and Private Placements - Hub Foreign Branch,751
Empty group, Organizational unit manager,4
Empty group,Employer (DL),820
Empty group,Workers' Safety Representative (RLS),2333
Empty group,Prevention and Protection Service Manager (RSPP),1818
Person,Territorial Competent Doctor (MCT),2239
Empty group,Emergency Coordinator,813
Organizational unit,Health Surveillance and Psycho-Social Risks,1196
Empty group, Occupational Health and Safety Management System Manager (RSGSL),3
Empty group,Employer Delegates (DDL),821
Person,Competent Doctor (MC),422
Person,Asbestos Conservation Manager (RCA),107
Person,Radiation Protection Expert (ER),1918
Person,Competent Doctor Coordinator (MCC),423
Person,Reoco General Manager,1994
Organizational unit,Committee for Transactions with Related Parties of ISP and Associated Entities of the Group,397
Organizational unit,OMR,1639
Empty group,Product Governance Table of the IMI CIB Division,1864
Organizational unit,DCM Origination,680
Empty group,Finance and Treasury,961
Organizational unit,Post Closing BDT,1809
Organizational unit,Group certified email communications and historical research,1119
Empty group,Managerial Referent,1538
Empty group,Referent of the Sectoral Plan,1964
Empty group,Group company NO SAP,1123
Empty group,Non-group company,1631
Empty group,Equivalent company,849
Empty group,Branch,210
Organizational unit,Fideuram Intesa Sanpaolo Private Banking - Individual Financial Statements and Accounting,936
Empty group,Assistant / Clerk,120
Organizational unit,Internal Real Estate Appraisals,1330
Organizational unit,External Real Estate Appraisals,880
Person,External Expert or Provider,876
Person,External expert,885
Person,Providers,1892
Organizational unit,Banca dei Territori Division - Personnel Department and Change Management,158
Organizational unit,Banca dei Territori Division - Digital Retail Sales & Marketing Department,156
Organizational unit,Regulatory Compliance Head Office Management BdT and Private,1974
Organizational unit,"Market, Financial and C&IB Risks Coordination Area",1561
Organizational unit,Third Parties Cybersecurity and Business Continuity,2260
Person,Tax structure of the companies in the perimeter,2224
Person,Accounting structure of the company in scope,32
Person,Active and passive cycle structure of the company in scope,38
Person,Upload structure and validation of the company in scope,2311
Person,Legal Entity in the field,1454
Organizational unit,Network Projects and Product Society,1619
Organizational unit,Communication Areas of Government and International,400
Organizational unit,Chief Operating Officer Projects and Other Governance Areas,365
Organizational unit,Banking Research,171
Organizational unit,International Subsidiary Financial Monitoring,1353
External Organizational unit,ISDA Association,1252
Person,Travel agency,2291
Organizational unit,Partnerships and Sponsorships,1740
Organizational unit,Members and Assembly Management,1571
Person,Translation company,2287
Empty group,Primary Reporter,1825
Empty group,Champion,350
Empty group,Market side structures,1560
Empty group,Secondary Reporter,2077
Empty group,Corporate side structures,575
Organizational unit,Management and Development of BdT Personnel,1523
Organizational unit,"Company Performance, Third Sector and Third Party Networks",408
Organizational unit,Cybersecurity Engineering,664
Organizational unit,Channel Management and Everyday Banking Journey,351
Organizational unit,"Working Capital, Digital Strategy & Channels",2334
Person,vehicle company,2368
Empty group,DSI internal competent functions,689
Empty group,Territorial or Central Structure,2249
Empty group,The Competent Management Structure,2252
Position,Extraordinary Finance Specialist,893
Empty group,Banks belonging to the perimeter,175
Person,Consob,485
Empty group,Other structures responsible for controls,1716
Empty group,DSI control room,688
Empty group,DOF control room,684
Empty group,Competent Human Resources Management,426
Empty group,Taxpayer body,2227
Organizational unit,Cost of labor,583
Organizational unit,Budget and Cost Control BdT,218
Organizational unit,ISB Capital Budget and Cost Control,1239
Empty group,Other control structures of Group companies,1709
Empty group,Managers of Structure / Central Management of the Parent Company,1540
Empty group,Entities managing or assigning expenditure,835
Organizational unit,Cybersecurity Group Governance and Foreign Networks,667
Organizational unit,Products and Commercial Networks and Regulations,1869
Organizational unit,ISP Insures,1255
Organizational unit,Digital Transformation and International Development,773
Organizational unit,Service Management,2098
Organizational unit,ISP Life and Asset Management,1256
Empty group,Remediation Owner,1986
Empty group,ControlOwner,503
Organizational unit,Government Mandatory Reporting,1088
Empty group,proposer,2357
Organizational unit,Digital Vendor Management,774
Organizational unit,Cybersecurity Group Architecture and Framework,666
Organizational unit,Info & Data Providers Management,1297
Organizational unit,Cybersecurity and Anti-Fraud Services,674
Empty group,Approver manager,101
Empty group,Hierarchical manager of the Proposer,1201
Organizational unit,Index & Market Data,1289
Organizational unit,Operative marketing,1677
Organizational unit,Product Governance Risk Clearing,1863
Organizational unit,Capital Budget,293
Empty group,competent structure,2341
Person,Provis - General Secretariat,1893
Organizational unit,Operational Services - ISPB,1654
Position,ISPB - Operations Manager,1266
Organizational unit,Factoring concession CIB and BdT Nord Est,915
Organizational unit,"Concession Factoring Public Finance and BdT North West, Center and South",467
Empty group,Foreign branch,1011
Organizational unit,Human Resources Management - ISB Division,1212
Empty group,Company in scope,412
Organizational unit,Pricing compliance,1822
Organizational unit,Global Transaction Banking Desk - Foreign Branch,1071
Empty group,Asset Owners,115
Organizational unit,Intesa Sanpaolo Vita - Organization,1387
Organizational unit,Eurizon Capital - Marketing and Commercial Development Department,853
Organizational unit,Fideuram Intesa Sanpaolo Private Banking - Marketing and Offer Development,938
Organizational unit,Intesa Sanpaolo Vita - Life and Non-Life Product Compliance,1386
Organizational unit,Eurizon Capital - Compliance & AML,852
Organizational unit,Insurance and Asset Management,1314
Empty group,Structure Proposing the initiative,2139
Person,Central Directorates,322
Person,Business functions,248
Person,Network structures,1620
Empty group,Competent accounting structure Company,429
Organizational unit,Cybersecurity Identity and Anti-Fraud Governance,668
Organizational unit,London Branch - IMI CIB Division,1489
Organizational unit,Intesa Sanpaolo IMI Securities Corporation,1367
Organizational unit,People Planning and Systems,1763
Person,Interested,1323
Empty group,Data Protection Officer (DPO),706
Empty group,Other Receiving Structure,1706
Organizational unit,Communication and Advertising,401
Empty group,Manufacturing facility,1546
Organizational unit,Historical Archive,1203
Organizational unit,Securitized Products Solutions London - IMI CIB Division,2093
Empty group,Group Bank/Company,1094
Organizational unit,Foreign and decentralized treasuries,1010
Organizational unit,CIB & ISB Management Control,259
Empty group,Figure - Applicant structure,949
Empty group,Purchase Approver,1901
Empty group,Authorized body,140
Person,Competent province,441
Organizational unit,Risk Management - Foreign Branch Hub,2050
Person,Intesa Sanpaolo RBM Salute S.p.A.,1381
Empty group,Recipient,1940
Empty group,Eurizon manager,856
Organizational unit,Portfolio Management & Structuring,1807
Person,Intermediate group company,1324
Person,Company contact person with access to Arco,411
Person,Referent function of the Company without access to Arco,1962
Organizational unit,Audit Global Transaction Banking and Finance Operations,129
Organizational unit,Third sector branch,2266
Organizational unit,HNWI branch - ISPB,1129
Organizational unit,Business Branch,224
Organizational unit,Retail Branch,2030
Organizational unit,Private branch - ISPB,1840
Organizational unit,Corporate and Physical Security Governance,564
Organizational unit,Balance sheets,147
Organizational unit,Social initiatives,2110
Organizational unit,Management support,1533
Position,Controls Specialist - Regional Management,516
Organizational unit,Secretariat and Support Services to the CEO,2079
Organizational unit,Helpdesk,1200
Empty group,Second level,2075
Empty group,Group Financial Risks Committee,1105
Empty group,Head of the Applicant's Organizational Unit,1177
Empty group,Owner responsible for the server,1724
Empty group,HR management of companies other than ISP,1133
Organizational unit,Intercompany Mobility and HR Proactive Placement,1320
Organizational unit,"Compensation, ISBD International Mobility & HR Cost Management - International Subsidiary Banks Division",416
Empty group,Structure Manager,2138
Empty group,Supervisor,2188
Organizational unit,New Services and Third Party Networks,1624
Person,Partner,1739
Organizational unit,Advanced Analytics,55
Organizational unit,Retail Sales Management,2039
Position,Director of Retail Area,779
Organizational unit,Business Sales Management,241
Position,Director of Area Exclusive,778
Organizational unit,Agribusiness Sales Management,62
Organizational unit,Exclusive Sales Management,866
Organizational unit,Area - Global Corporate Management,103
External Organizational unit,Marketing - ISPB,1564
Empty group,Structures Product/service managers,2171
Empty group,Paying Structures on SLM Parent Company,1745
Empty group,competent structures,2342
Empty group,Structures Paying on SLM DSI DCO ISCB,2170
Organizational unit,"Infrastructure, Network, Cloud, Info-physical and Data Protection Solutions",1304
Organizational unit,Model Risk Assessment,1580
Organizational unit,Foreign Banks Risk Appetite Framework,997
Organizational unit,Neva SGR,1622
Organizational unit,Private Equity International,1837
Organizational unit,WM Risk Engine Governance and Reporting,2326
Organizational unit,CRA and Business Faculty,282
Organizational unit,Credit Rules,628
Organizational unit,Fideuram Intesa Sanpaolo Private Banking - ISPB Resource Management and Fideuram Banking Network,935
Organizational unit,Fideuram Intesa Sanpaolo Private Banking - Resource Management Fideuram Central Structures,943
Organizational unit,AML Network Retail and Exclusive,17
Organizational unit,AML Network Retail Companies and Enterprises,16
Organizational unit,AML Control Room and Specialties management,14
Position,Head of Impact Department,1161
Organizational unit,Authorization High Risk Clients,138
Position,Head of Global Corporate Department - IMI CIB Division,1155
Position,Head of NPE Central Department,1168
Position,Head of Agribusiness Department,1141
Organizational unit,Business Unit Management Control,244
Organizational unit,Reporting - DC Cost Management,2002
Organizational unit,Real Estate and Logistics costs,1936
Empty group,Applicant's facility manager,87
Empty group,Manager in charge,1535
Organizational unit,Chairman of the board of directors,349
Empty group,Supervisory authorities,2199
Empty group,Chief Executive Officer and Board of Directors of the Subsidiary,360
Empty group,Chief Executive Officer of the Subsidiary,361
Empty group,Chairman of the Board of Directors of the Subsidiary,347
Organizational unit,Debt Structuring ISBD,725
Organizational unit,Rating and Debt Advisory,1928
Organizational unit,DCM Origination Desk - Hub Foreign Branch,682
Organizational unit,London Branch - Compliance/AML - IMI CIB Division,1488
Organizational unit,ISBD Advisory,1244
Organizational unit,Intesa Sanpaolo IMI Securities Corporation - Primary Markets,1374
Organizational unit,Intesa Sanpaolo IMI Securities Corporation - Fixed Income Sales,1373
Empty group,Bank Step 1,167
Person,EBA Clearing,796
Organizational unit,Internal Financial Intelligence Unit - Suspicious Activity Reporting,1327
Empty group,Approver,100
Empty group, Structure Manager,6
Organizational unit,Structured Finance Desk - Foreign Branch Hub,2163
Organizational unit,Loan Syndication London - IMI CIB Division,1473
Organizational unit,Controller Relationship Unit - IMI CIB Division,510
Organizational unit,General Accounting,1039
Organizational unit,Audit Managerial Models,130
Organizational unit,Group anticipator,1115
Organizational unit,Design Authority,746
Organizational unit,Market Risk Solutions,1553
Organizational unit,Strategic Collateral Management,2132
Organizational unit,Coordination of Foreign Treasuries,525
Position,Business Operations Specialist - Global Corporate Management,237
Organizational unit,Credit Value Control Geographical Area 2,638
Organizational unit,Credit Value Control Geographic Area 1,637
Position,Credit Specialist - Regional Management,635
Empty group,foster structure,2351
Empty group,Referrer,1965
Organizational unit,Construction,489
Person,Financial company,982
Organizational unit,Commercial coordination,394
Empty group,Functions involved,1029
Organizational unit,ORMD extension,1641
Position,Network Assistance Specialist - Impact Management,1607
Position,Network Assistance Specialist - Agribusiness Management,1606
Organizational unit,Summary of Operational Controls and Risks,2187
Organizational unit,Banking Services and Product Digitization,173
Position,Head of Personnel and Network Assistance - Impact Management,1171
Position,Head of Personnel and Network Assistance - Agribusiness Department,1170
Position,Head of Personnel and Network Assistance - Regional Management,1172
Organizational unit,Fideuram Intesa Sanpaolo Private Banking - ISPB Operational Services,933
Organizational unit,Presidium Participate,1814
Person,Impacted bank,1282
Organizational unit,Digital Transformation Businesses and Corporates,771
Empty group,Structure responsible for the Management of Critical Events,2148
Empty group,STDO London,2067
Organizational unit,Administrative and Real Estate Litigation,47
Person,Italian Stock Exchange,1414
Person,Monte Titoli,1588
Organizational unit,North Lombardy Regional Directorate,1635
Organizational unit,"Campania, Calabria and Sicily Regional Directorate",291
Organizational unit,"Regional Directorate of Milan, Monza and Brianza",1967
Organizational unit,Tuscany and Umbria Regional Directorate,2303
Organizational unit,Lazio and Abruzzo Regional Directorate,1435
Organizational unit,"Regional Directorate of North Piedmont, Valle d'Aosta and Sardinia",1968
Organizational unit,Regional Directorate of Veneto Ovest and Trentino Alto Adige,1969
Organizational unit,Emilia Romagna and Marche Regional Directorate,817
Organizational unit,Pulse,1899
Empty group,Evaluator,862
Organizational unit,Business Solutions,242
Organizational unit,DCM London - IMI CIB Division,679
Organizational unit,financial engineering,2350
Empty group,Supervisor in possession of IVASS requirements,2189
Organizational unit,North West audit,1637
Organizational unit,Southern Audit,2114
Organizational unit,Lombardy audit,1487
Organizational unit,North East audit,1634
Organizational unit,Audit Center,125
Organizational unit,"Models Transaction Monitoring, Analytics and Special Investigations",1582
Organizational unit,Compliance Data Governance,447
Empty group,Data domain DOW and DTOW,720
Organizational unit,Fideuram Intesa Sanpaolo Private Banking - ISPB Logistics and Services,932
Organizational unit,Technical Secretariat of the Presidency,2231
Organizational unit,Financial Market Coverage Head Office Department,972
Organizational unit,Consulting Extraordinary Operations,490
Organizational unit,Italian companies,1416
Position,Network Hub Coordinator,1611
Organizational unit,Secured Financing,2085
Organizational unit,Financial institution structuring,983
Organizational unit,Legal NPE Transactions,1457
Organizational unit,Solutions Development & Deals Execution,2113
Organizational unit,Real Estate Structuring,1935
Empty group,in charge,2354
Empty group,Fire Prevention and First Aid Officer,986
Empty group,Personnel with disabilities,1787
Empty group,Personnel employee with disabilities,1786
Empty group,Deputy Emergency Coordinator,743
Empty group,Group structure,1127
Organizational unit,Low Default Portfolio Models,1495
Organizational unit,LGD Performing and EAD Models,1427
Organizational unit,Retail Models,2037
Organizational unit,SME Models,2063
Person,Fideuram Investments,946
Person,Insurance company,1316
Empty group,Sectoral Plan Coordinator,2084
Empty group,Managers of the Structures Involved,1542
Person,Calculation Agent,289
Empty group,Relationship Manager,1980
Organizational unit,"Network MLT/Leasing, Factoring and Protection Specialists",1614
Organizational unit,Credit Risk Optimization & Strategic Transactions,622
Person,Vendors,2324
Person,Visitor,2325
Organizational unit,Bergamo Territorial Consulting,198
Organizational unit,Naples dispute,1603
Organizational unit,Turin dispute,2302
Organizational unit,Rome dispute,2057
Organizational unit,Florence dispute,991
Organizational unit,Milan dispute,1578
Organizational unit,Bergamo dispute,199
Empty group,Operating structures,1648
Empty group,"CdG, Group Management and Consolidated Reporting",308
Empty group,receiving facility,2359
Empty group,Operating structure,1646
Empty group,Head of the impacted O.U,1192
Empty group,Competent and Monitoring Functions,430
Empty group,Responsible for the host OU,2025
Empty group,Emergency team,815
Person,Subsidiary company of the supervisory perimeter,2183
Person,Issuing company of the supervisory perimeter,1410
Organizational unit,People Care,1754
Person,Competent doctor,437
Person,Corporate Protection Consultant Psychologist,549
Organizational unit,Employment Litigation,822
Empty group,The Structure that receives the deed,2256
Organizational unit,Network Management & Development,1616
Empty group,Head of the Planning and AVM Department,1187
Empty group,Head of the Treasury Department,1188
Empty group,Mercury,1572
Empty group,Branch Manager,212
Organizational unit,Legal Advisory Markets,1448
Empty group,Direct manager,776
Empty group,Person,1771
Empty group,Recipients Reporting,1948
Person,Supervisory Board,2190
Empty group,top management,2367
Empty group,IT Project Leader,1278
Organizational unit,Charity Fund,354
Empty group,Beneficiary body,197
Person,Nexi,1627
Organizational unit,credit strategies,2345
Empty group,Corporate secretariat Company,573
Empty group,External Legal,878
Organizational unit,RWA Accuracy & Analytics,1917
Organizational unit,Coordination of Agribusiness Specialists,520
Empty group,Delegated manager,732
Person,Organization Function of CIB Banks,1686
Organizational unit,Marketing & Sales Digital Platforms,1563
Empty group,Structure responsible for editing parallel hierarchies,2147
Organizational unit,Purchasing Application Systems and Infoproviders,1903
Organizational unit,Global Procurement Focal Point,1063
Organizational unit,Purchasing Technological Infrastructures,1909
Organizational unit,Securitization Company Administrative Requirements,2091
Organizational unit,Pre-litigation and ADR proceedings,1813
Organizational unit,Insolvency proceedings and business crisis,1310
Organizational unit,Post Disposal issues,1810
Organizational unit,Specialist Litigation,2121
Organizational unit,Sensitive Litigation,2096
Organizational unit,Intercompany Distribution Agreements,1319
Empty group,Organizational unit,1695
Empty group,M&A manager,1501
Organizational unit,Global Markets Services & Strategy,1059
Empty group,Operational and business functions,1656
Empty group,Deliberating Organ Secretariat,733
Empty group,Structures concerned,2172
Empty group,Placement Banks,1792
External Organizational unit,Intesa Sanpaolo Private Banking,1378
Empty group,Consob,485
Person,Auditing firm,137
Organizational unit,ESG & Sustainability,808
Empty group,Head of the contributing structure,1191
Organizational unit,Siref Trust,2108
Empty group,Competent Accounting Structures,417
Organizational unit,Legal Advisory Market Support,1447
Empty group,Data User,716
Empty group,DSI Application Factory,686
Empty group,Digital Business Partners,762
Empty group,Banks in perimeter,176
Organizational unit,Controller Capital Markets & Investment Banking,507
Organizational unit,LAF International,1424
Organizational unit,LAF Italy,1425
Organizational unit,Retail & Wealth Management Sales Department,2029
Empty group,Financial Market Coverage Department - Price-Sensitive Communication,971
Empty group,Controlled structure,506
Organizational unit,Controls - Impact Direction,514
Person,Territorial and Central Structures,2248
Organizational unit,Eximbank,869
Organizational unit,ISBD Cash Management,1246
Organizational unit,Business Internationalization Development,233
Organizational unit,"Payments, Cash Management & Open Banking",1749
Person,Tax structure of the company in perimeter,2225
Person,Host Bank,1207
Organizational unit,Digital Branch Sales Management,759
Empty group,Asset Owner,114
Empty group,Competent SIT contact person,428
Person,ICT Service Provider,1221
Empty group,Shopping,2106
Organizational unit,Consumer Association Relations,493
Person,Consumers Association,495
Organizational unit,Tax Controls,2220
Organizational unit,Extraordinary Transactions - DC Group Treasury and Finance,894
Empty group,Contact persons indicated at the time of transmission of the proxy,497
Empty group,Co-Head DCFMC,384
Empty group,Corporate Secretariats Banks / Subsidiaries and competent HR functions,555
External Organizational unit,Concession Financial Institutions,468
Organizational unit,Cybersecurity Incident Response Team,669
Empty group,Owner of the fund,1723
Empty group,Competent decision-making body,435
Empty group,Heads of DSI Service,1193
Person,Trading Member,2275
Empty group,Report Owner,1997
Empty group,Structure that performs the secretarial function,2156
Organizational unit,Enterprise Risk Governance,832
Organizational unit,Compliance Government,450
Organizational unit,Government Anti Financial Crime,1086
Organizational unit,Audit coordination,133
Organizational unit,Risk and Sustainability Committee,2055
Empty group,Heads of Divisions and Central Management,1194
Empty group,BDT COMPETENT STRUCTURE,144
Person,Sponsee Applicant,2126
Organizational unit,Territorial Communication Coordination,2238
Empty group,Other structures involved in relation to the matter,1715
Empty group,Head of Structure owner,1174
Empty group,Translation company,2287
Person,Employee,819
Organizational unit,XVA Management,2338
Empty group,Business and support function,245
Empty group,Head of the business and support function,1190
Empty group,Information Systems Function of each Legal Entity,1301
Organizational unit,People Development,1755
Organizational unit,Human Resources - Foreign Branch Hub,1210
Organizational unit,Intesa Sanpaolo IMI Securities Corporation - Audit,1369
Organizational unit,Desk Debt Origination & Private Placements - Hub Foreign Branch,749
Organizational unit,Investment & Listed Products Sales,1393
Organizational unit,Listed Investment Vehicles,1467
Organizational unit,CIB FX Solutions,269
Organizational unit,Equity Sales London - IMI CIB Division,847
Organizational unit,Credit Investment Trading,605
Organizational unit,HTCS Credit & ESG Investments,1136
Organizational unit,Interest Rate Volatility Trading,1322
Organizational unit,Global Risk Trading,1069
Organizational unit,Fixed Income Banking Book,989
Organizational unit,"Rates, FX & Commodities Research",1921
Organizational unit,Credit Assessment Control,598
Organizational unit,Active Monitoring of the NPL Plan,35
Empty group,Central Structure,340
Person,Organism for keeping the register,1683
Position,Fideuram Intesa Sanpaolo Private Banking - Branch Manager,921
Position,Fideuram Intesa Sanpaolo Private Banking - Head of Administrative and Branch Services,930
Empty group,Central Management Structures,330
Empty group,Application structures in the field,94
Organizational unit,Financial & ESG Performance Benchmarking,962
Organizational unit,ISP Networks - Investment Products Sales,1257
Organizational unit,HR Change Management & Communication,1130
Empty group,Head of the Data Owner structure,1182
Empty group,Product Desk - Structured Finance,1862
Organizational unit,BdT Portfolio Monitoring,187
Organizational unit,Risk Advanced Analytics,2044
Empty group,Operator/Customer,1679
Person,Conservation manager,484
Empty group, Facility manager,0
Empty group,Operations center,1674
Empty group,Structure responsible for the operation,2151
Empty group,SFTR-Request,2061
Person,Client/Counterparty,382
Organizational unit,Strategic marketing,2134
Person,the requesting bank,2366
Organizational unit,Credit Solutions,632
Organizational unit,R&D Consulting and European Funding,1913
Empty group,Pivot structure,1791
Empty group,Other Structure Responsible for the response,1707
Empty group,Functional Owner structure,1025
Empty group,Structure concerned by subject,2141
Organizational unit,Coordination of Regulatory Compliance and Strategic PMO,530
Empty group,Business division,247
Organizational unit,Extraordinary operations,896
Empty group,Subsidiary accounting function,2181
Person,Supplier Project Leader,2204
Organizational unit,Extraordinary Corporate Transactions and Minorities Interests,892
Organizational unit,Intesa Sanpaolo Innovation Center - Financing and Growth of Startups,1376
Organizational unit,Extraordinary operations support,897
Organizational unit,Frankfurt branch,1019
Organizational unit,Group Tax Control,1113
Empty group,Business Functions and other Central Departments,232
Empty group,Group Counterparty,1100
Organizational unit,Recruiting & Assessment Center,1956
Empty group,Candidate,292
Empty group,Hiring Manager,1202
Empty group,PEC box owner/user,1727
Empty group,Delegate,729
Empty group,Resource Planning and Optimization Manager,2018
Empty group,Departmental Tuning & Performances Manager,742
Empty group,Tuning & Performances Mainframe Manager,2300
Person,Italian banks controlled,1415
Organizational unit,Wealth Management Investment Services Risk,2330
Person,Correspondent Bank,578
Person,ISPB Board of Directors,1274
Person,Intesa Sanpaolo Provis Board of Directors,1380
Organizational unit,Fideuram Intesa Sanpaolo Private Banking - Chief Financial Officer,924
Organizational unit,BdT Credit Risk Appetite and Faculty,181
Empty group,Structure to which the assignment of financial consultancy is proposed,2157
Organizational unit,Global Transaction Banking Desk - Hub Foreign Branch,1072
Organizational unit,Trade Finance CIB,2272
Organizational unit,Credit - Hub Foreign Branch,592
Organizational unit,Country Manager USA & Americas,590
Organizational unit,Public Finance Management,1898
Empty group,Specialist Support Function,2123
Empty group,PMO,1729
Organizational unit,Corporate offices of the Group,572
Person,Subsidiaries,2179
Empty group,Museum services management company,1592
Organizational unit,Physical Security Operational Management,1789
Person,Counterparty/Client,588
Empty group,centralized branch,2340
Empty group,External Resources Committee,881
Organizational unit,Privacy Controls and Reporting,1830
Empty group,Structure and Society in the area,2140
External Organizational unit,Fideuram Intesa Sanpaolo Private Banking,919
External Organizational unit,Eurizon Capital,851
Organizational unit,structured finance,2364
Organizational unit,NPLs,1600
Empty group,Structure responsible for the operation - SOP of the Parent Company,2153
Empty group,Structure responsible for the operation - SOP of the Subsidiary,2154
Empty group,Process/Business Owner,1851
Organizational unit,Monitoring of Valuation of Other Assets,1587
Empty group,Company accounting structure,410
Person,External Study,882
Organizational unit,IMI – CIB Entities,1235
Organizational unit,International Subsidiary Banks,1351
Organizational unit,"Private Banking, Asset Management and Insurance Entities",1833
Organizational unit,"Anti Financial Crime Control Companies, Banks and Foreign Branches",75
Organizational unit,Processes and Quality Assurance Embargoes and Anti-corruption,1852
Empty group,Recipients - Liquidity Report,1945
Organizational unit,Rating Agencies Relations,1922
Empty group,Client,373
Person,Designer/Project Manager,748
Person,Conceding administration,461
Person,Supervisor,2188
Person,Competent territorial structures,443
Person,Coordinator for the Execution of the works,533
Person,Planning Coordinator,1796
Person,Consap SpA,483
Person,MB Credit Solutions,1503
Person,Legal Entity,1452
Organizational unit,Banca dei Territori Division - Digital Branch Management,155
Person,External provider,888
Organizational unit,CIB Credit Risk,266
Organizational unit,Legal Advisory GTB,1445
Person,Foreign branch,1011
Person,Group counterpart,1124
Organizational unit,"Legal Consulting, Finance and Group Services",1451
Empty group,owner structure,2356
Empty group,Enabled user,823
Empty group,Third Sector Manager,2264
Empty group,Managers of the structures involved,1543
Empty group,Function Responsible for the Governance document,1022
Organizational unit,Coordination of BdT Risk Initiatives,521
Empty group,Data Technology Office,714
Organizational unit,Home ICT Network Audit,1206
Person,Corporate client,569
Organizational unit,Infrastructural Investments,1302
Organizational unit,Coordination and Transversal Initiatives,519
Organizational unit,Planning & Control - ISB Division,1793
External Organizational unit,Fideuram Investimenti SGR,945
Empty group,Corporate Secretariat Bank with widespread shares,553
Empty group,Report recipient,1998
Organizational unit,ESG & Sustainability Reporting,809
Empty group,CSR contact person,288
Empty group,Legal Function of each Legal Entity,1455
Empty group,Client Group company,375
Person,Supplier/Third Party,2207
Organizational unit,Supervisory Crisis Management,2192
Organizational unit,Coordination of Portfolios of Foreign Branches,529
Organizational unit,Central Structures,342
Empty group,Front Office Treasury,1020
Empty group,Warehouse at depository facilities,2327
Person,Local Purchasing Function,1482
Person,Promoter of the initiative,1883
Person,Owner of the artistic asset,1722
Organizational unit,Cultural Initiatives and Exhibition Projects,653
Person,External documentation manager,884
Empty group,Central Structure User,341
Person,Conveyor,517
Empty group,Finance Application Management,953
Organizational unit,Structured Debt Solutions,2159
Organizational unit,DCM Origination Desk - Foreign Branch,681
Organizational unit,Intesa Sanpaolo IMI Securities Corporation - Compliance,1371
Empty group,Capital Markets ISDA Advisory,297
Empty group,Clearstream,372
Person,INPS office,1238
Empty group,reporting employee,2360
Empty group,Divisions and Central Structures,788
Organizational unit,IT - Foreign Branch Hub,1275
Organizational unit,Relations with Universities and Schools,1978
Empty group,PMOC / Agile Manager,1730
Empty group,User Project Leader,2314
Empty group,Data Protection Officer,705
Person, Group company,1
Empty group,Local Compliance Office,1476
Empty group,Reporting Subjects/Referees,2004
Empty group,First level managers of the IMI CIB Division,987
Empty group,Application Representative / Digital Business Partner,90
Person,Group Bank Corporate Secretariat,1093
Person,Board of Directors Bank of the Group,204
Organizational unit,Credit Solutions BdT,633
Organizational unit,Credit Solutions CIB,634
Empty group,Team leader,2228
Empty group,Responsible above the Tree,2023
Empty group,Team members,2229
Empty group,Crisis Manager,650
Empty group,Contingency team,498
Person,Consumer Credit Servicer,494
Empty group,Operator,1678
Organizational unit,European Regulatory & Public Affairs,860
Empty group,Requesting Bank Assistant,2011
Empty group,Competent decision-making body guaranteed bank,436
Organizational unit,Global Markets Service,1058
Empty group,Other structure of the Bank,1714
Empty group,Foreign branches,1012
Empty group,Structure requesting the evaluation,2146
Empty group,Local ISO,1478
Empty group,Local ORMD function (Decentralized Operational Risk Management),1480
