activityType,activityCategory,activity,activityID
process activity,Professional,Evaluate the opportunity of a GMSLA contract with institutional and corporate counterparties,10573
process activity,Operational,File the GMSLA contract,11145
process activity,Operational,Survey the logic of regulation,23658
process activity,Professional,Communicate the completed census on the systems,7107
control activity,Operational,Verify the correct update of the system [* without risk],26500
process activity,Professional,"Fill in the summary sheet, define the contact list and request a personal data census",11302
process activity,Professional,Send/receive the GMSLA contract to/from the relevant counterparty,22394
process activity,Professional,"Request the formalization of the GMSLA contract, also supplying by requesting them from the counterparty if missing, all the necessary information and documents in possession",20567
process activity,Operational,Communicate the completion of the GMSLA contract,7112
process activity,Professional,Sign the GMSLA contract on the basis of the pro-tempore subscription powers in force,22591
process activity,Operational,"If necessary, ask the other party to complete the Tax Exemption Form",12709
process activity,Professional,Configure the position keeping system,7778
process activity,Professional,Verify the need to start the credit granting process,27042
process activity,Professional,Update the loan management systems master data,24352
process activity,Professional,Draft the first draft of the GMSLA contract or analyze the draft GMSLA received from the counterparty,9394
process activity,Professional,Negotiate the GMSLA contract,15271
process activity,Professional,Collect visas on checklists,6742
process activity,Professional,Notify clients of the allocation received from the Syndicate,15330
process activity,Professional,Submit tickets on Bloomberg TOMS,23454
process activity,Professional,Announce Public Transaction,1668
process activity,Professional,Report the IOIs and place the order in WHO,19849
process activity,Professional,Ensure that the customer is able to regulate the operation,9580
process activity,Professional,Distribute Deal Information,9309
process activity,Professional,Inform customers of the final details of the offer,12981
process activity,Professional,Confirm customer orders,7810
process activity,Professional,Gathering Indications of Interest (IOIs),11947
process activity,Professional,Determine the Type of Offering,9173
control activity,Other,Verify that you are distributing to QIB only,25778
process activity,Professional,Determining whether the Bank or Banca ISP IMI Sec. Corp. will act in the ‘Bill and Deliver’,9243
process activity,Professional,Provide updated information on the evolution of the Deal,18200
process activity,Operational,Provide instruction on blocking evidence,18052
control activity,Operational,Monitor feedback within the timescales provided,14964
process activity,Operational,Provide for monitoring suspended flows and report blocking evidence,17948
control activity,Operational,Verify compliance with the timing for the management of flows subject to possible fraud.,25091
system activity,Other,Load blocking evidence to manage,13656
process activity,Operational,Manage blocking evidence,14280
control activity,Operational,Verify the arrangement of the flows within the terms,25886
system activity,Other,Process entered statements and validate/revoke flows,17479
process activity,Operational,Supervise system rejects and other types of outstanding balances,23505
process activity,Operational,Oversee blocking evidence and channels with customers,15645
process activity,Operational,Validate/revoke the flow,24800
process activity,Operational,Manage the overdue report,14642
process activity,Professional,Make the connection with the Capital IQ source,13998
process activity,Operational,Send communication to the owners of the Funds and receive contributions,21414
control activity,Other,Verify that you have received all replies,25793
process activity,Professional,Update accounting,24137
control activity,Other,Verify the correctness of the balances,26619
control activity,Other,Carry out consistency checks on the progress of legal disputes,2974
process activity,Operational,Download movements of funds in the month,9350
process activity,Operational,Request establishment of the Fund,20259
control activity,Other,Check the completeness of the data,5291
process activity,Professional,Align accounting,1161
control activity,Other,Verify the correct accounting entry,26134
process activity,Operational,Submit a request to the accounting structure,23010
process activity,Professional,Enter the discount curves for the subsequent calculation,9906
control activity,Other,Check the reception of the discount curves,6054
process activity,Professional,Update files with information received and locate provisions/surpluses/releases,24180
control activity,Other,Verify the correct transposition of the data and the correct determination of movement of funds,26489
process activity,Operational,Account for usage,355
process activity,Professional,Calculate the discount,2585
control activity,Other,Verify the correct updating,26502
process activity,Operational,Communicate change in guaranteed loan amount,6836
control activity,Other,Check the attached documentation,5160
process activity,Operational,Communicate the variation to the guarantor,7473
process activity,Operational,Notify the guarantor of the change in the guaranteed loan amount,15463
process activity,Operational,Communicate the outcome of ISMEA,7285
process activity,Professional,Identify the changes that have occurred on the loan,12470
process activity,Professional,Communicate contract change,6860
process activity,Professional,Carry out the standard activities foreseen in the context of creditworthiness,3827
process activity,Operational,Receive the result of the request,19280
process activity,Professional,Carry out the standard activities foreseen,3825
control activity,Other,Verify the activities carried out for the management of the TEG,25854
process activity,Operational,Receive notice of Guarantee amount adjustment,18849
process activity,Professional,Reconcile roles and evaluate each multiple folder,19382
process activity,Professional,Analyze the deed and make provisions,1452
control activity,Other,Check if any payment has already been made,4678
control activity,Other,Check the correctness of the payment arrangements / authorizations,5578
control activity,Other,Verify the legitimacy of the partial payment,27012
process activity,Professional,Enter any request for suspension or non-payment into the system,9651
control activity,Other,Verify the legitimacy of the rejected payment,27013
process activity,Professional,Do a second analysis of the alert / role,9323
control activity,Other,Verify possible jurisdiction over the deed,25478
process activity,Operational,Make a fictitious assignment of the deed,13808
process activity,Professional,Record the notice / folder in the procedure,19464
process activity,Professional,Carry out an initial analysis of the alert / role,2834
process activity,Operational,Transfer the sums to the accounting structure,23925
control activity,Other,Verify the adequacy of the sums posted on the Variable Account used for payments,25869
process activity,Operational,Assign the alert / role to the owner,2169
process activity,Operational,Produce and distribute the report,17564
process activity,Operational,Building the non-standard report,2497
process activity,Professional,Receive the test result and fill in the User Acceptance Certification Report,19289
process activity,Professional,Identify and document lessons learned,12266
process activity,Professional,Authorize release with incomplete certification,2318
process activity,Professional,Perform UAT phase,15808
process activity,Professional,Run UAT,21057
process activity,Professional,Publish Certification and User Acceptance Report,18216
process activity,Professional,Verify consistency of test cases,25130
process activity,Professional,Evaluate test result,10340
process activity,Professional,Gather validation Verbal Certification and User Acceptance,11946
control activity,Other,Verify User Certification and Acceptance Report (UVA) [* without risk],24862
process activity,Professional,Communicate UAT phase activation availability,6770
process activity,Professional,Communicate test result,6991
process activity,Professional,Evaluate rescheduling or possible release as an exception to the certification,10330
process activity,Professional,Fill in the User Certification and Acceptance Report,11251
process activity,Operational,Communicate the completion of the requested activities.,7121
process activity,Operational,Provide for the correction/correction to be carried out immediately in the foreseen cases.,17982
process activity,Operational,Request the correction/correction of the data reported in the database from the competent CRIF offices.,20522
process activity,Operational,Carry out Inquiry activities on behalf of the Central Structures,2735
process activity,Operational,Request CRIF to suspend the visibility of the reporting data,19984
process activity,Operational,Archive practices,1850
process activity,Operational,Proceed with the cancellation of the practice,17373
process activity,Operational,Ask the Central Operating Structure to rectify the report,2078
process activity,Operational,Load the data to feed the MAPS DB,13695
control activity,Other,Check and possibly correct the information on a monthly basis,4166
process activity,Operational,Load the downloaded xml file into the system,13697
process activity,Professional,Analyze the consistency of the reported data with internal evidence,1424
control activity,Other,Carry out checks,2914
process activity,Professional,Reply to the Bank of Italy's Survey,19727
control activity,Other,Review and make any adjustments to the report,20969
process activity,Operational,Start exchanging cryptographic information,22735
process activity,Operational,Receive the key from the other party and enter the information received into the system,19154
process activity,Operational,Survey the counterparty,23643
control activity,Other,Verify correct census,25170
process activity,Operational,Receive the result of the analysis of the request,19277
process activity,Operational,"Activate the generation of keys, sign and digitally encrypt them, send them",904
process activity,Operational,Prepare - submit the pre agreement,16147
control activity,Other,Verify correctness of the pre agreement,25292
process activity,Operational,Exchange the details for activating the key exchange with the other party,10861
control activity,Other,Check the completeness of the necessary information,5316
process activity,Operational,Submit a request for permission to proceed,23007
process activity,Operational,Communicate the non-interest in activating the authorization exchange received,7269
process activity,Operational,Enter the keys to be renewed in the system,9957
control activity,Other,Verify correct entry into the system,25191
process activity,Operational,Receive the RNI key exchange request,19039
process activity,Operational,Inform the correspondent by sending your data,13071
process activity,Operational,Perform automatic compensations,15841
process activity,Operational,Check the schedule of events,6153
process activity,Operational,Adjust coupon payments,1022
control activity,Other,Check the correct regulation,5494
process activity,Operational,Check between contracts and countervalues,4204
process activity,Operational,Enter the amount if necessary and communicate the event to the Property,9788
process activity,Operational,Check the status of the check and accept the payment request,6210
process activity,Operational,Check for the presence of the complaint,4630
process activity,Operational,Receive communication of finding check available,18634
process activity,Operational,Archive the communication of finding the check available,1878
process activity,Operational,Change the status of the check and make payment to the payee,4030
process activity,Operational,Proceed to release the block on the title and pay the check,17307
process activity,Operational,Communicate executed and unexecuted to the customer,6889
process activity,Operational,Send orders directly to the market,21668
process activity,Operational,Manually enter order details in Middle Office Derivatives Listed (MOTP),14784
control activity,Operational,Check compilation of orders,4239
process activity,Operational,Enter order details in Middle Office Derivatives Listed (MOTP),9716
control activity,Operational,Verify order entry is correct,25460
process activity,Operational,Receive the order request,19177
control activity,Operational,Verify the correctness of the execution,26705
process activity,Operational,Enter customer orders in System,9666
process activity,Operational,Monitor orders received,14989
process activity,Operational,Receive orders from customers,18902
process activity,Operational,Edit the minutes,9452
process activity,Operational,Send a copy of the report to the Branch that uploaded the block,21271
process activity,Operational,Wait for developments,27399
process activity,Operational,Give the presenter a copy of the minutes,12035
process activity,Operational,Archive the documentation produced and exchanged,1894
process activity,Operational,Request a copy of the appeal from the Branch that uploaded the block,20028
process activity,Operational,Write down the submitter's data and the details of the appeal/depreciation decree,27468
process activity,Operational,Send the documentation to the competent Structure,22042
process activity,Operational,"Check if a ""franked"" title code exists",4673
process activity,Operational,Manage the necessary documentation,14628
process activity,Operational,Provide for the unloading/uploading of the title codes concerned,18023
control activity,Other,"Check the balance of the operation, the correctness of the data and archive the documentation",5184
process activity,Professional,Receive the postage request,19203
process activity,Professional,For Approved Financing - Istruct. Competence Legal Struct. Territorial: implement the 'Legal Fulfillments',11503
process activity,Operational,Prepare disbursements,16423
process activity,Professional,"Examine deeds, contracts after signing and verify the absence of bankruptcy proceedings",10797
process activity,Professional,Review the Legal Investigation,20987
process activity,Commercial,Prepare the legal investigation to ascertain the ownership and freedom of the assets to be mortgaged,16887
process activity,Professional,Prepare the 'Legal Report',16625
process activity,Professional,For Deliberated Financing - Legal Investigation of superior competence: Prepare the draft of the contract and the guarantee deeds,11504
process activity,Commercial,Fill in the texts of the draft contract and the guarantee deeds,11312
process activity,Professional,For Deliberated Financing - Legal investigation entrusted to external professionals: Verify the correspondence of the consultancy provided by the External Professional,11505
process activity,Operational,Carry out extraction,3034
control activity,Operational,Verify correctness of data,25278
process activity,Operational,Send the file to the requesting structure,22083
process activity,Operational,Check when necessary I use Provision active customers,6364
process activity,Operational,Check when necessary for any risk positions of customers,6365
process activity,Operational,Check when necessary the situation in terms of Customers' P/L,6366
process activity,Professional,Submit the previously defined proposal,23387
process activity,Professional,Gather feedback and provide questionnaires,11897
process activity,Professional,Aggregate and historicize the results,1077
process activity,Professional,Formalize the reporting feedback edition for the report in question,11616
process activity,Professional,Produce and transmit the summary,17586
process activity,Professional,Send a summary to the top management of the CRO Area,21330
process activity,Professional,Send the questionnaire and request its completion,22241
process activity,Professional,Activate the reporting feedback process,946
process activity,Professional,View the summary,27384
process activity,Professional,Request verification of quantitative reports,20770
process activity,Professional,Communicate the successful validation of the quantitative reports,7445
process activity,Professional,Communicate the anomalies found,7044
process activity,Professional,Verify the consistency of the quantitative reports received with the regulatory requirement,26107
process activity,Professional,Submit Section 4.2 of the Best Execution Report,22978
process activity,Professional,Communicate the anomalies found in the quantitative reports,7045
process activity,Professional,Prepare the draft of the Best Execution Report,16818
process activity,Professional,Submit the draft of the Best Execution Report and receive any feedback,23318
process activity,Professional,Prepare Section 4.2 of the Best Execution Report,16165
process activity,Professional,Confirm and/or integrate the prepared Sections of the Best Execution Report,7800
process activity,Professional,Reprocess the quantitative reports and send them,19972
process activity,Professional,Receive the feedback from the structures regarding the draft of the Best Execution Report,19130
process activity,Professional,Publish the Best Execution Report on the site,18240
process activity,Professional,Edit the specific sections of the Best Execution Report,9457
process activity,Professional,Verify the correctness of the data contained in the quantitative reports,26660
process activity,Professional,Request to prepare section 4.2 of the Best Execution Report,20745
process activity,Professional,Prepare and share quantitative reports relating to operations on behalf of third parties,16334
process activity,Professional,Start the activities for the preparation of the Best Execution Report,22796
process activity,Professional,Share anomalies found in quantitative reports,22452
process activity,Professional,Translate the validated version of the Best Execution Report into English,23932
process activity,Professional,Send the final version of the Best Execution Report,22091
process activity,Professional,Share the prepared sections of the Best Execution Report,22520
process activity,Professional,Request the preparation of quantitative reports relating to operations on behalf of third parties,20649
process activity,Commercial,Deliver to the Customer - for payment services outside the scope of Legislative Decree 37/2017 - the documentation of his competence,8989
process activity,Professional,Carry out the monthly allocation to the income statement of the sums relating to the penalties paid,3618
process activity,Commercial,Notify the Customer - within five working days - of the outcome of the transfer request,15363
process activity,Operational,Make final accounting settlements,13903
process activity,Operational,Carry out the calculation of the penalty to be paid to the Customer,3438
process activity,Commercial,"Print, fill in and have the Customer sign the authorization form for communicating the new IBAN to third parties",17266
process activity,Professional,Prepare the notification of the outcome of the transfer request for the Client and send it to the Manager,16929
process activity,Professional,Check - if necessary - the status of the file and the processing notes,4061
process activity,Professional,Make the transfers for the payment of the penalties due,14088
process activity,Professional,Access the procedure and enter the information provided by the Customer,285
process activity,Operational,Make the interim accounting arrangements,14023
process activity,Operational,Manage the storage of documentation relating to the practice,14728
process activity,Professional,"Fill in, print, have the Customer sign and deliver a copy of the ""Transfer of Payment Services"" form automatically prepared by the procedure",11319
process activity,Professional,Check the completeness of the data received from the Old Bank,5294
process activity,Professional,Note the delay for Banca New in carrying out the transfer service,15298
process activity,Professional,Complete - within five working days - the tasks for the direct debit transfer,7552
process activity,Operational,Request from Banca Old the data necessary to quantify the penalty to be paid to the Customer,20276
process activity,Professional,Monitor the receipt of the practices and proceed with taking charge,15166
process activity,Commercial,Print and have the Customer sign - for payment services outside the scope of Legislative Decree 37/2017 - the forms prepared by the procedure,17154
process activity,Operational,Credit the transit account for the total penalty due,8476
process activity,Professional,Verify the presence of the conditions for carrying out the Service,27147
process activity,Operational,Complete the tasks for the account balance transfer,7687
process activity,Operational,"Have the tools for using the account issued by Banca Old delivered to you - if in the Customer's possession -, cut and kept",12204
process activity,Operational,Send to the competent body - in case of transfer of salaries or pensions outside the scope of Legislative Decree 37/2017 - request for change of domiciliation,22375
process activity,Operational,Update the status and processing notes of the practice,24383
process activity,Professional,Monitor receipt of Old Bank responses,15011
process activity,Commercial,Carry out the activities foreseen in the event that the Customer requests the cancellation of the transfer of payment services,3363
process activity,Professional,Complete - within five working days - the activities for the transfer of wire transfers,7551
process activity,Professional,Send the transfer request to Banca Old - within two working days,22360
process activity,Professional,Check the completeness of the file,5304
process activity,Professional,"Scan the Form signed by the Customer, upload it to the file and confirm the sending of the file",21122
process activity,Operational,Print and complete the forms for the communication of the new IBAN to the originators of recurring incoming credit transfers and to the beneficiaries of direct debits,17145
process activity,Operational,Enhance the Company's personal information,9538
process activity,Operational,Share company codes,22455
process activity,Operational,Parameterize the tables in the system,15705
process activity,Operational,Provide 4-character company codes,17810
process activity,Operational,Request information for the valorisation of the master table,20290
process activity,Operational,Enhance contributory and insurance positions,9533
process activity,Operational,Parameterize the information of competence,15702
process activity,Operational,Complete the creation of the organizational structure of the Company,7626
process activity,Operational,Consolidate the new company,8071
process activity,Operational,Survey the organizational structures,23666
process activity,Operational,Submit organizational structure information for the census,23136
process activity,Commercial,Periodically update the Product Sheets,16041
process activity,Commercial,Convene the Technical Table for Financial Products OTC derivatives session,8257
process activity,Commercial,Activate the Market Risk Clearing process,826
process activity,Commercial,Archive the different versions of the Product Sheets,1885
process activity,Commercial,Supervise operations in OTC derivatives,23500
process activity,Operational,Check for confirmations on alternate application environments,4492
process activity,Professional,Check the stipulated contracts that cannot be viewed in the MO systems,6230
process activity,Operational,Verify the success of the matching of the confirmations and related regulations,27251
process activity,Operational,Manually prepare Swift messaging related to payments,14795
process activity,Professional,Check for possible anomalies that can be found close to the critical cut-offs,4547
process activity,Operational,Manually match confirmations,14791
process activity,Professional,Communicate the need to activate contingency procedures,7247
process activity,Operational,Identify pending operations,12380
process activity,Operational,Classify the persons responsible for a company's obligations as default,6447
process activity,Operational,Consider extending the classification to default in the liability case,8003
process activity,Operational,Evaluate the possible exclusion from default due to legal disputes,10616
process activity,Professional,Proceed with the formulation of the resolvability capacity risk limit proposal for the Group,17400
process activity,Professional,"Proceed with the formulation of the risk limit proposal relating to market, public sector, structural exchange rate, valuation and bank risks for the Group",17402
process activity,Professional,Proceed with the formulation of the risk limit proposal relating to the credit risk for the Group,17404
process activity,Professional,"Proceed with the formulation of the risk limit proposal relating to single name risks, placement of third party securities, country, equity investments, asset and wealth management and insurance for the Group",17403
process activity,Professional,Carry out additional internal RAF communications,2813
process activity,Professional,Proceed with the formulation of the risk limit/statement proposal for the Group's non-financial risks,17408
process activity,Professional,Define the perimeter of current and prospective risks relevant for RAF purposes,8765
process activity,Professional,Review and approve the RAF proposal,20961
process activity,Professional,Proceed with the formulation of the capital adequacy risk limit proposal for the Group,17398
process activity,Professional,Carry out a reconciliation between the RAF risk perimeter and the Group Risk Inventory,2782
process activity,Professional,Proceed with the formulation of the risk limit proposal relating to the interest rate risk of the banking book for the Group,17405
process activity,Professional,Proceed with the formulation of the liquidity risk limit proposal for the Group,17399
process activity,Professional,Carry out the appropriate external communications regarding the RAF,3417
control activity,Other,Verify the correctness of the prepared communication,26764
process activity,Professional,Proceed with the formulation of the risk limit proposal for the recovery plan metrics not covered by other RAF limits,17401
process activity,Professional,"Proceed with the formulation of the risk limit proposal/statement of the Group's reputational, ESG and climate change risks",17406
process activity,Professional,Communicate the limits and/or indications defined in the RAF,7226
process activity,Professional,Proceed with the formulation of the risk limit/statement proposal for the Group's model risk,17407
process activity,Operational,Acquire the values to be paid,686
process activity,Operational,Enter the data relating to the values to be paid,9878
process activity,Operational,Identify the customer or collect and manage the containers in the case of deposit in night safe,12512
process activity,Operational,"Deliver to the Customer the accountant - if required - and any cash withdrawn, in case of change or withdrawal at the same time",8991
process activity,Operational,Check the signals of trespassing and blocks,6172
process activity,Operational,Call up the deposit transaction and enter credit report data,2634
process activity,Operational,"Enter, if required, the data for anti-money laundering registrations or bank checks",10110
process activity,Operational,Verify the formal correctness of the values to be paid,26981
process activity,Operational,"In the case of payment of cheques, check that the data on the individual checks correspond with the data set out in the procedure",12893
process activity,Operational,Manage night safe containers,14400
process activity,Operational,Verify the powers of the person requesting the operation,27116
process activity,Operational,Keep the paper documentation and keep the values paid,13560
process activity,Operational,Update the list of exposed IP addresses/Ports,24350
process activity,Operational,Identify and report newly exposed IP addresses/Ports,12290
control activity,Other,Keep track of reports,13565
process activity,Operational,Retrieve the list of IPs and start monitoring activities,20896
process activity,Operational,Open a Security Incident and report the incident,15518
process activity,Operational,Analyze the newly exposed IP addresses/Ports,1529
process activity,Operational,Report the anomaly that led to the unauthorized exposure of IP addresses/Ports,19861
process activity,Operational,Keep track of the activities performed,13566
process activity,Operational,Evaluate whether to integrate the list of addressing classes,10767
process activity,Operational,Close the Security Incident,6493
process activity,Operational,Survey the addressing classes exposed on the public network,23636
process activity,Professional,Perfect Warranty,15748
process activity,Professional,Provide to countersign the policy,18194
process activity,Operational,Hand over the warranty to the warranty officer,12057
process activity,Operational,"Receive the conditional resolution, notify the resolution and request the signature of the letter of commitment",19084
process activity,Professional,Send the complete documentation to Sace,21948
process activity,Operational,Mark the file with the indication of the supporting Sace policy,14810
process activity,Operational,Receive feasibility opinion from Sace,18762
process activity,Operational,Take over the practice,23827
process activity,Professional,Comply with SACE instructions,7702
control activity,Other,Verify the correctness of the documentation to be sent to Sace,26699
process activity,Operational,Receive the form signed by the customer,19140
process activity,Professional,Request the feasibility opinion from SACE in advance,20563
process activity,Professional,Update your location data,24415
process activity,Operational,Acquire letter of commitment signed by the customer to SACE,550
process activity,Professional,Provide for the formalization of the credit line proposal,17996
process activity,Professional,Fill in the SACE Policy application form and forward it to the customer,11248
process activity,Operational,Scan and send the collected documentation to the competent structure,21120
process activity,Professional,Send the Operator instructions for making commission and insurance premium payments to SACE,21850
process activity,Professional,Send the Operator the instructions for making the payments of the commissions and insurance premium to SACE,21851
process activity,Operational,Receive the policy with the processing instructions from Sace,19202
process activity,Professional,Send the complete documentation to SACE,21947
process activity,Professional,Submit a policy request to Sace,23001
process activity,Operational,Receive the SACE surety policy request form from the Competent Structure and have it signed by the Customer,19044
process activity,Operational,Send the request to Sace,22293
process activity,Professional,Carry out a verification activity,2792
process activity,Operational,Communicate the Rejection by SACE,7014
process activity,Professional,"Evaluate the possibility of requesting SACE insurance coverage, Polizza Fidejussioni",10609
process activity,Professional,Fill in the Sace Policy application form,11249
process activity,Operational,Send the documentation to the Manager,22030
process activity,Professional,Send a copy of the bank transfer and the documents requested by Sace to the competent structure,21259
process activity,Professional,Check the capacity of the SACE ceiling for indirect risks,5204
process activity,Professional,Prepare the application for insurance coverage,16710
process activity,Operational,Check the capacity of the SACE ceiling for indirect risks,5204
process activity,Operational,Receive the resolution in the ways of use,19274
process activity,Professional,Collect documentation,6615
process activity,Professional,Review the proposal,21015
process activity,Professional,"Provide support for the negotiation of the economic commitment, the management of the initiative and any valorisation activities",18107
process activity,Professional,Return the countersigned request for authorization to spend via the dedicated application as a sign of approval,20926
process activity,Professional,Define any valorisation activities,8581
process activity,Professional,Define any valorisation activities to maximize the returns of the intervention,8582
process activity,Professional,Submit the sponsorship proposal,23432
process activity,Professional,Carry out the due diligence and upload the related documents on the dedicated application,3516
process activity,Professional,Contact the Sponsee Applicant to negotiate the financial commitment and define the details of the intervention,8158
process activity,Professional,Evaluate the adequacy of the economic request,10363
control activity,Other,Check the capacity of the budget,5206
process activity,Professional,Formalize the agreement by letter or contract,11592
process activity,Professional,Reject the proposal and update the file with a negative result on the dedicated application,19644
process activity,Professional,Update the list of initiatives on the dedicated application,24351
control activity,Other,Check for the presence of further initiatives attributable to the same subject,4614
process activity,Professional,Evaluate the entity of the economic request and the possible reference to cases for which it is necessary to involve DCI,10459
process activity,Commercial,Evaluate the opportunity for communication and public relations,10572
process activity,Operational,Archive the documentation produced on the dedicated application,1900
process activity,Professional,Make the requested changes on the dedicated application and wait for the new outcome of the approval process,14070
process activity,Professional,Monitor the initiative by verifying effective compliance with the agreements during construction,15110
process activity,Professional,Enter spending commitments and activate the purchasing cycle,9744
control activity,Other,Verify the correctness of the expenditure commitment,26708
process activity,Professional,"Evaluate the initiative by verifying the existence of the requirements of fairness, opportunity and consistency",10502
process activity,Professional,Accounting for the expenditure commitment and activating the passive cycle,392
process activity,Professional,Transmit the outcome of the approval process via the dedicated application,24016
process activity,Professional,Deny authorization to intervene using the dedicated application,9003
process activity,Professional,Evaluate the final interest in the initiative,10484
process activity,Professional,Submit the proposal to DCI via the dedicated application,23392
process activity,Commercial,Evaluate the coherence of the initiative and commercial interests,10397
process activity,Operational,Receive the net position of IRES payables/receivables of the companies towards the parent company.,19165
process activity,Professional,Prepare the first note,16853
process activity,Professional,Determine the IRES debit/credit position of the parent company vis-à-vis the tax-consolidated companies,9171
control activity,Other,Verify the correct and complete compilation of the data,26191
process activity,Professional,Validate data aggregation,24660
process activity,Professional,Enter the first notes,9924
control activity,Operational,Check the correspondence of the tax results with the accounting balances,5619
process activity,Operational,Check the consistency of the operation,5390
process activity,Operational,Submit request for non-standard TIT MLT,23167
process activity,Operational,Send an indicative TIT request with an indicative ABaCo discount,21343
process activity,Operational,Prepare request TIT MLT Indicative non-standard,16608
process activity,Professional,Request authorization for the transaction from the Group Financial Risks Committee,20171
process activity,Professional,Identify the name/portfolio of names with significant weight involved in the transaction,12552
process activity,Professional,Carry out the capital absorption calculation,3445
control activity,Other,Verify the correct capital absorption,26245
process activity,Professional,Send the list of names/portfolio of names with significant weight involved in the operation,22153
process activity,Professional,Carry out pre-closing checks on the transaction,3155
process activity,Professional,Upload Financial Guarantor/Policy to legacy systems,24430
control activity,Other,Verify the missing/incorrect link between the guarantee and the covered loan,27024
control activity,Other,Verify the correct loading of the Financial Guarantee,26404
process activity,Professional,Perform the reconciliation,15992
process activity,Professional,Request the preparation of drafts of the transaction contracts,20647
process activity,Professional,Finalize the transaction with the identified counterparty,11434
process activity,Professional,Report funding events,19797
control activity,Other,Check for event signalling,4518
process activity,Professional,Send information on contract characteristics,21568
process activity,Professional,Initiate discussions with potential market counterparts,13127
process activity,Professional,Make changes on front systems,13878
control activity,Other,Verify that the changes made are correct,25659
process activity,Professional,Perform periodic reconciliation,15923
process activity,Professional,Enter the deal in the front systems,9893
control activity,Other,Check the correctness of the MX3 registration,5529
process activity,Professional,"Receive emails of any errors or deviations detected during transmission and, following verification, communicate the disbursement to the Fund",18746
process activity,Professional,Check which ceiling to link the operation to,6379
control activity,Other,Verify the correct ceiling,26246
process activity,Professional,Finalize the guarantee of the Confidi and the counter-guarantee of the Fund,11404
control activity,Other,Verify the correct accounting of the Confidi guarantee and the Fund's counter-guarantee,26140
process activity,Operational,Receive notification of successful submission of the counter-guarantee application and register the case in the pertinent application.,18879
process activity,Operational,"Check the payment of the one-off commission on the Fdg Portal, do not update my data in the relevant application",5969
process activity,Operational,Receive letter of outcome of the resolution of the Management Board relating to the application for admission of the counter-guarantee by recording the evidence on the pertinent application,18835
process activity,Professional,Carry out the preparatory activities with the Confidi for the collection of the counter-guarantee of the Guarantee Fund,3742
control activity,Other,Verify the correctness of the declaration regarding the advantage recognized to the company,26686
process activity,Operational,"Following stipulation/disbursement, notify the Confidi of the completion of the transaction",11492
process activity,Operational,Receive proof of payment and update the relevant application,18931
process activity,Professional,Carry out the standard activities envisaged for credit processes to formalize the supervening presence of the counter-guarantee,3822
process activity,Professional,Carry out the standard activities foreseen with the preliminary investigation for the relative fiduciary classification in the system,3828
process activity,Professional,Notify Confidi of any inaccuracies in the application form for admission to the Counter-guarantee.,15304
process activity,Professional,Define the type of guarantee Confidi with or without counter-guarantee,8818
process activity,Operational,Record the execution of the request for further information on the pertinent application,19450
process activity,Operational,Provide for the payment of the commissions and notify the competent structure of the execution of the initiative,18006
control activity,Other,Verify the correct execution of the initiative.,26358
process activity,Operational,Send a copy of the guarantees to the Specialist Unit,21267
process activity,Professional,Obtain authorization for the new rate and also communicate the resolution to the Confidi,15498
process activity,Professional, Receive communication from the Confidi regarding the intention to request the 662/96 counter-guarantee following a guaranteed transaction already completed and disbursed and evaluate the request,131
process activity,Operational,Record the non-acceptance of the proposed loan resolution in the pertinent application,19461
process activity,Professional,Retrieve the information/documentation requested by the Guarantee Fund and send it to the Confidi,20895
process activity,Operational,Register the request for instructor insights on the pertinent application,19600
process activity,Professional,Finalize the counter-guarantee of the Fund,11396
control activity,Other,Verify the correct accounting of the Fund's counter-guarantee.,26141
process activity,Operational,Prepare the custody of the consortium guarantee,16765
process activity,Professional,Proceed with the fulfilments consequent to the outcome of the resolution.,17409
process activity,Operational,Notify the Confidi and the Specialist Unit of the completion of the transaction,15356
process activity,Professional,Receive and verify the communication letter of admission to the counter-guarantee.,18558
process activity,Operational,Communicate the approval of the loan to the Confidi and to the Specialist Unit,7060
process activity,Professional,Check the correctness of the documentation.,5561
process activity,Professional,Check the Confidi regarding the late payment and communicate the outcome to the Specialist Unit,5045
process activity,Operational,Notify the Specialist Unit and the Confidi of the non-acceptance of the proposed loan resolution by the Bank,15403
process activity,Professional, Provide for the payment of the commissions and notify the competent structure of the execution of the initiative.,125
control activity,Other,Check the correct execution of the initiative and the archiving of the email forwarded to the wire transfer office for the respective commission payment.,5470
process activity,Operational,Receive any documentation and communication sent to Confidi and record the event in the relevant application,18568
process activity,Operational,Receive notification of successful submission of the counter-guarantee application and register the case in the relevant application,18880
process activity,Professional,Carry out the activities envisaged for the renegotiation of the loan,3339
process activity,Operational,Check that the Confidi has paid the one-off fee,4932
process activity,Professional,Receive any requests for further information from the Guarantee Fund conveyed by the Confidi to the Bank and inform the Specialist Unit.,18575
process activity,Operational,Receive letter of outcome of the resolution of the Management Board and detect the outcome of the application for admission to the Counter-guarantee on the pertinent application.,18834
process activity,Professional,Carry out the proposal for the resolution of the loan,3760
process activity,Professional,Perform the standard activities required to complete the transaction,16001
process activity,Professional,Check the Confidi regarding the late payment and communicate the outcome to the NS.,5044
process activity,Professional,Gather and verify collateral,11884
process activity,Professional,Check documentation and register,4359
process activity,Operational,Arrange for the payment of commissions,1966
process activity,Professional,Verify the regularity of the funding resolution and record the event in the relevant application,27201
