risk,riskID,riskType,financialDisclosureRisk
Mismatch between systems,2272,Other risks (operational),False
Incompleteness of the perimeter,955,Financial Information Risk (ex 262/2005),True
Incomplete Warranties,775,Other risks (operational),False
Incomplete prerequisites for training,912,Other risks (operational),False
Failure to comply with the delivery terms,520,Other risks (operational),False
Incorrect documentation data,1515,Other risks (operational),False
Incomplete signatures,925,Other risks (operational),False
Wrong Accounting,2918,Other risks (operational),False
Incorrect accounting,1078,Other risks (operational),False
Inconsistent contractual text,990,Other risks (operational),False
Wrong registration of new report,3174,Other risks (operational),False
Lack of authorization from the Area Manager for Global Corporate customers and hierarchical manager of the GRM F.I. M rating,2142,Other risks (operational),False
Incorrect billing,1278,Financial Information Risk (ex 262/2005),True
Incorrect classification of the accounting item,1354,Financial Information Risk (ex 262/2005),True
Failure to communicate with the structure contact person,495,Financial Information Risk (ex 262/2005),True
Failure/incomplete receipt of regulatory news,705,Financial Information Risk (ex 262/2005),True
Incomplete sensitivity measurements,924,Other risks (operational),False
Incorrect contributed data,1393,Other risks (operational),False
Incorrect calculation of the Fair Value Adjustment,1301,Financial Information Risk (ex 262/2005),True
Incorrect attribution of economic conditions,1268,Legal and non-compliance,False
Failure to comply with the Cross Border Account management times,515,Other risks (operational),False
Consolidation of incorrect and/or incomplete data,211,Other risks (operational),False
Incomplete and/or incorrect files sent,813,Other risks (operational),False
Incorrect / incomplete data upload,1045,Other risks (operational),False
Incorrect / incomplete production of information,1048,Other risks (operational),False
Incorrect / incomplete production of relevant information,1049,Other risks (operational),False
Incorrect gold trade report,1623,Other risks (operational),False
 Lack of or incomplete maintenance of operational documentation,37,Information and Communication Technology risk,False
Incorrect or non-timely execution of processing procedures,1807,Other,False
 Incorrect or non-timely execution of processing procedures,31,Other,False
Incorrect/incomplete repricing,2092,Financial Information Risk (ex 262/2005),True
Data not captured,280,Financial Information Risk (ex 262/2005),True
Incorrect or missing data in the report,1795,Legal and non-compliance,False
Incomplete import,867,Financial Information Risk (ex 262/2005),True
Communication sent incomplete and/or incorrect,194,Financial Information Risk (ex 262/2005),True
Wrong reporting,3181,Legal and non-compliance,False
Cancel operation not verified,162,Other risks (operational),False
Security patches not applied according to the assigned classification,2759,Other risks (operational),False
Wrong or missing CUA accounting,3130,Financial Information Risk (ex 262/2005),True
Incorrect or missing registration of the Forborne credit,1801,Financial Information Risk (ex 262/2005),True
Incorrect or missing registration of the Forborne credit for positions in SIRE,1802,Financial Information Risk (ex 262/2005),True
Failure to involve all the contributors necessary to carry out the process,584,Other risks (operational),False
Regulatory updates and Supervision expectations not fully incorporated and managed in the process,2646,Other risks (operational),False
Incorrect identification of the current account relationship or the passbook,1631,Financial Information Risk (ex 262/2005),True
Incorrect fulfillment of the guarantee,1619,Financial Information Risk (ex 262/2005),True
Incorrect signing of the deed of pledge,1951,Financial Information Risk (ex 262/2005),True
Presence of suspended,2585,Other risks (operational),False
Unable to return the account item to the sending branch,2842,Other risks (operational),False
Erroneous commission charges,359,Financial Information Risk (ex 262/2005),True
Failure to complete the procedure and/or incompleteness of the supporting documentation,501,Other risks (operational),False
Incorrect VAT payment,1075,Other risks (operational),False
Operation not permitted,2426,Legal and non-compliance,False
Incorrect calculation of the extinction count,1312,Financial Information Risk (ex 262/2005),True
Incorrect accounting of the Bank Transfer received,1111,Financial Information Risk (ex 262/2005),True
Failure to profile Banks / Subsidiaries,625,Other risks (operational),False
Administered deposits in the name of non-existing Banks / Subsidiaries,89,Other risks (operational),False
Incomplete/correct proxy documents collected,935,Other risks (operational),False
Risk of violation of the block on operations,2745,Financial Information Risk (ex 262/2005),True
Incorrect order entry,1810,Financial Information Risk (ex 262/2005),True
Presence of individuals on the LIL and IL lists,2562,Financial Information Risk (ex 262/2005),True
Deal SSI missing in Sire,299,Financial Information Risk (ex 262/2005),True
Wrong loading of data,3107,Financial Information Risk (ex 262/2005),True
Incorrect updating of the GMSLA master data of the systems,2018,Financial Information Risk (ex 262/2005),True
Wrong update of system loan data,3203,Financial Information Risk (ex 262/2005),True
Distribution not aimed only at QIB,332,Other risks (operational),False
Failure to confirm flows,542,Other risks (operational),False
No instruction received on flow subject to possible fraud,2345,Other risks (operational),False
Failure to confirm the flow within the deadlines,543,Other risks (operational),False
Incomplete information,871,Financial Information Risk (ex 262/2005),True
Incorrect transposition of data,2004,Financial Information Risk (ex 262/2005),True
Curves not updated,248,Financial Information Risk (ex 262/2005),True
Incorrect data transposition,1464,Financial Information Risk (ex 262/2005),True
Incorrect determination of movement of funds,1492,Financial Information Risk (ex 262/2005),True
Incorrect / incomplete documentation,1046,Other risks (operational),False
Incorrect management of the TEG calculation,1704,Financial Information Risk (ex 262/2005),True
Incorrect payment arrangements / authorizations,1816,Financial Information Risk (ex 262/2005),True
Making a double payment,2211,Financial Information Risk (ex 262/2005),True
Lack of conditions for partial payment,2148,Other risks (operational),False
Lack of conditions for rejected payment,2149,Other risks (operational),False
Failure to identify alerts/roles of responsibility,572,Other risks (operational),False
Incorrect accounting provisions,1140,Financial Information Risk (ex 262/2005),True
Incomplete and/or incorrect data input,810,Financial Information Risk (ex 262/2005),True
Incorrect signage basis,1945,Financial Information Risk (ex 262/2005),True
Settlement not carried out or partially carried out,2775,Financial Information Risk (ex 262/2005),True
Missing/Wrong accounting,2315,Financial Information Risk (ex 262/2005),True
Incorrect compilation of orders,1369,Financial Information Risk (ex 262/2005),True
Incorrect orders,1811,Financial Information Risk (ex 262/2005),True
Incorrect communication,1360,Other risks (operational),False
Presence of an unauthorized exposed IP address,2534,Other risks (operational),False
Incorrect/incomplete documentation,2078,Other risks (operational),False
Failure of the documentation received to match the policy conditions,429,Financial Information Risk (ex 262/2005),True
Non-compliance with the stipulated conditions,2373,Financial Information Risk (ex 262/2005),True
Budget not available,155,Other risks (operational),False
Existence of other initiatives attributable to the same subject,405,Other risks (operational),False
Incorrect/incomplete compilation of the IT prospectus.,2063,Other risks (operational),False
Incorrect capital absorption,1327,Financial Information Risk (ex 262/2005),True
Incorrect or missing connection between the guarantee and the underlying loan,1793,Financial Information Risk (ex 262/2005),True
Incorrect or failed loading of the Financial Guarantee,1732,Financial Information Risk (ex 262/2005),True
Missing and/or incorrect event reporting,2299,Financial Information Risk (ex 262/2005),True
Wrong insertion of changes in Murex,3099,Financial Information Risk (ex 262/2005),True
Incorrect entry of the deal,1556,Financial Information Risk (ex 262/2005),True
Identification and choice of the wrong ceiling,742,Financial Information Risk (ex 262/2005),True
Incorrect accounting of the Confidi guarantee and the Fund's counter-guarantee,1112,Financial Information Risk (ex 262/2005),True
Incorrect communication to Confidi regarding the advantage recognized to the Company.,1361,Other risks (operational),False
Wrong execution of the initiative,3079,Financial Information Risk (ex 262/2005),True
Incorrect accounting of the guarantee in the pertinent application,1125,Financial Information Risk (ex 262/2005),True
Incorrect payment of commissions.,1821,Financial Information Risk (ex 262/2005),True
Lack of acknowledgment of bills/recoveries in the accounting entries,2141,Financial Information Risk (ex 262/2005),True
Failure to reconcile bills/recoveries or reconcile with incorrect references,642,Financial Information Risk (ex 262/2005),True
Incorrect classification of events/effects,1351,Financial Information Risk (ex 262/2005),True
Missing/incomplete entry of internal offenses,2317,Other risks (operational),False
Wrong classification of events/effects,3006,Financial Information Risk (ex 262/2005),True
Squaring of total receivables financial exposure,2795,Financial Information Risk (ex 262/2005),True
Incorrect identification of expected balances,1626,Financial Information Risk (ex 262/2005),True
Incorrect/incomplete compilation of the declaration,2066,Financial Information Risk (ex 262/2005),True
Formal incorrectness,726,Financial Information Risk (ex 262/2005),True
Presence of anomalies,2535,Financial Information Risk (ex 262/2005),True
Wrong regulation,3176,Financial Information Risk (ex 262/2005),True
Presence of transfers,2587,Financial Information Risk (ex 262/2005),True
Report text in incorrect/incomplete English,2662,Other risks (operational),False
Wrong/incomplete final PDF,3230,Financial Information Risk (ex 262/2005),True
Incorrect/incomplete content,2070,Other risks (operational),False
Delivery delivered not corresponding to the request,313,Other risks (operational),False
Treatment register not updated,2841,Legal and non-compliance,False
Incorrect message placement,1715,Other risks (operational),False
Squaring between the first note and any pending payments at the end of the month,2791,Financial Information Risk (ex 262/2005),True
Mismatch between positions,2270,Financial Information Risk (ex 262/2005),True
Lack of reconciliation with internal structures,2175,Financial Information Risk (ex 262/2005),True
Incorrect definition of the amounts to be returned,1478,Other risks (operational),False
Failure to charge transfers to the customer-contract account,486,Financial Information Risk (ex 262/2005),True
Incorrect or inconsistent attribution of the bank transfer to the customer's account statement,1786,Financial Information Risk (ex 262/2005),True
Credit titles formally incorrect,246,Financial Information Risk (ex 262/2005),True
Incomplete monitoring of an Associated Person and/or failure to register an Associated Person for the NFA Proficiency Exam,878,Legal and non-compliance,False
Mismatch between list of APs subject to monitoring and list of APs provided by HR,2269,Legal and non-compliance,False
 Incorrect 1-2-3-year point in time system default rates,15,Financial Information Risk (ex 262/2005),True
Incorrect calculation of the add-on,1307,Financial Information Risk (ex 262/2005),True
Incorrect calculation of migration matrices,1294,Financial Information Risk (ex 262/2005),True
Wrong calculation of conditional LGDs,2978,Financial Information Risk (ex 262/2005),True
Wrong calculation of LGD conditioning coefficients,2977,Financial Information Risk (ex 262/2005),True
Wrong calculation of migration matrices,2981,Financial Information Risk (ex 262/2005),True
Incorrect calculation of cumulative PD,1290,Financial Information Risk (ex 262/2005),True
Wrong/non-transposition of the Haircut grids,3250,Financial Information Risk (ex 262/2005),True
Wrong/non-transposition of the Add-on grids,3249,Financial Information Risk (ex 262/2005),True
Incorrect transposition of LGD samples,2002,Financial Information Risk (ex 262/2005),True
Wrong/failed transposition of the CCF grids,3218,Financial Information Risk (ex 262/2005),True
Wrong/failed transposition of the LGD TTC grids,3219,Financial Information Risk (ex 262/2005),True
Backtesting P&L data misaligned,138,Financial Information Risk (ex 262/2005),True
Folder not present in feed streams,719,Financial Information Risk (ex 262/2005),True
Price contribution from front office system incomplete,2599,Other risks (operational),False
Anomalies in the processing of the calculation phase,109,Financial Information Risk (ex 262/2005),True
Incorrect or incomplete reporting,1778,Financial Information Risk (ex 262/2005),True
Incomplete and/or incorrectly filled in data and/or documents,826,Other risks (operational),False
Incorrect census of the counterparty or company representatives,1339,Financial Information Risk (ex 262/2005),True
 Failure to timely evaluate schedules,7,Other risks (operational),False
 Inconsistency of the request,14,Other risks (operational),False
Incorrect data entry to the system,1438,Other risks (operational),False
Uncontrolled effects,2861,Other risks (operational),False
Wrong entry of parameters,3071,Financial Information Risk (ex 262/2005),True
Failure to discharge warranty,551,Financial Information Risk (ex 262/2005),True
Incorrect evaluation of the impact,1572,Other risks (operational),False
No census in the excel file of Abitacs reports,2334,Other risks (operational),False
Failure to register Abitacs reports in Yubik or in the Legal Inventory,645,Other risks (operational),False
"Incorrect indication of the percentage reduction of the penalties, their applicability period and reference tax code",1644,Other risks (operational),False
Incorrect/incomplete reversal of accounting balances of data extracted from the general ledger (SCI) into the financial statements application,2093,Financial Information Risk (ex 262/2005),True
Wrong interest claim requested,3102,Financial Information Risk (ex 262/2005),True
Incorrect accounting of passive interest claims,1108,Financial Information Risk (ex 262/2005),True
Incorrect accounting of active interest claims,1091,Financial Information Risk (ex 262/2005),True
Incorrect payment,1815,Financial Information Risk (ex 262/2005),True
Wrong calculation,2972,Financial Information Risk (ex 262/2005),True
Lack of effective collection of the claim,2166,Financial Information Risk (ex 262/2005),True
Wrong cancellation write-ins,2994,Financial Information Risk (ex 262/2005),True
Quantity canceled incorrect,2627,Financial Information Risk (ex 262/2005),True
Reverse inquiry not properly tracked,2682,Other risks (operational),False
Location transfer not done,2200,Financial Information Risk (ex 262/2005),True
Incorrect/incomplete system data,2097,Financial Information Risk (ex 262/2005),True
Change in P&L on the Backtesting perimeter,175,Other risks (operational),False
Inconsistent rating,1017,Other risks (operational),False
TEG beyond the wear threshold,2811,Other,False
Transaction TEG over threshold,2834,Other,False
TEG of the operation beyond the wear threshold,2813,Other,False
Incorrect and/or incomplete registration of the document,1219,Financial Information Risk (ex 262/2005),True
Incorrect/incomplete compilation of the document in the system,2067,Financial Information Risk (ex 262/2005),True
Failure to send document,665,Financial Information Risk (ex 262/2005),True
Incorrect permissions,1832,Financial Information Risk (ex 262/2005),True
Wrong entry of rates,3073,Financial Information Risk (ex 262/2005),True
"Failure to manage risk, accident and near miss reports.",590,Other risks (operational),False
Failure to fulfill the requests/requirements/provisions imposed by the OV,567,Other risks (operational),False
Incorrect flow,1612,Other risks (operational),False
Make incorrect transfers,2210,Financial Information Risk (ex 262/2005),True
Incorrect stipulation documentation,1964,Financial Information Risk (ex 262/2005),True
Arrangement of incorrect wire transfers,127,Financial Information Risk (ex 262/2005),True
Wrong definition of sectoral outlooks,3046,Other,False
Incomplete documentation,856,Other,False
" Incorrect calculation of the ""prevailing"" sector indicator",18,Other,False
Incorrect calculation of the quantitative component,1317,Other,False
Wrong/incomplete extraction of positions,3229,Financial Information Risk (ex 262/2005),True
Failure to update procedures with auctioned goods extracted,688,Financial Information Risk (ex 262/2005),True
Incorrect cancellation of the guarantee,1325,Financial Information Risk (ex 262/2005),True
Incomplete monitoring of mined positions,879,Financial Information Risk (ex 262/2005),True
Contract signed by the employee not received,213,Other risks (operational),False
Non-compliant criteria,2377,Other risks (operational),False
Unregulated archiving,2878,Other risks (operational),False
Incorrect or incomplete purchase requirement,1777,Other risks (operational),False
Incomplete or incorrect purchase requirement,895,Other risks (operational),False
"Risk of non-provision for ""lawsuit risk""",2741,Financial Information Risk (ex 262/2005),True
Management mandate not suitable for MIFID purposes,2212,Other risks (operational),False
Abuse of Privileged Information,65,Other risks (operational),False
Incorrect charges,1345,Financial Information Risk (ex 262/2005),True
Wrong allocation of adjustments,2945,Other risks (operational),False
Wrong disbursement of the contribution,3053,Financial Information Risk (ex 262/2005),True
Incorrect charge,1344,Financial Information Risk (ex 262/2005),True
Performance data inconsistency,2464,Other risks (operational),False
Incorrect financial data and/or signature affixed by an unauthorized external party,1608,Other risks (operational),False
Signature affixed by an unauthorized person,2779,Other risks (operational),False
Inconsistent deal financials,999,Financial Information Risk (ex 262/2005),True
Signature affixed by a non authorized external subject,2778,Other risks (operational),False
Incorrect deal financials,1471,Financial Information Risk (ex 262/2005),True
Deal not present in the position keeping validators,302,Financial Information Risk (ex 262/2005),True
Incorrect confirmation,1388,Other risks (operational),False
Incorrect and inconsistent financial data,1189,Financial Information Risk (ex 262/2005),True
Missing or incorrect reporting data,2312,Financial Information Risk (ex 262/2005),True
Loading incorrect data in procedure,2195,Other risks (operational),False
Misalignment of administrative statuses of customers shared among several Group Banks/Companies,2248,Financial Information Risk (ex 262/2005),True
 Wrong sending,52,Other risks (operational),False
Wrong management stage,3114,Other risks (operational),False
Wrong reporting,3181,Other risks (operational),False
 Presence of positions that do not have an administrative status,41,Financial Information Risk (ex 262/2005),True
Unfinished offers,2867,Financial Information Risk (ex 262/2005),True
Incorrect resolution and/or management powers,1925,Financial Information Risk (ex 262/2005),True
"Misalignment in terms of content and timing, with respect to the requests and deadlines provided by the Supervisor",2245,Other risks (operational),False
Misalignment in terms of content or timing with respect to the Remedial Action set out in the Intesa Sanpaolo Action Plan,2246,Other risks (operational),False
Significant misalignments in terms of content or timing with respect to the Remedial Action set out in the Intesa Sanpaolo Action Plan,2784,Other risks (operational),False
Incorrect measurements,1713,Other risks (operational),False
No list received,2346,Other risks (operational),False
Failure to notify the Client of the enforcement request,610,Other risks (operational),False
Failure to notify the Customer of the communication,611,Other risks (operational),False
Failure to notify the customer,613,Other risks (operational),False
Failure to notify customer of messages,608,Other risks (operational),False
Swift message extraction failed,2807,Other risks (operational),False
Missing documents,2303,Other risks (operational),False
Wrong/Incomplete determination of the perimeter,3211,Financial Information Risk (ex 262/2005),True
Variations not highlighted,2896,Financial Information Risk (ex 262/2005),True
Wrong card production,2995,Financial Information Risk (ex 262/2005),True
Accounting inconsistency with valuations made,73,Financial Information Risk (ex 262/2005),True
Lack of data consistency,2159,Financial Information Risk (ex 262/2005),True
Missing/incomplete cards,2316,Financial Information Risk (ex 262/2005),True
Incomplete cards,831,Financial Information Risk (ex 262/2005),True
Verify the completeness of the perimeter,2903,Financial Information Risk (ex 262/2005),True
Incomplete extraction,860,Financial Information Risk (ex 262/2005),True
Missing forms/Incomplete determination of perimeter,2304,Financial Information Risk (ex 262/2005),True
Wrong adjustment,2943,Financial Information Risk (ex 262/2005),True
Evaluation not consistent with the Group methodology,389,Financial Information Risk (ex 262/2005),True
Evaluation not received/consistent (L. 262/05),390,Financial Information Risk (ex 262/2005),True
Unreformed ratings,2876,Financial Information Risk (ex 262/2005),True
Incorrect labelling,1664,Financial Information Risk (ex 262/2005),True
Incorrect or incomplete entry of data into the system,1765,Financial Information Risk (ex 262/2005),True
Incorrect and/or inconsistent information for evaluation,1231,Financial Information Risk (ex 262/2005),True
Incorrect or incomplete data integration,1757,Financial Information Risk (ex 262/2005),True
 Incorrect data after application of the pro-forma,19,Financial Information Risk (ex 262/2005),True
Incorrect data for the production of reports,1446,Financial Information Risk (ex 262/2005),True
Incorrect data,1413,Other,False
Incorrect accounting of the counter-guarantee,1118,Financial Information Risk (ex 262/2005),True
Activation of an inappropriate internal selection process,86,Other risks (operational),False
Wrong definition of assets valuation perimeter,3044,Financial Information Risk (ex 262/2005),True
 RDV adjustment delays within the required timescales,43,Financial Information Risk (ex 262/2005),True
Failure to update asset valuation,684,Financial Information Risk (ex 262/2005),True
Approval of an incorrect request,126,Other risks (operational),False
Failure to identify anomalies/corrective activities with respect to the Baseline in the context of the use of resources,574,Other,False
Failure to resolve problems (or associated P-Tasks) adequately.,656,Other,False
Squaring between proxies received and uploaded to the system,2789,Other risks (operational),False
Squaring between the amount collected and paid,2790,Other risks (operational),False
Unsettled accounting suspension,2881,Financial Information Risk (ex 262/2005),True
Squaring sent messages,2796,Financial Information Risk (ex 262/2005),True
Received message squaring,2638,Financial Information Risk (ex 262/2005),True
Covered bonds not settled,242,Financial Information Risk (ex 262/2005),True
Wrong accounting discharge guarantee,2936,Financial Information Risk (ex 262/2005),True
Incorrect download of documents,1517,Financial Information Risk (ex 262/2005),True
Signature powers/specimen incorrect,2782,Other risks (operational),False
Incorrect counterparty evidence,1399,Financial Information Risk (ex 262/2005),True
Validation of fees and interests by unauthorized personnel,2894,Financial Information Risk (ex 262/2005),True
Presence of pending positions,2574,Financial Information Risk (ex 262/2005),True
Inconsistent census data,986,Other risks (operational),False
Inconsistent and/or inconsistent data,982,Other risks (operational),False
Outdated and/or incorrect data,2442,Financial Information Risk (ex 262/2005),True
Incorrect templates,1992,Financial Information Risk (ex 262/2005),True
Error / no census,360,Financial Information Risk (ex 262/2005),True
Pricing not compliant with the rules,2605,Other risks (operational),False
Incorrect title adjustment,1995,Financial Information Risk (ex 262/2005),True
Incorrect Income Statement posting,1056,,False
Incorrect accounting,1078,,False
Failure to complete guarantees,498,Other risks (operational),False
Incorrect loan split,1695,Financial Information Risk (ex 262/2005),True
Incorrect or missing SISBA keys,1790,Other risks (operational),False
Incorrect or complete systems power supply,1730,Financial Information Risk (ex 262/2005),True
Unmanaged failed test results,2872,Financial Information Risk (ex 262/2005),True
Consolidated TOE results flow sent incorrect,210,Financial Information Risk (ex 262/2005),True
Incorrect master data flow sent,1710,Financial Information Risk (ex 262/2005),True
 Incorrect or complete daily feeding of Hedge Accounting systems,29,Financial Information Risk (ex 262/2005),True
Wrong TDE calculation Individual change,2932,Financial Information Risk (ex 262/2005),True
Sending incorrect individual Tde results,2769,Other risks (operational),False
Incorrect calculation of the Consolidated Exchange Rate TDE,1299,Financial Information Risk (ex 262/2005),True
Incorrect accounting of exchange rate effectiveness test results,1101,Financial Information Risk (ex 262/2005),True
Incorrect completion of the repayment plan,1386,Financial Information Risk (ex 262/2005),True
Incorrect completion of the transaction,1387,Financial Information Risk (ex 262/2005),True
Wrong BO registry update,2920,Financial Information Risk (ex 262/2005),True
Incorrect or incomplete upload of data to the system,1783,Financial Information Risk (ex 262/2005),True
Misalignment between invoices and accounting flows,2239,Financial Information Risk (ex 262/2005),True
Wrong payment,3142,Financial Information Risk (ex 262/2005),True
Non-compliant invoices,2381,Financial Information Risk (ex 262/2005),True
Formally incorrect documentation,728,Other,False
Transfer not due,2836,Other risks (operational),False
Incorrect census of practices,1338,Other risks (operational),False
Operation carried out in the absence of the enabling requirements,2422,Legal and non-compliance,False
Presence of positions without SR resolution evaluated with analytical-statistical methods,2577,Financial Information Risk (ex 262/2005),True
Possible incorrect evaluation approach,2500,Financial Information Risk (ex 262/2005),True
Covered bonds still outstanding,243,Financial Information Risk (ex 262/2005),True
Wrong certification in the Credit Portal,3002,Financial Information Risk (ex 262/2005),True
Possible incorrect execution of the SPPI Test,2501,Financial Information Risk (ex 262/2005),True
Incorrect loading of financial statements (L.262/05),1679,Financial Information Risk (ex 262/2005),True
"Attribution of Deliberative Competence inconsistent with the ""Credit Faculties"" and the ""Credit Granting Rules""",133,Financial Information Risk (ex 262/2005),True
Inadequate analysis or incorrect data entry,758,Financial Information Risk (ex 262/2005),True
Incorrect preparation of information,1848,Financial Information Risk (ex 262/2005),True
Incorrect preparation of the information to be sent,1853,Financial Information Risk (ex 262/2005),True
Wrong/incomplete list submission,3232,Financial Information Risk (ex 262/2005),True
Wrong update,3201,Financial Information Risk (ex 262/2005),True
Risk that the uploaded data is incorrect,2750,Other risks (operational),False
Customer with missing requirements,249,Legal and non-compliance,False
Incorrect census of own account relationships for anti-money laundering purposes,1336,Other risks (operational),False
Incorrect census of omnibus third-party relationships for anti-money laundering purposes,1335,Other risks (operational),False
Misevaluation of a supplier,2260,Other,False
Do not classify all Third Parties cyber relevant,333,Other risks (operational),False
Incorrect location routing,1699,Other risks (operational),False
Incorrect position hesitation,1837,Other risks (operational),False
Offer different from what was deliberated,2418,Financial Information Risk (ex 262/2005),True
"Failure to create error knowledge records, failure to document potential solutions.",546,Other,False
Lack of documentation of identified solutions and application of inappropriate remedial actions.,2163,Other,False
Wrong entry of resolution terms,3074,Financial Information Risk (ex 262/2005),True
Possible incorrect or incomplete inclusion of the necessary clauses in the contractual draft,2503,Financial Information Risk (ex 262/2005),True
Contractual documentation not consistent with what was resolved,216,Financial Information Risk (ex 262/2005),True
Carry out pre-delivery checks,165,Financial Information Risk (ex 262/2005),True
Incomplete or incorrect warranty certificate form,899,Financial Information Risk (ex 262/2005),True
Incomplete perimeter,906,Other risks (operational),False
Incomplete mapping,875,Other risks (operational),False
Intesa Sanpaolo National Documentation and Masterfile not complete,2126,Other risks (operational),False
Incomplete collected data or incorrect entry into the system,833,Financial Information Risk (ex 262/2005),True
Incomplete or incorrect reports to be sent,898,Financial Information Risk (ex 262/2005),True
Failure to validate the prices and fair value levels of the receivables,698,Financial Information Risk (ex 262/2005),True
Anomalies in the data download,105,Financial Information Risk (ex 262/2005),True
Incorrect or incomplete upload of prices or fair value levels,1784,Financial Information Risk (ex 262/2005),True
Incorrect prices and fair value levels,1857,Financial Information Risk (ex 262/2005),True
Incomplete data transmission,852,Financial Information Risk (ex 262/2005),True
Incorrect or incomplete implementation of the interventions requested on the positions being sold,1770,Financial Information Risk (ex 262/2005),True
Incorrect NDG perimeter and/or reports,1061,Other,False
Wrong reversal of receipts,3185,Financial Information Risk (ex 262/2005),True
Wrong transfer amount or currency,3197,Financial Information Risk (ex 262/2005),True
Incorrect variation of personal data notes,2042,Other,False
NDG perimeter and/or reports incorrect,2322,Other,False
Failure to update the Remediation Plan,689,Other risks (operational),False
Check correctness and validity of the contract,180,Financial Information Risk (ex 262/2005),True
Lists not updated,2193,Other risks (operational),False
Incongruous data between Athena and Isidore,958,Other risks (operational),False
Lack of data integrity and quality,2161,Other risks (operational),False
Data loading errors,275,Other risks (operational),False
Incorrect valorisation of the 'Leveraged Transaction' field in the system,2032,Financial Information Risk (ex 262/2005),True
Incorrect alignment of master data and movements between systems,1166,Financial Information Risk (ex 262/2005),True
Incomplete reception,916,Financial Information Risk (ex 262/2005),True
Incorrect determination of the value of funds,1508,Financial Information Risk (ex 262/2005),True
Incorrect / incomplete accounting entry,1037,Financial Information Risk (ex 262/2005),True
Incorrect database,1468,Financial Information Risk (ex 262/2005),True
"Lack of or incorrect calculation of social security contributions, supplementary fee and customer indemnity",2172,Financial Information Risk (ex 262/2005),True
Incorrect MAVs,1059,Other risks (operational),False
Incorrect amounts,1174,Financial Information Risk (ex 262/2005),True
Incorrect invoice and Enasarco ceiling threshold not respected,1659,Financial Information Risk (ex 262/2005),True
Missing or incorrect calculation of the six-month transaction,2306,Financial Information Risk (ex 262/2005),True
Unreliable data anticipation,2880,Other risks (operational),False
Incorrect final data incorporation,1606,Other risks (operational),False
Incorrect representation of results,1923,Other risks (operational),False
Inconsistent data anticipation,995,Other risks (operational),False
Incorrect data representation,1461,Other risks (operational),False
Incorrect reporting/representation,1920,Other risks (operational),False
Data anticipation not representative,256,Other risks (operational),False
Incorrect reporting,1914,Other,False
Wrong customer reporting,3028,Other,False
Incorrect tax calculation,1985,Other,False
Incorrect payments,1828,Other,False
Incorrect accounting,1078,Other,False
Incorrect reports to the Italian tax authorities,1921,Other,False
Wrong reporting to Issuers,3182,Other,False
Wrong RAD tax certifications,2929,Other,False
Incorrect balancing of roles,1277,Other,False
Processing accounts not reconciled,2609,Other,False
Failure to balance various matches,472,Other,False
Incorrect quantity or parameters indicated,1885,Other,False
Failure to balance credits,466,Other,False
Verification stage incomplete extraction,2898,Financial Information Risk (ex 262/2005),True
Entries variance detected,357,Financial Information Risk (ex 262/2005),True
Incorrect production of periodic reporting,1868,Financial Information Risk (ex 262/2005),True
Incorrect report,1912,Financial Information Risk (ex 262/2005),True
Improper charge to customer,749,Other risks (operational),False
No NAV update,2328,Financial Information Risk (ex 262/2005),True
Incorrect registration of the commitment to the System Fund,1901,Financial Information Risk (ex 262/2005),True
Incorrect update of the commitment towards the System Fund,2012,Financial Information Risk (ex 262/2005),True
Failure to comply with occupational safety measures,511,Other risks (operational),False
Incorrect report transfer,1913,Other risks (operational),False
Manager non-exclusivity,2215,Other risks (operational),False
Wrong assignment of positions,2967,Financial Information Risk (ex 262/2005),True
Delay in taking charge of the paperwork,311,Financial Information Risk (ex 262/2005),True
Incorrect or missing communications,1791,Financial Information Risk (ex 262/2005),True
Wrong sending of documents,3187,Financial Information Risk (ex 262/2005),True
Loss of documentation,2203,Financial Information Risk (ex 262/2005),True
Delay in taking charge of the file,310,Financial Information Risk (ex 262/2005),True
Evaluation start delay,391,Financial Information Risk (ex 262/2005),True
Incorrect or incomplete documentation submitted,1763,Financial Information Risk (ex 262/2005),True
Failure to meet the deadline established for communicating to the Entity the stipulation and disbursement of the subsidized loan,600,Other risks (operational),False
Failure to meet the deadline established for signing the contract and disbursing the loan.,602,Other risks (operational),False
Failure to meet the deadline established for adopting the creditworthiness resolution,597,Other risks (operational),False
Incorrect entry of the fund request on the external portal,1558,Other risks (operational),False
Incorrect determination of the contribution,1500,Legal and non-compliance,False
Contribution disbursed inconsistent with the amount received,218,Financial Information Risk (ex 262/2005),True
Inability to carry out trend analyzes due to failure to register reports and/or relevant information or from maintaining a complete history,752,Other,False
Not timely and effective response to user requests or failure to restore normal service. Failure to record reports and/or relevant information,2407,Other,False
Incorrect signing of the documentation functional to the legal investigation and stipulation.,1952,Other risks (operational),False
Incorrect and/or incomplete documentation functional to the legal investigation and stipulation.,1205,Other risks (operational),False
Incorrect/incomplete compilation of the contractual draft.,2065,Other risks (operational),False
Operations not completed correctly,2434,Financial Information Risk (ex 262/2005),True
Operator error for entering data with contradictory verification,2438,Financial Information Risk (ex 262/2005),True
Exceeding the coverage limit per customer,397,Financial Information Risk (ex 262/2005),True
Operator error due to incorrect allocation to the income statement,2437,Financial Information Risk (ex 262/2005),True
Exceeding the treasury limit set for each bank,399,Financial Information Risk (ex 262/2005),True
